game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800242""",2018-2019 Regular Season,2018-11-19,Trevor Ariza,T.J. Warren,Deandre Ayton,Mikal Bridges,Devin Booker,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800242""",2018-2019 Regular Season,2018-11-19,Trevor Ariza,T.J. Warren,Deandre Ayton,Mikal Bridges,Devin Booker,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,4,PHX,jump ball,,Deandre Ayton,Joel Embiid,,,,,,,Joel Embiid,,Trevor Ariza,,,,jump ball,,,,,,Jump Ball Embiid vs. Ayton: Tip to Ariza
"=""0021800242""",2018-2019 Regular Season,2018-11-19,Trevor Ariza,T.J. Warren,Deandre Ayton,Mikal Bridges,Devin Booker,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,0,00:11:44,00:00:16,00:00:16,7,PHX,shot,Devin Booker,,,,,,,,,Deandre Ayton,2,,,made,,Alley Oop Dunk,1,-5,5,25.5,5.5,Ayton 1' Alley Oop Dunk (2 PTS) (Booker 1 AST)
"=""0021800242""",2018-2019 Regular Season,2018-11-19,Trevor Ariza,T.J. Warren,Deandre Ayton,Mikal Bridges,Devin Booker,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,2,00:11:27,00:00:33,00:00:17,9,PHI,shot,Ben Simmons,,,,,,,,,Jimmy Butler,2,,,made,,Pullup Jump Shot,13,93,85,34.3,80.5,Butler 13' Pullup Jump Shot (2 PTS) (Simmons 1 AST)
"=""0021800242""",2018-2019 Regular Season,2018-11-19,Trevor Ariza,T.J. Warren,Deandre Ayton,Mikal Bridges,Devin Booker,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,2,00:11:08,00:00:52,00:00:19,11,PHX,miss,,,,,,,,,,Devin Booker,0,,,missed,,unknown,11,-105,26,35.5,7.6,MISS Booker 11' Driving Floating Bank Jump Shot
"=""0021800242""",2018-2019 Regular Season,2018-11-19,Trevor Ariza,T.J. Warren,Deandre Ayton,Mikal Bridges,Devin Booker,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,2,00:11:05,00:00:55,00:00:03,12,PHI,rebound,,,,,,,,,,Ben Simmons,,,,,,rebound defensive,,,,,,Simmons REBOUND (Off:0 Def:1)
"=""0021800242""",2018-2019 Regular Season,2018-11-19,Trevor Ariza,T.J. Warren,Deandre Ayton,Mikal Bridges,Devin Booker,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,2,00:11:04,00:00:56,00:00:01,13,PHX,foul,,,,,,,,Ben Simmons,,Trevor Ariza,,,personal take foul,,,personal take foul,,,,,,Ariza Personal Take Foul (P1.T1) (J.Goldenberg)
"=""0021800242""",2018-2019 Regular Season,2018-11-19,Trevor Ariza,T.J. Warren,Deandre Ayton,Mikal Bridges,Devin Booker,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,2,00:10:57,00:01:03,00:00:07,15,PHI,turnover,,,,,,,,,,Joel Embiid,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,Embiid Out of Bounds Lost Ball Turnover (P1.T1)
"=""0021800242""",2018-2019 Regular Season,2018-11-19,Trevor Ariza,T.J. Warren,Deandre Ayton,Mikal Bridges,Devin Booker,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,2,00:10:36,00:01:24,00:00:21,16,PHX,miss,,,,,,,,,,Deandre Ayton,0,,,missed,,unknown,2,22,1,22.8,5.1,MISS Ayton 2' Cutting Layup Shot
"=""0021800242""",2018-2019 Regular Season,2018-11-19,Trevor Ariza,T.J. Warren,Deandre Ayton,Mikal Bridges,Devin Booker,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,2,00:10:34,00:01:26,00:00:02,17,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound defensive,,,,,,Embiid REBOUND (Off:0 Def:1)
