game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800248""",2018-2019 Regular Season,2018-11-20,Kawhi Leonard,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Wes Iwundu,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800248""",2018-2019 Regular Season,2018-11-20,Kawhi Leonard,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Wes Iwundu,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:12:00,00:00:00,00:00:00,4,TOR,jump ball,,Serge Ibaka,Nikola Vucevic,,,,,,,Nikola Vucevic,,Pascal Siakam,,,,jump ball,,,,,,Jump Ball Vucevic vs. Ibaka: Tip to Siakam
"=""0021800248""",2018-2019 Regular Season,2018-11-20,Kawhi Leonard,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Wes Iwundu,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,3,0,00:11:46,00:00:14,00:00:14,7,TOR,shot,Kyle Lowry,,,,,,,,,Danny Green,3,,,made,,Jump Shot,26,-133,226,38.3,27.6,Green 26' 3PT Jump Shot (3 PTS) (Lowry 1 AST)
"=""0021800248""",2018-2019 Regular Season,2018-11-20,Kawhi Leonard,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Wes Iwundu,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,3,0,00:11:28,00:00:32,00:00:18,9,ORL,miss,,,,,,,,,,Aaron Gordon,0,,,missed,,unknown,3,-27,21,22.3,86.9,MISS Gordon 3' Turnaround Fadeaway Bank Jump Shot
"=""0021800248""",2018-2019 Regular Season,2018-11-20,Kawhi Leonard,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Wes Iwundu,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,3,0,00:11:25,00:00:35,00:00:03,10,TOR,rebound,,,,,,,,,,Kawhi Leonard,,,,,,rebound defensive,,,,,,Leonard REBOUND (Off:0 Def:1)
"=""0021800248""",2018-2019 Regular Season,2018-11-20,Kawhi Leonard,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Wes Iwundu,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,3,0,00:11:19,00:00:41,00:00:06,11,TOR,miss,,,,,,,,,,Kawhi Leonard,0,,,missed,,Pullup Jump Shot,8,-51,64,30.1,11.4,MISS Leonard 8' Pullup Jump Shot
"=""0021800248""",2018-2019 Regular Season,2018-11-20,Kawhi Leonard,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Wes Iwundu,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,3,0,00:11:19,00:00:41,00:00:00,12,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Raptors Rebound
"=""0021800248""",2018-2019 Regular Season,2018-11-20,Kawhi Leonard,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Wes Iwundu,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,5,0,00:11:03,00:00:57,00:00:16,14,TOR,shot,Kyle Lowry,,,,,,,,,Serge Ibaka,2,,,made,,Driving Hook Shot,6,35,48,21.5,9.8,Ibaka 6' Driving Hook Shot (2 PTS) (Lowry 2 AST)
"=""0021800248""",2018-2019 Regular Season,2018-11-20,Kawhi Leonard,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Wes Iwundu,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,5,2,00:10:48,00:01:12,00:00:15,16,ORL,shot,Nikola Vucevic,,,,,,,,,Evan Fournier,2,,,made,,unknown,2,12,15,26.2,87.5,Fournier 2' Cutting Finger Roll Layup Shot (2 PTS) (Vucevic 1 AST)
"=""0021800248""",2018-2019 Regular Season,2018-11-20,Kawhi Leonard,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Wes Iwundu,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,5,2,00:10:29,00:01:31,00:00:19,18,TOR,miss,,,,Aaron Gordon,,,,,,Danny Green,0,,,missed,,Jump Shot,23,232,17,1.8,6.7,"MISS Green  3PT Jump Shot, Gordon BLOCK (1 BLK)"
"=""0021800248""",2018-2019 Regular Season,2018-11-20,Kawhi Leonard,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Wes Iwundu,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,5,2,00:10:29,00:01:31,00:00:00,20,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Raptors Rebound
"=""0021800248""",2018-2019 Regular Season,2018-11-20,Kawhi Leonard,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Wes Iwundu,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,5,2,00:10:22,00:01:38,00:00:07,22,TOR,miss,,,,Aaron Gordon,,,,,,Kawhi Leonard,0,,,missed,,Step Back Jump Shot,17,-169,-4,41.9,4.6,"MISS Leonard 17' Step Back Jump Shot, Gordon BLOCK (2 BLK)"
"=""0021800248""",2018-2019 Regular Season,2018-11-20,Kawhi Leonard,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Wes Iwundu,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,5,2,00:10:19,00:01:41,00:00:03,24,ORL,rebound,,,,,,,,,,Aaron Gordon,,,,,,rebound defensive,,,,,,Gordon REBOUND (Off:0 Def:1)
"=""0021800248""",2018-2019 Regular Season,2018-11-20,Kawhi Leonard,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Wes Iwundu,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,5,2,00:10:16,00:01:44,00:00:03,25,TOR,foul,,,,,,,,Aaron Gordon,,Kawhi Leonard,,,s.foul,,,s.foul,,,,,,Leonard S.FOUL (P1.T1) (K.Fitzgerald)
"=""0021800248""",2018-2019 Regular Season,2018-11-20,Kawhi Leonard,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Wes Iwundu,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,5,3,00:10:16,00:01:44,00:00:00,27,ORL,free throw,,,,,,,1,,2,Aaron Gordon,1,,,made,,Free Throw 1 of 2,,,,,,Gordon Free Throw 1 of 2 (1 PTS)
"=""0021800248""",2018-2019 Regular Season,2018-11-20,Kawhi Leonard,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Wes Iwundu,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,5,4,00:10:16,00:01:44,00:00:00,28,ORL,free throw,,,,,,,2,,2,Aaron Gordon,1,,,made,,Free Throw 2 of 2,,,,,,Gordon Free Throw 2 of 2 (2 PTS)
"=""0021800248""",2018-2019 Regular Season,2018-11-20,Kawhi Leonard,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Wes Iwundu,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,7,4,00:10:02,00:01:58,00:00:14,29,TOR,shot,Pascal Siakam,,,,,,,,,Serge Ibaka,2,,,made,,Hook Shot,7,-11,68,26.1,11.8,Ibaka 7' Hook Shot (4 PTS) (Siakam 1 AST)
"=""0021800248""",2018-2019 Regular Season,2018-11-20,Kawhi Leonard,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Wes Iwundu,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,7,7,00:09:46,00:02:14,00:00:16,31,ORL,shot,Wes Iwundu,,,,,,,,,Evan Fournier,3,,,made,,Jump Shot,24,236,47,48.6,84.3,Fournier 24' 3PT Jump Shot (5 PTS) (Iwundu 1 AST)
"=""0021800248""",2018-2019 Regular Season,2018-11-20,Kawhi Leonard,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Wes Iwundu,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,7,7,00:09:34,00:02:26,00:00:12,33,TOR,miss,,,,,,,,,,Serge Ibaka,0,,,missed,,Jump Shot,9,52,70,19.8,12.0,MISS Ibaka 9' Jump Shot
"=""0021800248""",2018-2019 Regular Season,2018-11-20,Kawhi Leonard,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Wes Iwundu,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,7,7,00:09:34,00:02:26,00:00:00,34,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,MAGIC Rebound
