game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800253""",2018-2019 Regular Season,2018-11-21,Wesley Johnson,Nikola Mirotic,Anthony Davis,E'Twaun Moore,Jrue Holiday,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800253""",2018-2019 Regular Season,2018-11-21,Wesley Johnson,Nikola Mirotic,Anthony Davis,E'Twaun Moore,Jrue Holiday,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,4,PHI,jump ball,,Anthony Davis,Joel Embiid,,,,,,,Joel Embiid,,Ben Simmons,,,,jump ball,,,,,,Jump Ball Embiid vs. Davis: Tip to Simmons
"=""0021800253""",2018-2019 Regular Season,2018-11-21,Wesley Johnson,Nikola Mirotic,Anthony Davis,E'Twaun Moore,Jrue Holiday,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:44,00:00:16,00:00:16,7,PHI,miss,,,,,,,,,,Jimmy Butler,0,,,missed,,unknown,4,-24,37,22.6,85.3,MISS Butler 4' Driving Layup
"=""0021800253""",2018-2019 Regular Season,2018-11-21,Wesley Johnson,Nikola Mirotic,Anthony Davis,E'Twaun Moore,Jrue Holiday,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:39,00:00:21,00:00:05,8,PHI,rebound,,,,,,,,,,Jimmy Butler,,,,,,rebound offensive,,,,,,Butler REBOUND (Off:1 Def:0)
"=""0021800253""",2018-2019 Regular Season,2018-11-21,Wesley Johnson,Nikola Mirotic,Anthony Davis,E'Twaun Moore,Jrue Holiday,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:36,00:00:24,00:00:03,9,PHI,miss,,,,,,,,,,Jimmy Butler,0,,,missed,,Jump Shot,24,231,68,48.1,82.2,MISS Butler 24' 3PT Jump Shot
"=""0021800253""",2018-2019 Regular Season,2018-11-21,Wesley Johnson,Nikola Mirotic,Anthony Davis,E'Twaun Moore,Jrue Holiday,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:33,00:00:27,00:00:03,10,NOP,rebound,,,,,,,,,,Wesley Johnson,,,,,,rebound defensive,,,,,,W. Johnson REBOUND (Off:0 Def:1)
"=""0021800253""",2018-2019 Regular Season,2018-11-21,Wesley Johnson,Nikola Mirotic,Anthony Davis,E'Twaun Moore,Jrue Holiday,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,0,00:11:27,00:00:33,00:00:06,11,NOP,shot,Jrue Holiday,,,,,,,,,E'Twaun Moore,2,,,made,,Running Finger Roll Layup,1,-5,13,25.5,6.3,Moore 1' Running Finger Roll Layup (2 PTS) (Holiday 1 AST)
"=""0021800253""",2018-2019 Regular Season,2018-11-21,Wesley Johnson,Nikola Mirotic,Anthony Davis,E'Twaun Moore,Jrue Holiday,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,0,00:11:17,00:00:43,00:00:10,13,PHI,miss,,,,Anthony Davis,,,,,,Ben Simmons,0,,,missed,,Driving Reverse Layup,4,39,14,28.9,87.6,"Davis BLOCK (1 BLK), MISS Simmons 4' Driving Reverse Layup"
"=""0021800253""",2018-2019 Regular Season,2018-11-21,Wesley Johnson,Nikola Mirotic,Anthony Davis,E'Twaun Moore,Jrue Holiday,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,0,00:11:14,00:00:46,00:00:03,15,NOP,rebound,,,,,,,,,,Anthony Davis,,,,,,rebound defensive,,,,,,Davis REBOUND (Off:0 Def:1)
"=""0021800253""",2018-2019 Regular Season,2018-11-21,Wesley Johnson,Nikola Mirotic,Anthony Davis,E'Twaun Moore,Jrue Holiday,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,0,00:11:01,00:00:59,00:00:13,16,NOP,miss,,,,,,,,,,Jrue Holiday,0,,,missed,,Pullup Jump Shot,13,-35,121,28.5,17.1,MISS Holiday 13' Pullup Jump Shot
