game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800256""",2018-2019 Regular Season,2018-11-21,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Cedi Osman,David Nwaba,Tristan Thompson,Rodney Hood,Collin Sexton,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800256""",2018-2019 Regular Season,2018-11-21,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Cedi Osman,David Nwaba,Tristan Thompson,Rodney Hood,Collin Sexton,1,0,0,00:12:00,00:00:00,00:00:00,4,LAL,jump ball,,JaVale McGee,Tristan Thompson,,,,,,,Tristan Thompson,,Lonzo Ball,,,,jump ball,,,,,,Jump Ball Thompson vs. McGee: Tip to Ball
"=""0021800256""",2018-2019 Regular Season,2018-11-21,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Cedi Osman,David Nwaba,Tristan Thompson,Rodney Hood,Collin Sexton,1,0,0,00:11:43,00:00:17,00:00:17,7,LAL,miss,,,,,,,,,,LeBron James,0,,,missed,,unknown,3,30,15,22.0,6.5,MISS James 3' Driving Layup
"=""0021800256""",2018-2019 Regular Season,2018-11-21,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Cedi Osman,David Nwaba,Tristan Thompson,Rodney Hood,Collin Sexton,1,0,0,00:11:36,00:00:24,00:00:07,8,LAL,rebound,,,,,,,,,,LeBron James,,,,,,rebound offensive,,,,,,James REBOUND (Off:1 Def:0)
"=""0021800256""",2018-2019 Regular Season,2018-11-21,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Cedi Osman,David Nwaba,Tristan Thompson,Rodney Hood,Collin Sexton,1,2,0,00:11:36,00:00:24,00:00:00,9,LAL,shot,,,,,,,,,,LeBron James,2,,,made,,unknown,1,0,-6,25.0,4.4,James 1' Tip Layup Shot (2 PTS)
"=""0021800256""",2018-2019 Regular Season,2018-11-21,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Cedi Osman,David Nwaba,Tristan Thompson,Rodney Hood,Collin Sexton,1,2,0,00:11:23,00:00:37,00:00:13,10,CLE,miss,,,,,,,,,,Rodney Hood,0,,,missed,,Pullup Jump Shot,18,101,149,35.1,74.1,MISS Hood 18' Pullup Jump Shot
"=""0021800256""",2018-2019 Regular Season,2018-11-21,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Cedi Osman,David Nwaba,Tristan Thompson,Rodney Hood,Collin Sexton,1,2,0,00:11:19,00:00:41,00:00:04,11,CLE,rebound,,,,,,,,,,Tristan Thompson,,,,,,rebound offensive,,,,,,Thompson REBOUND (Off:1 Def:0)
"=""0021800256""",2018-2019 Regular Season,2018-11-21,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Cedi Osman,David Nwaba,Tristan Thompson,Rodney Hood,Collin Sexton,1,2,0,00:11:18,00:00:42,00:00:01,12,CLE,miss,,,,Kyle Kuzma,,,,,,Tristan Thompson,0,,,missed,,Putback Dunk,1,6,10,25.6,88.0,"Kuzma BLOCK (1 BLK), MISS Thompson 1' Putback Dunk"
"=""0021800256""",2018-2019 Regular Season,2018-11-21,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Cedi Osman,David Nwaba,Tristan Thompson,Rodney Hood,Collin Sexton,1,2,0,00:11:15,00:00:45,00:00:03,13,LAL,rebound,,,,,,,,,,LeBron James,,,,,,rebound defensive,,,,,,James REBOUND (Off:1 Def:1)
"=""0021800256""",2018-2019 Regular Season,2018-11-21,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,Cedi Osman,David Nwaba,Tristan Thompson,Rodney Hood,Collin Sexton,1,2,0,00:11:13,00:00:47,00:00:02,14,CLE,foul,,,,,,,,LeBron James,,David Nwaba,,,p.foul,,,p.foul,,,,,,Nwaba P.FOUL (P1.T1) (J.DeRosa)
