game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800259""",2018-2019 Regular Season,2018-11-21,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800259""",2018-2019 Regular Season,2018-11-21,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,4,MIL,jump ball,,Jusuf Nurkic,Brook Lopez,,,,,,,Brook Lopez,,Giannis Antetokounmpo,,,,jump ball,,,,,,Jump Ball Lopez vs. Nurkic: Tip to Antetokounmpo
"=""0021800259""",2018-2019 Regular Season,2018-11-21,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:11:44,00:00:16,00:00:16,7,MIL,miss,,,,,,,,,,Giannis Antetokounmpo,0,,,missed,,Layup,1,8,12,25.8,87.8,MISS Antetokounmpo 1' Layup
"=""0021800259""",2018-2019 Regular Season,2018-11-21,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:11:40,00:00:20,00:00:04,8,MIL,rebound,,,,,,,,,,Giannis Antetokounmpo,,,,,,rebound offensive,,,,,,Antetokounmpo REBOUND (Off:1 Def:0)
"=""0021800259""",2018-2019 Regular Season,2018-11-21,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,2,00:11:39,00:00:21,00:00:01,9,MIL,shot,,,,,,,,,,Giannis Antetokounmpo,2,,,made,,Putback Dunk,0,-1,2,24.9,88.8,Antetokounmpo  Putback Dunk (2 PTS)
"=""0021800259""",2018-2019 Regular Season,2018-11-21,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,2,00:11:20,00:00:40,00:00:19,10,POR,turnover,,,,,,,,,,Jusuf Nurkic,,,lost ball ,,Giannis Antetokounmpo,lost ball ,,,,,,"Nurkic Lost Ball Turnover (P1.T1), Antetokounmpo STEAL (1 STL)"
"=""0021800259""",2018-2019 Regular Season,2018-11-21,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,2,00:11:06,00:00:54,00:00:14,12,MIL,miss,,,,Damian Lillard,,,,,,Eric Bledsoe,0,,,missed,,Floating Jump Shot,15,-35,148,21.5,74.2,"Lillard BLOCK (1 BLK), MISS Bledsoe 15' Floating Jump Shot"
"=""0021800259""",2018-2019 Regular Season,2018-11-21,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,2,00:11:06,00:00:54,00:00:00,14,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,BUCKS Rebound
"=""0021800259""",2018-2019 Regular Season,2018-11-21,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,4,00:11:00,00:01:00,00:00:06,16,MIL,shot,Giannis Antetokounmpo,,,,,,,,,Eric Bledsoe,2,,,made,,Layup,2,4,20,25.4,87.0,Bledsoe 2' Layup (2 PTS) (Antetokounmpo 1 AST)
"=""0021800259""",2018-2019 Regular Season,2018-11-21,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,4,00:10:39,00:01:21,00:00:21,18,POR,miss,,,,,,,,,,Al-Farouq Aminu,0,,,missed,,Floating Jump Shot,12,44,108,20.6,15.8,MISS Aminu 12' Floating Jump Shot
