game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800264""",2018-2019 Regular Season,2018-11-21,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andre Iguodala,Kevin Durant,Damian Jones,Klay Thompson,Quinn Cook,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800264""",2018-2019 Regular Season,2018-11-21,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andre Iguodala,Kevin Durant,Damian Jones,Klay Thompson,Quinn Cook,1,0,0,00:12:00,00:00:00,00:00:00,4,OKC,jump ball,,Steven Adams,Damian Jones,,,,,,,Damian Jones,,Russell Westbrook,,,,jump ball,,,,,,Jump Ball Jones vs. Adams: Tip to Westbrook
"=""0021800264""",2018-2019 Regular Season,2018-11-21,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andre Iguodala,Kevin Durant,Damian Jones,Klay Thompson,Quinn Cook,1,0,0,00:11:38,00:00:22,00:00:22,7,OKC,turnover,,,,,,,,,,Terrance Ferguson,,,bad pass ,,Klay Thompson,bad pass ,,,,,,"Ferguson Bad Pass Turnover (P1.T1), Thompson STEAL (1 STL)"
"=""0021800264""",2018-2019 Regular Season,2018-11-21,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andre Iguodala,Kevin Durant,Damian Jones,Klay Thompson,Quinn Cook,1,0,0,00:11:16,00:00:44,00:00:22,9,GSW,miss,,,,,,,,,,Klay Thompson,0,,,missed,,Jump Shot,27,185,190,43.5,70.0,MISS Thompson 27' 3PT Jump Shot
"=""0021800264""",2018-2019 Regular Season,2018-11-21,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andre Iguodala,Kevin Durant,Damian Jones,Klay Thompson,Quinn Cook,1,0,0,00:11:14,00:00:46,00:00:02,10,GSW,rebound,,,,,,,,,,Andre Iguodala,,,,,,rebound offensive,,,,,,Iguodala REBOUND (Off:1 Def:0)
"=""0021800264""",2018-2019 Regular Season,2018-11-21,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andre Iguodala,Kevin Durant,Damian Jones,Klay Thompson,Quinn Cook,1,0,0,00:11:13,00:00:47,00:00:01,11,GSW,miss,,,,,,,,,,Quinn Cook,0,,,missed,,Jump Shot,25,-20,251,23.0,63.9,MISS Cook 25' 3PT Jump Shot
"=""0021800264""",2018-2019 Regular Season,2018-11-21,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andre Iguodala,Kevin Durant,Damian Jones,Klay Thompson,Quinn Cook,1,0,0,00:11:11,00:00:49,00:00:02,12,OKC,rebound,,,,,,,,,,Jerami Grant,,,,,,rebound defensive,,,,,,Grant REBOUND (Off:0 Def:1)
"=""0021800264""",2018-2019 Regular Season,2018-11-21,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andre Iguodala,Kevin Durant,Damian Jones,Klay Thompson,Quinn Cook,1,0,0,00:10:59,00:01:01,00:00:12,13,OKC,miss,,,,,,,,,,Paul George,0,,,missed,,Jump Shot,17,-105,137,35.5,18.7,MISS George 17' Jump Shot
"=""0021800264""",2018-2019 Regular Season,2018-11-21,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andre Iguodala,Kevin Durant,Damian Jones,Klay Thompson,Quinn Cook,1,0,0,00:10:58,00:01:02,00:00:01,14,GSW,rebound,,,,,,,,,,Kevin Durant,,,,,,rebound defensive,,,,,,Durant REBOUND (Off:0 Def:1)
"=""0021800264""",2018-2019 Regular Season,2018-11-21,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Andre Iguodala,Kevin Durant,Damian Jones,Klay Thompson,Quinn Cook,1,0,2,00:10:51,00:01:09,00:00:07,15,GSW,shot,Quinn Cook,,,,,,,,,Damian Jones,2,,,made,,Dunk,2,-9,22,24.1,86.8,Jones 2' Dunk (2 PTS) (Cook 1 AST)
