game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800266""",2018-2019 Regular Season,2018-11-23,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800266""",2018-2019 Regular Season,2018-11-23,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,1,0,0,00:12:00,00:00:00,00:00:00,4,MEM,jump ball,,Marc Gasol,Marcin Gortat,,,,,,,Marcin Gortat,,Jaren Jackson Jr.,,,,jump ball,,,,,,Jump Ball Gortat vs. Gasol: Tip to Jackson Jr.
"=""0021800266""",2018-2019 Regular Season,2018-11-23,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,1,2,0,00:11:43,00:00:17,00:00:17,7,MEM,shot,Mike Conley,,,,,,,,,Jaren Jackson Jr.,2,,,made,,unknown,1,-6,6,25.6,5.6,Jackson Jr. 1' Cutting Dunk Shot (2 PTS) (Conley 1 AST)
"=""0021800266""",2018-2019 Regular Season,2018-11-23,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,1,2,2,00:11:26,00:00:34,00:00:17,9,LAC,shot,Danilo Gallinari,,,,,,,,,Avery Bradley,2,,,made,,Jump Shot,16,65,142,31.5,74.8,Bradley 16' Jump Shot (2 PTS) (Gallinari 1 AST)
"=""0021800266""",2018-2019 Regular Season,2018-11-23,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,1,4,2,00:11:09,00:00:51,00:00:17,11,MEM,shot,Jaren Jackson Jr.,,,,,,,,,Kyle Anderson,2,,,made,,unknown,2,-17,7,26.7,5.7,Anderson 2' Cutting Layup Shot (2 PTS) (Jackson Jr. 1 AST)
"=""0021800266""",2018-2019 Regular Season,2018-11-23,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,1,4,4,00:10:55,00:01:05,00:00:14,13,LAC,shot,Marcin Gortat,,,,,,,,,Shai Gilgeous-Alexander,2,,,made,,unknown,1,-11,4,23.9,88.6,Gilgeous-Alexander 1' Cutting Layup Shot (2 PTS) (Gortat 1 AST)
"=""0021800266""",2018-2019 Regular Season,2018-11-23,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,1,4,4,00:10:46,00:01:14,00:00:09,15,MEM,turnover,,,,,,,,,,Garrett Temple,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,Temple Out of Bounds Lost Ball Turnover (P1.T1)
"=""0021800266""",2018-2019 Regular Season,2018-11-23,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,1,4,6,00:10:31,00:01:29,00:00:15,16,LAC,shot,Danilo Gallinari,,,,,,,,,Marcin Gortat,2,,,made,,Jump Shot,6,-62,4,18.8,88.6,Gortat 6' Jump Shot (2 PTS) (Gallinari 2 AST)
"=""0021800266""",2018-2019 Regular Season,2018-11-23,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,1,6,6,00:10:10,00:01:50,00:00:21,18,MEM,shot,Jaren Jackson Jr.,,,,,,,,,Kyle Anderson,2,,,made,,Reverse Layup,1,10,5,24.0,5.5,Anderson 1' Reverse Layup (4 PTS) (Jackson Jr. 2 AST)
"=""0021800266""",2018-2019 Regular Season,2018-11-23,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,1,6,6,00:09:56,00:02:04,00:00:14,20,LAC,miss,,,,,,,,,,Shai Gilgeous-Alexander,0,,,missed,,Pullup Jump Shot,17,70,150,32.0,74.0,MISS Gilgeous-Alexander 17' Pullup Jump Shot
