game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800272""",2018-2019 Regular Season,2018-11-23,Rudy Gay,Dante Cunningham,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Tyreke Evans,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800272""",2018-2019 Regular Season,2018-11-23,Rudy Gay,Dante Cunningham,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Tyreke Evans,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,4,SAS,jump ball,,LaMarcus Aldridge,Domantas Sabonis,,,,,,,Domantas Sabonis,,Bryn Forbes,,,,jump ball,,,,,,Jump Ball Sabonis vs. Aldridge: Tip to Forbes
"=""0021800272""",2018-2019 Regular Season,2018-11-23,Rudy Gay,Dante Cunningham,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Tyreke Evans,Darren Collison,1,2,0,00:11:47,00:00:13,00:00:13,7,SAS,shot,,,,,,,,,,DeMar DeRozan,2,,,made,,Pullup Jump Shot,18,-153,102,40.3,15.2,DeRozan 18' Pullup Jump Shot (2 PTS)
"=""0021800272""",2018-2019 Regular Season,2018-11-23,Rudy Gay,Dante Cunningham,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Tyreke Evans,Darren Collison,1,2,0,00:11:22,00:00:38,00:00:25,8,IND,miss,,,,,,,,,,Thaddeus Young,0,,,missed,,Turnaround Jump Shot,12,1,117,25.1,77.3,MISS Young 12' Turnaround Jump Shot
"=""0021800272""",2018-2019 Regular Season,2018-11-23,Rudy Gay,Dante Cunningham,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Tyreke Evans,Darren Collison,1,2,0,00:11:19,00:00:41,00:00:03,9,SAS,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,rebound defensive,,,,,,Aldridge REBOUND (Off:0 Def:1)
"=""0021800272""",2018-2019 Regular Season,2018-11-23,Rudy Gay,Dante Cunningham,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Tyreke Evans,Darren Collison,1,4,0,00:11:10,00:00:50,00:00:09,10,SAS,shot,DeMar DeRozan,,,,,,,,,LaMarcus Aldridge,2,,,made,,Jump Shot,18,52,176,19.8,22.6,Aldridge 18' Jump Shot (2 PTS) (DeRozan 1 AST)
"=""0021800272""",2018-2019 Regular Season,2018-11-23,Rudy Gay,Dante Cunningham,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Tyreke Evans,Darren Collison,1,4,0,00:10:50,00:01:10,00:00:20,13,SAS,foul,,,,,,,,Bojan Bogdanovic,,Dante Cunningham,,,p.foul,,,p.foul,,,,,,Cunningham P.FOUL (P1.T1) (T.Brown)
"=""0021800272""",2018-2019 Regular Season,2018-11-23,Rudy Gay,Dante Cunningham,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Tyreke Evans,Darren Collison,1,4,0,00:10:48,00:01:12,00:00:02,15,IND,foul,,,,,,,,Dante Cunningham,,Darren Collison,,,off.foul,,,off.foul,,,,,,Collison OFF.Foul (P1) (T.Brown)
"=""0021800272""",2018-2019 Regular Season,2018-11-23,Rudy Gay,Dante Cunningham,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Tyreke Evans,Darren Collison,1,4,0,00:10:48,00:01:12,00:00:00,17,IND,turnover,,,,,,,,,,Darren Collison,,,offensive foul turnover,,,offensive foul turnover,,,,,,Collison Offensive Foul Turnover (P1.T1)
"=""0021800272""",2018-2019 Regular Season,2018-11-23,Rudy Gay,Dante Cunningham,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Tyreke Evans,Darren Collison,1,6,0,00:10:36,00:01:24,00:00:12,18,SAS,shot,,,,,,,,,,LaMarcus Aldridge,2,,,made,,Driving Finger Roll Layup,0,-2,-3,25.2,4.7,Aldridge  Driving Finger Roll Layup (4 PTS)
"=""0021800272""",2018-2019 Regular Season,2018-11-23,Rudy Gay,Dante Cunningham,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Tyreke Evans,Darren Collison,1,6,0,00:10:24,00:01:36,00:00:12,19,IND,miss,,,,,,,,,,Darren Collison,0,,,missed,,Pullup Jump Shot,21,116,180,36.6,71.0,MISS Collison 21' Pullup Jump Shot
"=""0021800272""",2018-2019 Regular Season,2018-11-23,Rudy Gay,Dante Cunningham,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Tyreke Evans,Darren Collison,1,6,0,00:10:21,00:01:39,00:00:03,20,SAS,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,rebound defensive,,,,,,Aldridge REBOUND (Off:0 Def:2)
