game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800281""",2018-2019 Regular Season,2018-11-24,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800281""",2018-2019 Regular Season,2018-11-24,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,0,0,00:12:00,00:00:00,00:00:00,4,CHI,jump ball,,Wendell Carter Jr.,Karl-Anthony Towns,,,,,,,Karl-Anthony Towns,,Ryan Arcidiacono,,,,jump ball,,,,,,Jump Ball Towns vs. Carter Jr.: Tip to Arcidiacono
"=""0021800281""",2018-2019 Regular Season,2018-11-24,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,3,0,00:11:47,00:00:13,00:00:13,7,CHI,shot,Ryan Arcidiacono,,,,,,,,,Justin Holiday,3,,,made,,Jump Shot,26,-187,183,43.7,23.3,Holiday 26' 3PT Jump Shot (3 PTS) (Arcidiacono 1 AST)
"=""0021800281""",2018-2019 Regular Season,2018-11-24,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,3,0,00:11:23,00:00:37,00:00:24,9,MIN,miss,,,,,,,,,,Andrew Wiggins,0,,,missed,,Pullup Jump Shot,17,172,-6,42.2,89.6,MISS Wiggins 17' Pullup Jump Shot
"=""0021800281""",2018-2019 Regular Season,2018-11-24,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,3,0,00:11:20,00:00:40,00:00:03,10,CHI,rebound,,,,,,,,,,Jabari Parker,,,,,,rebound defensive,,,,,,Parker REBOUND (Off:0 Def:1)
"=""0021800281""",2018-2019 Regular Season,2018-11-24,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,3,0,00:11:03,00:00:57,00:00:17,11,CHI,miss,,,,,,,,,,Justin Holiday,0,,,missed,,Floating Jump Shot,2,18,14,23.2,6.4,MISS Holiday 2' Floating Jump Shot
"=""0021800281""",2018-2019 Regular Season,2018-11-24,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,3,0,00:11:01,00:00:59,00:00:02,12,MIN,rebound,,,,,,,,,,Robert Covington,,,,,,rebound defensive,,,,,,Covington REBOUND (Off:0 Def:1)
"=""0021800281""",2018-2019 Regular Season,2018-11-24,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,3,0,00:10:55,00:01:05,00:00:06,13,MIN,miss,,,,,,,,,,Robert Covington,0,,,missed,,Layup,3,33,7,28.3,88.3,MISS Covington 3' Layup
"=""0021800281""",2018-2019 Regular Season,2018-11-24,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,3,0,00:10:55,00:01:05,00:00:00,14,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,TIMBERWOLVES Rebound
"=""0021800281""",2018-2019 Regular Season,2018-11-24,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,1,3,0,00:10:51,00:01:09,00:00:04,16,MIN,miss,,,,,,,,,,Karl-Anthony Towns,0,,,missed,,unknown,1,4,7,25.4,88.3,MISS Towns 1' Driving Dunk
