game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800294""",2018-2019 Regular Season,2018-11-26,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800294""",2018-2019 Regular Season,2018-11-26,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,4,MIL,jump ball,,Brook Lopez,Cody Zeller,,,,,,,Cody Zeller,,Giannis Antetokounmpo,,,,jump ball,,,,,,Jump Ball Zeller vs. Lopez: Tip to Antetokounmpo
"=""0021800294""",2018-2019 Regular Season,2018-11-26,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1,3,0,00:11:46,00:00:14,00:00:14,7,MIL,shot,Malcolm Brogdon,,,,,,,,,Eric Bledsoe,3,,,made,,Jump Shot,23,225,12,2.5,6.2,Bledsoe  3PT Jump Shot (3 PTS) (Brogdon 1 AST)
"=""0021800294""",2018-2019 Regular Season,2018-11-26,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1,3,2,00:11:23,00:00:37,00:00:23,9,CHA,shot,,,,,,,,,,Jeremy Lamb,2,,,made,,Turnaround Jump Shot,11,1,108,25.1,78.2,Lamb 11' Turnaround Jump Shot (2 PTS)
"=""0021800294""",2018-2019 Regular Season,2018-11-26,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1,6,2,00:11:12,00:00:48,00:00:11,10,MIL,shot,Giannis Antetokounmpo,,,,,,,,,Eric Bledsoe,3,,,made,,Jump Shot,23,227,33,2.3,8.3,Bledsoe  3PT Jump Shot (6 PTS) (Antetokounmpo 1 AST)
"=""0021800294""",2018-2019 Regular Season,2018-11-26,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1,6,2,00:11:00,00:01:00,00:00:12,12,CHA,miss,,,,,,,,,,Marvin Williams,0,,,missed,,Jump Shot,25,149,204,39.9,68.6,MISS Williams 25' 3PT Jump Shot
"=""0021800294""",2018-2019 Regular Season,2018-11-26,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1,6,2,00:10:56,00:01:04,00:00:04,13,MIL,rebound,,,,,,,,,,Eric Bledsoe,,,,,,rebound defensive,,,,,,Bledsoe REBOUND (Off:0 Def:1)
"=""0021800294""",2018-2019 Regular Season,2018-11-26,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1,8,2,00:10:47,00:01:13,00:00:09,14,MIL,shot,,,,,,,,,,Brook Lopez,2,,,made,,unknown,1,4,8,24.6,5.8,Lopez 1' Driving Layup (2 PTS)
"=""0021800294""",2018-2019 Regular Season,2018-11-26,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1,8,4,00:10:35,00:01:25,00:00:12,15,CHA,shot,Kemba Walker,,,,,,,,,Cody Zeller,2,,,made,,Reverse Layup,1,0,14,25.0,87.6,Zeller 1' Reverse Layup (2 PTS) (Walker 1 AST)
"=""0021800294""",2018-2019 Regular Season,2018-11-26,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1,8,4,00:10:19,00:01:41,00:00:16,17,MIL,miss,,,,,,,,,,Khris Middleton,0,,,missed,,Step Back Jump Shot,23,-230,12,48.0,6.2,MISS Middleton  3PT Step Back Jump Shot
