game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800301""",2018-2019 Regular Season,2018-11-27,Mario Hezonja,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800301""",2018-2019 Regular Season,2018-11-27,Mario Hezonja,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,4,DET,jump ball,,Noah Vonleh,Andre Drummond,,,,,,,Andre Drummond,,Blake Griffin,,,,jump ball,,,,,,Jump Ball Drummond vs. Vonleh: Tip to Griffin
"=""0021800301""",2018-2019 Regular Season,2018-11-27,Mario Hezonja,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,0,00:11:48,00:00:12,00:00:12,7,DET,miss,,,,,,,,,,Reggie Bullock,0,,,missed,,Jump Shot,24,-239,4,1.1,88.6,MISS Bullock 24' 3PT Jump Shot
"=""0021800301""",2018-2019 Regular Season,2018-11-27,Mario Hezonja,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,0,00:11:43,00:00:17,00:00:05,8,NYK,rebound,,,,,,,,,,Noah Vonleh,,,,,,rebound defensive,,,,,,Vonleh REBOUND (Off:0 Def:1)
"=""0021800301""",2018-2019 Regular Season,2018-11-27,Mario Hezonja,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,1,2,0,00:11:26,00:00:34,00:00:17,9,NYK,shot,Tim Hardaway Jr.,,,,,,,,,Enes Kanter,2,,,made,,Layup,1,-5,8,25.5,5.8,Kanter 1' Layup (2 PTS) (Hardaway Jr. 1 AST)
"=""0021800301""",2018-2019 Regular Season,2018-11-27,Mario Hezonja,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,1,2,0,00:11:13,00:00:47,00:00:13,11,DET,miss,,,,,,,,,,Andre Drummond,0,,,missed,,Layup,6,-58,26,19.2,86.4,MISS Drummond 6' Layup
"=""0021800301""",2018-2019 Regular Season,2018-11-27,Mario Hezonja,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,1,2,0,00:11:10,00:00:50,00:00:03,12,NYK,rebound,,,,,,,,,,Enes Kanter,,,,,,rebound defensive,,,,,,Kanter REBOUND (Off:0 Def:1)
"=""0021800301""",2018-2019 Regular Season,2018-11-27,Mario Hezonja,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,1,2,0,00:10:52,00:01:08,00:00:18,13,NYK,miss,,,,,,,,,,Noah Vonleh,0,,,missed,,unknown,3,-5,29,25.5,7.9,MISS Vonleh 3' Driving Layup
"=""0021800301""",2018-2019 Regular Season,2018-11-27,Mario Hezonja,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,1,2,0,00:10:50,00:01:10,00:00:02,14,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound defensive,,,,,,Drummond REBOUND (Off:0 Def:1)
"=""0021800301""",2018-2019 Regular Season,2018-11-27,Mario Hezonja,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,1,2,0,00:10:36,00:01:24,00:00:14,15,DET,miss,,,,,,,,,,Glenn Robinson III,0,,,missed,,Jump Shot,27,-172,204,7.8,68.6,MISS Robinson III 27' 3PT Jump Shot
"=""0021800301""",2018-2019 Regular Season,2018-11-27,Mario Hezonja,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,1,2,0,00:10:31,00:01:29,00:00:05,16,NYK,rebound,,,,,,,,,,Noah Vonleh,,,,,,rebound defensive,,,,,,Vonleh REBOUND (Off:0 Def:2)
"=""0021800301""",2018-2019 Regular Season,2018-11-27,Mario Hezonja,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,1,2,0,00:10:23,00:01:37,00:00:08,17,NYK,miss,,,,,,,,,,Tim Hardaway Jr.,0,,,missed,,unknown,9,-13,88,26.3,13.8,MISS Hardaway Jr. 9' Driving Floating Jump Shot
"=""0021800301""",2018-2019 Regular Season,2018-11-27,Mario Hezonja,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,1,2,0,00:10:20,00:01:40,00:00:03,18,NYK,rebound,,,,,,,,,,Tim Hardaway Jr.,,,,,,rebound offensive,,,,,,Hardaway Jr. REBOUND (Off:1 Def:0)
"=""0021800301""",2018-2019 Regular Season,2018-11-27,Mario Hezonja,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,1,2,0,00:10:19,00:01:41,00:00:01,19,NYK,miss,,,,,,,,,,Tim Hardaway Jr.,0,,,missed,,Layup,2,13,20,23.7,7.0,MISS Hardaway Jr. 2' Layup
"=""0021800301""",2018-2019 Regular Season,2018-11-27,Mario Hezonja,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,1,2,0,00:10:19,00:01:41,00:00:00,20,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,PISTONS Rebound
"=""0021800301""",2018-2019 Regular Season,2018-11-27,Mario Hezonja,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,1,2,0,00:10:04,00:01:56,00:00:15,22,DET,turnover,,,,,,,,,,Andre Drummond,,,,,,unknown,,,,,,Drummond Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
