game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800319""",2018-2019 Regular Season,2018-11-30,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Rodney Hood,Collin Sexton,Jayson Tatum,Marcus Morris,Aron Baynes,Marcus Smart,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800319""",2018-2019 Regular Season,2018-11-30,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Rodney Hood,Collin Sexton,Jayson Tatum,Marcus Morris,Aron Baynes,Marcus Smart,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,4,CLE,jump ball,,Tristan Thompson,Aron Baynes,,,,,,,Aron Baynes,,Cedi Osman,,,,jump ball,,,,,,Jump Ball Baynes vs. Thompson: Tip to Osman
"=""0021800319""",2018-2019 Regular Season,2018-11-30,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Rodney Hood,Collin Sexton,Jayson Tatum,Marcus Morris,Aron Baynes,Marcus Smart,Kyrie Irving,1,0,0,00:11:50,00:00:10,00:00:10,7,CLE,turnover,,,,,,,,,,Rodney Hood,,,bad pass ,,Marcus Smart,bad pass ,,,,,,"Hood Bad Pass Turnover (P1.T1), Smart STEAL (1 STL)"
"=""0021800319""",2018-2019 Regular Season,2018-11-30,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Rodney Hood,Collin Sexton,Jayson Tatum,Marcus Morris,Aron Baynes,Marcus Smart,Kyrie Irving,1,0,0,00:11:45,00:00:15,00:00:05,9,BOS,miss,,,,,,,,,,Marcus Smart,0,,,missed,,Jump Shot,26,-66,247,18.4,64.3,MISS Smart 26' 3PT Jump Shot
"=""0021800319""",2018-2019 Regular Season,2018-11-30,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Rodney Hood,Collin Sexton,Jayson Tatum,Marcus Morris,Aron Baynes,Marcus Smart,Kyrie Irving,1,0,0,00:11:42,00:00:18,00:00:03,10,CLE,rebound,,,,,,,,,,Tristan Thompson,,,,,,rebound defensive,,,,,,Thompson REBOUND (Off:0 Def:1)
"=""0021800319""",2018-2019 Regular Season,2018-11-30,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Rodney Hood,Collin Sexton,Jayson Tatum,Marcus Morris,Aron Baynes,Marcus Smart,Kyrie Irving,1,0,0,00:11:22,00:00:38,00:00:20,11,CLE,miss,,,,,,,,,,Cedi Osman,0,,,missed,,Driving Hook Shot,10,51,89,19.9,13.9,MISS Osman 10' Driving Hook Shot
"=""0021800319""",2018-2019 Regular Season,2018-11-30,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Rodney Hood,Collin Sexton,Jayson Tatum,Marcus Morris,Aron Baynes,Marcus Smart,Kyrie Irving,1,0,0,00:11:21,00:00:39,00:00:01,12,BOS,rebound,,,,,,,,,,Jayson Tatum,,,,,,rebound defensive,,,,,,Tatum REBOUND (Off:0 Def:1)
"=""0021800319""",2018-2019 Regular Season,2018-11-30,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Rodney Hood,Collin Sexton,Jayson Tatum,Marcus Morris,Aron Baynes,Marcus Smart,Kyrie Irving,1,0,2,00:11:17,00:00:43,00:00:04,13,BOS,shot,,,,,,,,,,Kyrie Irving,2,,,made,,Pullup Jump Shot,17,140,104,39.0,78.6,Irving 17' Pullup Jump Shot (2 PTS)
"=""0021800319""",2018-2019 Regular Season,2018-11-30,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Rodney Hood,Collin Sexton,Jayson Tatum,Marcus Morris,Aron Baynes,Marcus Smart,Kyrie Irving,1,0,2,00:10:55,00:01:05,00:00:22,14,CLE,miss,,,,,,,,,,Collin Sexton,0,,,missed,,Driving Finger Roll Layup,2,-13,20,26.3,7.0,MISS Sexton 2' Driving Finger Roll Layup
"=""0021800319""",2018-2019 Regular Season,2018-11-30,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Rodney Hood,Collin Sexton,Jayson Tatum,Marcus Morris,Aron Baynes,Marcus Smart,Kyrie Irving,1,0,2,00:10:54,00:01:06,00:00:01,15,BOS,rebound,,,,,,,,,,Aron Baynes,,,,,,rebound defensive,,,,,,Baynes REBOUND (Off:0 Def:1)
