game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800322""",2018-2019 Regular Season,2018-11-30,Kelly Oubre Jr.,Jeff Green,Thomas Bryant,Bradley Beal,John Wall,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800322""",2018-2019 Regular Season,2018-11-30,Kelly Oubre Jr.,Jeff Green,Thomas Bryant,Bradley Beal,John Wall,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,4,PHI,jump ball,,Thomas Bryant,Joel Embiid,,,,,,,Joel Embiid,,Ben Simmons,,,,jump ball,,,,,,Jump Ball Embiid vs. Bryant: Tip to Simmons
"=""0021800322""",2018-2019 Regular Season,2018-11-30,Kelly Oubre Jr.,Jeff Green,Thomas Bryant,Bradley Beal,John Wall,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:41,00:00:19,00:00:19,7,WAS,foul,,,,,,,,Wilson Chandler,,Jeff Green,,,s.foul,,,s.foul,,,,,,Green S.FOUL (P1.T1) (T.Ford)
"=""0021800322""",2018-2019 Regular Season,2018-11-30,Kelly Oubre Jr.,Jeff Green,Thomas Bryant,Bradley Beal,John Wall,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:41,00:00:19,00:00:00,9,PHI,free throw,,,,,,,1,,2,Wilson Chandler,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Chandler Free Throw 1 of 2
"=""0021800322""",2018-2019 Regular Season,2018-11-30,Kelly Oubre Jr.,Jeff Green,Thomas Bryant,Bradley Beal,John Wall,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:41,00:00:19,00:00:00,10,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,76ERS Rebound
"=""0021800322""",2018-2019 Regular Season,2018-11-30,Kelly Oubre Jr.,Jeff Green,Thomas Bryant,Bradley Beal,John Wall,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:41,00:00:19,00:00:00,11,PHI,free throw,,,,,,,2,,2,Wilson Chandler,0,,,missed,,Free Throw 2 of 2,,,,,,MISS Chandler Free Throw 2 of 2
"=""0021800322""",2018-2019 Regular Season,2018-11-30,Kelly Oubre Jr.,Jeff Green,Thomas Bryant,Bradley Beal,John Wall,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:39,00:00:21,00:00:02,12,WAS,rebound,,,,,,,,,,Thomas Bryant,,,,,,rebound defensive,,,,,,Bryant REBOUND (Off:0 Def:1)
"=""0021800322""",2018-2019 Regular Season,2018-11-30,Kelly Oubre Jr.,Jeff Green,Thomas Bryant,Bradley Beal,John Wall,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,0,00:11:25,00:00:35,00:00:14,13,WAS,shot,,,,,,,,,,Bradley Beal,2,,,made,,Pullup Jump Shot,13,9,129,24.1,17.9,Beal 13' Pullup Jump Shot (2 PTS)
"=""0021800322""",2018-2019 Regular Season,2018-11-30,Kelly Oubre Jr.,Jeff Green,Thomas Bryant,Bradley Beal,John Wall,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,0,00:11:12,00:00:48,00:00:13,14,PHI,miss,,,,,,,,,,JJ Redick,0,,,missed,,Turnaround Fadeaway ,6,-33,47,21.7,84.3,MISS Redick 6' Turnaround Fadeaway Shot
"=""0021800322""",2018-2019 Regular Season,2018-11-30,Kelly Oubre Jr.,Jeff Green,Thomas Bryant,Bradley Beal,John Wall,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,0,00:11:10,00:00:50,00:00:02,15,WAS,rebound,,,,,,,,,,Jeff Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
