game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800327""",2018-2019 Regular Season,2018-11-30,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Josh Jackson,Trevor Ariza,Deandre Ayton,Mikal Bridges,Elie Okobo,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800327""",2018-2019 Regular Season,2018-11-30,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Josh Jackson,Trevor Ariza,Deandre Ayton,Mikal Bridges,Elie Okobo,1,0,0,00:12:00,00:00:00,00:00:00,4,PHX,jump ball,,Nikola Vucevic,Deandre Ayton,,,,,,,Deandre Ayton,,Elie Okobo,,,,jump ball,,,,,,Jump Ball Ayton vs. Vucevic: Tip to Okobo
"=""0021800327""",2018-2019 Regular Season,2018-11-30,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Josh Jackson,Trevor Ariza,Deandre Ayton,Mikal Bridges,Elie Okobo,1,0,0,00:11:32,00:00:28,00:00:28,7,PHX,miss,,,,,,,,,,Deandre Ayton,0,,,missed,,Turnaround Jump Shot,10,-90,43,16.0,84.7,MISS Ayton 10' Turnaround Jump Shot
"=""0021800327""",2018-2019 Regular Season,2018-11-30,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Josh Jackson,Trevor Ariza,Deandre Ayton,Mikal Bridges,Elie Okobo,1,0,0,00:11:29,00:00:31,00:00:03,8,ORL,rebound,,,,,,,,,,Jonathon Simmons,,,,,,rebound defensive,,,,,,Simmons REBOUND (Off:0 Def:1)
"=""0021800327""",2018-2019 Regular Season,2018-11-30,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Josh Jackson,Trevor Ariza,Deandre Ayton,Mikal Bridges,Elie Okobo,1,2,0,00:11:19,00:00:41,00:00:10,9,ORL,shot,Nikola Vucevic,,,,,,,,,Aaron Gordon,2,,,made,,Layup,1,-4,14,25.4,6.4,Gordon 1' Layup (2 PTS) (Vucevic 1 AST)
"=""0021800327""",2018-2019 Regular Season,2018-11-30,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Josh Jackson,Trevor Ariza,Deandre Ayton,Mikal Bridges,Elie Okobo,1,2,0,00:11:19,00:00:41,00:00:00,11,PHX,foul,,,,,,,,Aaron Gordon,,Trevor Ariza,,,s.foul,,,s.foul,,,,,,Ariza S.FOUL (P1.T1) (B.Taylor)
"=""0021800327""",2018-2019 Regular Season,2018-11-30,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Josh Jackson,Trevor Ariza,Deandre Ayton,Mikal Bridges,Elie Okobo,1,3,0,00:11:19,00:00:41,00:00:00,13,ORL,free throw,,,,,,,1,,1,Aaron Gordon,1,,,made,,Free Throw 1 of 1,,,,,,Gordon Free Throw 1 of 1 (3 PTS)
"=""0021800327""",2018-2019 Regular Season,2018-11-30,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Josh Jackson,Trevor Ariza,Deandre Ayton,Mikal Bridges,Elie Okobo,1,3,0,00:11:01,00:00:59,00:00:18,14,PHX,miss,,,,Nikola Vucevic,,,,,,Josh Jackson,0,,,missed,,Jump Shot,10,-92,46,15.8,84.4,"Vucevic BLOCK (1 BLK), MISS Jackson 10' Jump Shot"
"=""0021800327""",2018-2019 Regular Season,2018-11-30,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Josh Jackson,Trevor Ariza,Deandre Ayton,Mikal Bridges,Elie Okobo,1,3,0,00:10:58,00:01:02,00:00:03,16,ORL,rebound,,,,,,,,,,Aaron Gordon,,,,,,rebound defensive,,,,,,Gordon REBOUND (Off:0 Def:1)
"=""0021800327""",2018-2019 Regular Season,2018-11-30,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Josh Jackson,Trevor Ariza,Deandre Ayton,Mikal Bridges,Elie Okobo,1,3,0,00:10:58,00:01:02,00:00:00,17,ORL,turnover,,,,,,,,,,Evan Fournier,,,traveling ,,,traveling ,,,,,,Fournier Traveling Turnover (P1.T1)
"=""0021800327""",2018-2019 Regular Season,2018-11-30,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Josh Jackson,Trevor Ariza,Deandre Ayton,Mikal Bridges,Elie Okobo,1,3,0,00:10:42,00:01:18,00:00:16,18,PHX,miss,,,,,,,,,,Mikal Bridges,0,,,missed,,Jump Shot,26,-223,125,2.7,76.5,MISS Bridges 26' 3PT Jump Shot
"=""0021800327""",2018-2019 Regular Season,2018-11-30,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Josh Jackson,Trevor Ariza,Deandre Ayton,Mikal Bridges,Elie Okobo,1,3,0,00:10:39,00:01:21,00:00:03,19,ORL,rebound,,,,,,,,,,D.J. Augustin,,,,,,rebound defensive,,,,,,Augustin REBOUND (Off:0 Def:1)
"=""0021800327""",2018-2019 Regular Season,2018-11-30,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Josh Jackson,Trevor Ariza,Deandre Ayton,Mikal Bridges,Elie Okobo,1,5,0,00:10:30,00:01:30,00:00:09,20,ORL,shot,,,,,,,,,,Aaron Gordon,2,,,made,,unknown,1,-4,5,25.4,5.5,Gordon 1' Driving Dunk (5 PTS)
"=""0021800327""",2018-2019 Regular Season,2018-11-30,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Josh Jackson,Trevor Ariza,Deandre Ayton,Mikal Bridges,Elie Okobo,1,5,2,00:10:19,00:01:41,00:00:11,21,PHX,shot,Elie Okobo,,,,,,,,,Trevor Ariza,2,,,made,,unknown,1,11,7,26.1,88.3,Ariza 1' Driving Layup (2 PTS) (Okobo 1 AST)
"=""0021800327""",2018-2019 Regular Season,2018-11-30,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Josh Jackson,Trevor Ariza,Deandre Ayton,Mikal Bridges,Elie Okobo,1,5,2,00:10:19,00:01:41,00:00:00,22,ORL,foul,,,,,,,,Trevor Ariza,,Nikola Vucevic,,,s.foul,,,s.foul,,,,,,Vucevic S.FOUL (P1.T1) (C.Blair)
"=""0021800327""",2018-2019 Regular Season,2018-11-30,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Josh Jackson,Trevor Ariza,Deandre Ayton,Mikal Bridges,Elie Okobo,1,5,2,00:10:19,00:01:41,00:00:00,24,ORL,violation,,,,,,,,,,Evan Fournier,,,,,,violation:lane,,,,,,Fournier Violation:Lane (.)
