game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800331""",2018-2019 Regular Season,2018-12-01,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Stephen Curry,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800331""",2018-2019 Regular Season,2018-12-01,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Stephen Curry,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,4,DET,jump ball,,Damian Jones,Andre Drummond,,,,,,,Andre Drummond,,Reggie Jackson,,,,jump ball,,,,,,Jump Ball Drummond vs. Jones: Tip to Jackson
"=""0021800331""",2018-2019 Regular Season,2018-12-01,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Stephen Curry,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,0,00:11:45,00:00:15,00:00:15,7,DET,miss,,,,,,,,,,Reggie Jackson,0,,,missed,,Jump Shot,27,109,243,35.9,64.7,MISS Jackson 27' 3PT Jump Shot
"=""0021800331""",2018-2019 Regular Season,2018-12-01,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Stephen Curry,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,0,00:11:41,00:00:19,00:00:04,8,GSW,rebound,,,,,,,,,,Kevin Durant,,,,,,rebound defensive,,,,,,Durant REBOUND (Off:0 Def:1)
"=""0021800331""",2018-2019 Regular Season,2018-12-01,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Stephen Curry,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,0,00:11:24,00:00:36,00:00:17,9,GSW,miss,,,,,,,,,,Jonas Jerebko,0,,,missed,,Jump Shot,23,-225,41,47.5,9.1,MISS Jerebko  3PT Jump Shot
"=""0021800331""",2018-2019 Regular Season,2018-12-01,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Stephen Curry,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,0,00:11:19,00:00:41,00:00:05,10,GSW,rebound,,,,,,,,,,Damian Jones,,,,,,rebound offensive,,,,,,Jones REBOUND (Off:1 Def:0)
"=""0021800331""",2018-2019 Regular Season,2018-12-01,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Stephen Curry,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,0,00:11:17,00:00:43,00:00:02,11,GSW,miss,,,,Andre Drummond,,,,,,Damian Jones,0,,,missed,,Layup,1,7,13,24.3,6.3,"MISS Jones 1' Layup, Drummond BLOCK (1 BLK)"
"=""0021800331""",2018-2019 Regular Season,2018-12-01,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Stephen Curry,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,0,00:11:16,00:00:44,00:00:01,13,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,PISTONS Rebound
"=""0021800331""",2018-2019 Regular Season,2018-12-01,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Stephen Curry,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,0,00:11:02,00:00:58,00:00:14,14,DET,miss,,,,,,,,,,Reggie Bullock,0,,,missed,,Jump Shot,30,-122,270,12.8,62.0,MISS Bullock 30' 3PT Jump Shot
"=""0021800331""",2018-2019 Regular Season,2018-12-01,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Stephen Curry,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,0,00:10:58,00:01:02,00:00:04,15,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound offensive,,,,,,Drummond REBOUND (Off:1 Def:0)
"=""0021800331""",2018-2019 Regular Season,2018-12-01,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Stephen Curry,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,1,0,2,00:10:55,00:01:05,00:00:03,16,DET,shot,,,,,,,,,,Andre Drummond,2,,,made,,Putback Layup,2,6,21,25.6,86.9,Drummond 2' Putback Layup (2 PTS)
