game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800339""",2018-2019 Regular Season,2018-12-02,Jae Crowder,Joe Ingles,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Rodney McGruder,James Johnson,Hassan Whiteside,Wayne Ellington,Josh Richardson,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800339""",2018-2019 Regular Season,2018-12-02,Jae Crowder,Joe Ingles,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Rodney McGruder,James Johnson,Hassan Whiteside,Wayne Ellington,Josh Richardson,1,0,0,00:12:00,00:00:00,00:00:00,4,MIA,jump ball,,Rudy Gobert,Hassan Whiteside,,,,,,,Hassan Whiteside,,Josh Richardson,,,,jump ball,,,,,,Jump Ball Whiteside vs. Gobert: Tip to Richardson
"=""0021800339""",2018-2019 Regular Season,2018-12-02,Jae Crowder,Joe Ingles,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Rodney McGruder,James Johnson,Hassan Whiteside,Wayne Ellington,Josh Richardson,1,0,0,00:11:44,00:00:16,00:00:16,7,MIA,miss,,,,,,,,,,Wayne Ellington,0,,,missed,,Jump Shot,27,-182,205,6.8,68.5,MISS Ellington 27' 3PT Jump Shot
"=""0021800339""",2018-2019 Regular Season,2018-12-02,Jae Crowder,Joe Ingles,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Rodney McGruder,James Johnson,Hassan Whiteside,Wayne Ellington,Josh Richardson,1,0,0,00:11:43,00:00:17,00:00:01,8,MIA,rebound,,,,,,,,,,Hassan Whiteside,,,,,,rebound offensive,,,,,,Whiteside REBOUND (Off:1 Def:0)
"=""0021800339""",2018-2019 Regular Season,2018-12-02,Jae Crowder,Joe Ingles,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Rodney McGruder,James Johnson,Hassan Whiteside,Wayne Ellington,Josh Richardson,1,0,0,00:11:39,00:00:21,00:00:04,9,MIA,miss,,,,Rudy Gobert,,,,,,Hassan Whiteside,0,,,missed,,Hook Shot,2,-19,12,23.1,87.8,"Gobert BLOCK (1 BLK), MISS Whiteside 2' Hook Shot"
"=""0021800339""",2018-2019 Regular Season,2018-12-02,Jae Crowder,Joe Ingles,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Rodney McGruder,James Johnson,Hassan Whiteside,Wayne Ellington,Josh Richardson,1,0,0,00:11:39,00:00:21,00:00:00,10,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,HEAT Rebound
"=""0021800339""",2018-2019 Regular Season,2018-12-02,Jae Crowder,Joe Ingles,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Rodney McGruder,James Johnson,Hassan Whiteside,Wayne Ellington,Josh Richardson,1,0,0,00:11:39,00:00:21,00:00:00,12,MIA,turnover,,,,,,,,,,Josh Richardson,,,,,,unknown,,,,,,Richardson Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021800339""",2018-2019 Regular Season,2018-12-02,Jae Crowder,Joe Ingles,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Rodney McGruder,James Johnson,Hassan Whiteside,Wayne Ellington,Josh Richardson,1,0,0,00:11:27,00:00:33,00:00:12,13,UTA,miss,,,,Hassan Whiteside,,,,,,Joe Ingles,0,,,missed,,Floating Jump Shot,11,51,99,19.9,14.9,"MISS Ingles 11' Floating Jump Shot, Whiteside BLOCK (1 BLK)"
"=""0021800339""",2018-2019 Regular Season,2018-12-02,Jae Crowder,Joe Ingles,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Rodney McGruder,James Johnson,Hassan Whiteside,Wayne Ellington,Josh Richardson,1,0,0,00:11:27,00:00:33,00:00:00,15,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Jazz Rebound
"=""0021800339""",2018-2019 Regular Season,2018-12-02,Jae Crowder,Joe Ingles,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Rodney McGruder,James Johnson,Hassan Whiteside,Wayne Ellington,Josh Richardson,1,3,0,00:11:20,00:00:40,00:00:07,17,UTA,shot,Ricky Rubio,,,,,,,,,Joe Ingles,3,,,made,,Jump Shot,26,-160,200,41.0,25.0,Ingles 26' 3PT Jump Shot (3 PTS) (Rubio 1 AST)
"=""0021800339""",2018-2019 Regular Season,2018-12-02,Jae Crowder,Joe Ingles,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Rodney McGruder,James Johnson,Hassan Whiteside,Wayne Ellington,Josh Richardson,1,3,0,00:11:10,00:00:50,00:00:10,19,MIA,miss,,,,,,,,,,James Johnson,0,,,missed,,Jump Shot,8,-82,-5,16.8,89.5,MISS Johnson 8' Jump Shot
"=""0021800339""",2018-2019 Regular Season,2018-12-02,Jae Crowder,Joe Ingles,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Rodney McGruder,James Johnson,Hassan Whiteside,Wayne Ellington,Josh Richardson,1,3,0,00:11:10,00:00:50,00:00:00,20,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,HEAT Rebound
"=""0021800339""",2018-2019 Regular Season,2018-12-02,Jae Crowder,Joe Ingles,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Rodney McGruder,James Johnson,Hassan Whiteside,Wayne Ellington,Josh Richardson,1,3,2,00:11:03,00:00:57,00:00:07,22,MIA,shot,Josh Richardson,,,,,,,,,Hassan Whiteside,2,,,made,,Alley Oop Dunk,1,-10,11,24.0,87.9,Whiteside 1' Alley Oop Dunk (2 PTS) (Richardson 1 AST)
"=""0021800339""",2018-2019 Regular Season,2018-12-02,Jae Crowder,Joe Ingles,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Rodney McGruder,James Johnson,Hassan Whiteside,Wayne Ellington,Josh Richardson,1,3,2,00:10:43,00:01:17,00:00:20,24,UTA,miss,,,,,,,,,,Jae Crowder,0,,,missed,,Jump Shot,12,89,76,16.1,12.6,MISS Crowder 12' Jump Shot
