game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800350""",2018-2019 Regular Season,2018-12-04,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800350""",2018-2019 Regular Season,2018-12-04,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,4,CHI,jump ball,,Wendell Carter Jr.,Myles Turner,,,,,,,Myles Turner,,Ryan Arcidiacono,,,,jump ball,,,,,,Jump Ball Turner vs. Carter Jr.: Tip to Arcidiacono
"=""0021800350""",2018-2019 Regular Season,2018-12-04,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,2,0,00:11:45,00:00:15,00:00:15,7,CHI,shot,Wendell Carter Jr.,,,,,,,,,Zach LaVine,2,,,made,,Driving Finger Roll Layup,2,19,8,23.1,5.8,LaVine 2' Driving Finger Roll Layup (2 PTS) (Carter Jr. 1 AST)
"=""0021800350""",2018-2019 Regular Season,2018-12-04,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,2,0,00:11:30,00:00:30,00:00:15,9,CHI,foul,,,,,,,,Myles Turner,,Zach LaVine,,,p.foul,,,p.foul,,,,,,LaVine P.FOUL (P1.T1) (J.Van Duyne)
"=""0021800350""",2018-2019 Regular Season,2018-12-04,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,2,2,00:11:19,00:00:41,00:00:11,11,IND,shot,,,,,,,,,,Bojan Bogdanovic,2,,,made,,Driving Finger Roll Layup,1,3,11,25.3,87.9,Bogdanovic 1' Driving Finger Roll Layup (2 PTS)
"=""0021800350""",2018-2019 Regular Season,2018-12-04,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,2,2,00:11:02,00:00:58,00:00:17,12,CHI,miss,,,,,,,,,,Lauri Markkanen,0,,,missed,,Jump Shot,29,-152,247,40.2,29.7,MISS Markkanen 29' 3PT Jump Shot
"=""0021800350""",2018-2019 Regular Season,2018-12-04,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,2,2,00:11:01,00:00:59,00:00:01,13,IND,rebound,,,,,,,,,,Tyreke Evans,,,,,,rebound defensive,,,,,,Evans REBOUND (Off:0 Def:1)
"=""0021800350""",2018-2019 Regular Season,2018-12-04,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,2,2,00:10:41,00:01:19,00:00:20,14,IND,miss,,,,,,,,,,Thaddeus Young,0,,,missed,,Jump Shot,16,157,-7,40.7,89.7,MISS Young 16' Jump Shot
"=""0021800350""",2018-2019 Regular Season,2018-12-04,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,2,2,00:10:39,00:01:21,00:00:02,15,CHI,rebound,,,,,,,,,,Zach LaVine,,,,,,rebound defensive,,,,,,LaVine REBOUND (Off:0 Def:1)
"=""0021800350""",2018-2019 Regular Season,2018-12-04,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,1,2,2,00:10:27,00:01:33,00:00:12,16,CHI,miss,,,,,,,,,,Wendell Carter Jr.,0,,,missed,,Jump Shot,12,-112,28,36.2,7.8,MISS Carter Jr. 12' Jump Shot
