game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800369""",2018-2019 Regular Season,2018-12-07,Jimmy Butler,Wilson Chandler,Amir Johnson,JJ Redick,Ben Simmons,Glenn Robinson III,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800369""",2018-2019 Regular Season,2018-12-07,Jimmy Butler,Wilson Chandler,Amir Johnson,JJ Redick,Ben Simmons,Glenn Robinson III,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,4,PHI,jump ball,,Amir Johnson,Andre Drummond,,,,,,,Andre Drummond,,Ben Simmons,,,,jump ball,,,,,,Jump Ball Drummond vs. Johnson: Tip to Simmons
"=""0021800369""",2018-2019 Regular Season,2018-12-07,Jimmy Butler,Wilson Chandler,Amir Johnson,JJ Redick,Ben Simmons,Glenn Robinson III,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,2,0,00:11:47,00:00:13,00:00:13,7,PHI,shot,,,,,,,,,,Jimmy Butler,2,,,made,,Step Back Jump Shot,18,114,135,13.6,18.5,Butler 18' Step Back Jump Shot (2 PTS)
"=""0021800369""",2018-2019 Regular Season,2018-12-07,Jimmy Butler,Wilson Chandler,Amir Johnson,JJ Redick,Ben Simmons,Glenn Robinson III,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,2,0,00:11:29,00:00:31,00:00:18,8,DET,turnover,,,,,,,,,,Reggie Jackson,,,bad pass ,,Jimmy Butler,bad pass ,,,,,,"Butler STEAL (1 STL), Jackson Bad Pass Turnover (P1.T1)"
"=""0021800369""",2018-2019 Regular Season,2018-12-07,Jimmy Butler,Wilson Chandler,Amir Johnson,JJ Redick,Ben Simmons,Glenn Robinson III,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,4,0,00:11:22,00:00:38,00:00:07,10,PHI,shot,Jimmy Butler,,,,,,,,,Ben Simmons,2,,,made,,Layup,5,54,10,19.6,6.0,Simmons 5' Layup (2 PTS) (Butler 1 AST)
"=""0021800369""",2018-2019 Regular Season,2018-12-07,Jimmy Butler,Wilson Chandler,Amir Johnson,JJ Redick,Ben Simmons,Glenn Robinson III,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,4,0,00:11:09,00:00:51,00:00:13,12,DET,miss,,,,,,,,,,Reggie Jackson,0,,,missed,,Jump Shot,26,124,232,37.4,65.8,MISS Jackson 26' 3PT Jump Shot
"=""0021800369""",2018-2019 Regular Season,2018-12-07,Jimmy Butler,Wilson Chandler,Amir Johnson,JJ Redick,Ben Simmons,Glenn Robinson III,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,4,0,00:11:04,00:00:56,00:00:05,13,PHI,rebound,,,,,,,,,,Ben Simmons,,,,,,rebound defensive,,,,,,Simmons REBOUND (Off:0 Def:1)
"=""0021800369""",2018-2019 Regular Season,2018-12-07,Jimmy Butler,Wilson Chandler,Amir Johnson,JJ Redick,Ben Simmons,Glenn Robinson III,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,4,0,00:10:57,00:01:03,00:00:07,14,PHI,miss,,,,,,,,,,Amir Johnson,0,,,missed,,Jump Shot,28,164,221,8.6,27.1,MISS Johnson 28' 3PT Jump Shot
"=""0021800369""",2018-2019 Regular Season,2018-12-07,Jimmy Butler,Wilson Chandler,Amir Johnson,JJ Redick,Ben Simmons,Glenn Robinson III,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,4,0,00:10:54,00:01:06,00:00:03,15,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound defensive,,,,,,Drummond REBOUND (Off:0 Def:1)
"=""0021800369""",2018-2019 Regular Season,2018-12-07,Jimmy Butler,Wilson Chandler,Amir Johnson,JJ Redick,Ben Simmons,Glenn Robinson III,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,1,4,0,00:10:48,00:01:12,00:00:06,16,PHI,foul,,,,,,,,Blake Griffin,,Ben Simmons,,,s.foul,,,s.foul,,,,,,Simmons S.FOUL (P1.T1) (M.Boland)
