game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800374""",2018-2019 Regular Season,2018-12-07,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Solomon Hill,Anthony Davis,Julius Randle,Jrue Holiday,Tim Frazier,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800374""",2018-2019 Regular Season,2018-12-07,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Solomon Hill,Anthony Davis,Julius Randle,Jrue Holiday,Tim Frazier,1,0,0,00:12:00,00:00:00,00:00:00,4,MEM,jump ball,,Marc Gasol,Anthony Davis,,,,,,,Anthony Davis,,Jaren Jackson Jr.,,,,jump ball,,,,,,Jump Ball Davis vs. Gasol: Tip to Jackson Jr.
"=""0021800374""",2018-2019 Regular Season,2018-12-07,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Solomon Hill,Anthony Davis,Julius Randle,Jrue Holiday,Tim Frazier,1,0,0,00:11:46,00:00:14,00:00:14,7,NOP,foul,,,,,,,,Kyle Anderson,,Solomon Hill,,,s.foul,,,s.foul,,,,,,S. Hill S.FOUL (P1.T1) (E.Lewis)
"=""0021800374""",2018-2019 Regular Season,2018-12-07,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Solomon Hill,Anthony Davis,Julius Randle,Jrue Holiday,Tim Frazier,1,0,0,00:11:46,00:00:14,00:00:00,9,MEM,free throw,,,,,,,1,,2,Kyle Anderson,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Anderson Free Throw 1 of 2
"=""0021800374""",2018-2019 Regular Season,2018-12-07,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Solomon Hill,Anthony Davis,Julius Randle,Jrue Holiday,Tim Frazier,1,0,0,00:11:46,00:00:14,00:00:00,10,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Grizzlies Rebound
"=""0021800374""",2018-2019 Regular Season,2018-12-07,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Solomon Hill,Anthony Davis,Julius Randle,Jrue Holiday,Tim Frazier,1,1,0,00:11:46,00:00:14,00:00:00,11,MEM,free throw,,,,,,,2,,2,Kyle Anderson,1,,,made,,Free Throw 2 of 2,,,,,,Anderson Free Throw 2 of 2 (1 PTS)
"=""0021800374""",2018-2019 Regular Season,2018-12-07,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Solomon Hill,Anthony Davis,Julius Randle,Jrue Holiday,Tim Frazier,1,1,2,00:11:31,00:00:29,00:00:15,12,NOP,shot,,,,,,,,,,Anthony Davis,2,,,made,,Pullup Jump Shot,11,-34,100,21.6,79.0,Davis 11' Pullup Jump Shot (2 PTS)
"=""0021800374""",2018-2019 Regular Season,2018-12-07,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Solomon Hill,Anthony Davis,Julius Randle,Jrue Holiday,Tim Frazier,1,3,2,00:11:12,00:00:48,00:00:19,13,MEM,shot,Mike Conley,,,,,,,,,Marc Gasol,2,,,made,,Jump Shot,17,-133,106,38.3,15.6,Gasol 17' Jump Shot (2 PTS) (Conley 1 AST)
"=""0021800374""",2018-2019 Regular Season,2018-12-07,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Solomon Hill,Anthony Davis,Julius Randle,Jrue Holiday,Tim Frazier,1,3,4,00:10:53,00:01:07,00:00:19,15,NOP,shot,Jrue Holiday,,,,,,,,,Tim Frazier,2,,,made,,Reverse Layup,2,24,0,27.4,89.0,Frazier 2' Reverse Layup (2 PTS) (Holiday 1 AST)
"=""0021800374""",2018-2019 Regular Season,2018-12-07,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Solomon Hill,Anthony Davis,Julius Randle,Jrue Holiday,Tim Frazier,1,3,4,00:10:37,00:01:23,00:00:16,17,MEM,miss,,,,,,,,,,Marc Gasol,0,,,missed,,Jump Shot,9,-8,89,25.8,13.9,MISS Gasol 9' Jump Shot
