game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800384""",2018-2019 Regular Season,2018-12-08,LeBron James,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800384""",2018-2019 Regular Season,2018-12-08,LeBron James,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,0,0,00:12:00,00:00:00,00:00:00,4,MEM,jump ball,,JaVale McGee,Marc Gasol,,,,,,,Marc Gasol,,Jaren Jackson Jr.,,,,jump ball,,,,,,Jump Ball Gasol vs. McGee: Tip to Jackson Jr.
"=""0021800384""",2018-2019 Regular Season,2018-12-08,LeBron James,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,0,0,00:11:38,00:00:22,00:00:22,7,MEM,miss,,,,,,,,,,Garrett Temple,0,,,missed,,Jump Shot,27,134,235,38.4,65.5,MISS Temple 27' 3PT Jump Shot
"=""0021800384""",2018-2019 Regular Season,2018-12-08,LeBron James,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,0,0,00:11:34,00:00:26,00:00:04,8,LAL,rebound,,,,,,,,,,JaVale McGee,,,,,,rebound defensive,,,,,,McGee REBOUND (Off:0 Def:1)
"=""0021800384""",2018-2019 Regular Season,2018-12-08,LeBron James,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,0,0,00:11:24,00:00:36,00:00:10,9,LAL,turnover,,,,,,,,,,LeBron James,,,bad pass ,,Marc Gasol,bad pass ,,,,,,"James Bad Pass Turnover (P1.T1), Gasol STEAL (1 STL)"
"=""0021800384""",2018-2019 Regular Season,2018-12-08,LeBron James,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,0,3,00:11:07,00:00:53,00:00:17,12,MEM,shot,Garrett Temple,,,,,,,,,Jaren Jackson Jr.,3,,,made,,Jump Shot,26,98,243,34.8,64.7,Jackson Jr. 26' 3PT Jump Shot (3 PTS) (Temple 1 AST)
"=""0021800384""",2018-2019 Regular Season,2018-12-08,LeBron James,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,0,3,00:10:50,00:01:10,00:00:17,14,LAL,miss,,,,Marc Gasol,,,,,,JaVale McGee,0,,,missed,,unknown,4,15,41,23.5,9.1,"MISS McGee 4' Driving Layup, Gasol BLOCK (1 BLK)"
"=""0021800384""",2018-2019 Regular Season,2018-12-08,LeBron James,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,0,3,00:10:50,00:01:10,00:00:00,16,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Lakers Rebound
"=""0021800384""",2018-2019 Regular Season,2018-12-08,LeBron James,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,2,3,00:10:47,00:01:13,00:00:03,18,LAL,shot,LeBron James,,,,,,,,,Kyle Kuzma,2,,,made,,Jump Shot,20,203,-4,4.7,4.6,Kuzma 20' Jump Shot (2 PTS) (James 1 AST)
"=""0021800384""",2018-2019 Regular Season,2018-12-08,LeBron James,Kyle Kuzma,JaVale McGee,Josh Hart,Lonzo Ball,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,1,2,3,00:10:29,00:01:31,00:00:18,20,MEM,miss,,,,,,,,,,Mike Conley,0,,,missed,,Pullup Jump Shot,25,182,174,43.2,71.6,MISS Conley 25' 3PT Pullup Jump Shot
