game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021800396,2018-2019 Regular Season,12/10/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021800396,2018-2019 Regular Season,12/10/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,0,0:12:00,0:00:00,0:00:00,4,OKC,jump ball,,Rudy Gobert,Steven Adams,,,,,,,Steven Adams,,Russell Westbrook,,,,jump ball,,,,,,Jump Ball Adams vs. Gobert: Tip to Westbrook
0021800396,2018-2019 Regular Season,12/10/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,0,0:11:45,0:00:15,0:00:15,7,OKC,miss,,,,,,,,,,Steven Adams,0,,,missed,,Jump Shot,8,-40,67,21,82.3,MISS Adams 8' Jump Shot
0021800396,2018-2019 Regular Season,12/10/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,0,0:11:42,0:00:18,0:00:03,9,OKC,rebound,,,,,,,,,,Russell Westbrook,,,,,,rebound offensive,,,,,,Westbrook REBOUND (Off:1 Def:0)
0021800396,2018-2019 Regular Season,12/10/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,2,0:11:41,0:00:19,0:00:01,10,OKC,shot,,,,,,,,,,Russell Westbrook,2,,,made,,unknown,1,6,2,25.6,88.8,Westbrook 1' Tip Layup Shot (2 PTS)
0021800396,2018-2019 Regular Season,12/10/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,2,0:11:23,0:00:37,0:00:18,11,UTA,miss,,,,,,,,,,Joe Ingles,0,,,missed,,Jump Shot,25,-95,230,34.5,28,MISS Ingles 25' 3PT Jump Shot
0021800396,2018-2019 Regular Season,12/10/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,2,0:11:21,0:00:39,0:00:02,12,OKC,rebound,,,,,,,,,,Russell Westbrook,,,,,,rebound defensive,,,,,,Westbrook REBOUND (Off:1 Def:1)
0021800396,2018-2019 Regular Season,12/10/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,4,0:11:13,0:00:47,0:00:08,13,OKC,shot,Russell Westbrook,,,,,,,,,Steven Adams,2,,,made,,Layup,2,18,1,26.8,88.9,Adams 2' Layup (2 PTS) (Westbrook 1 AST)
0021800396,2018-2019 Regular Season,12/10/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,4,0:10:56,0:01:04,0:00:17,15,UTA,turnover,,,,,,,,,,Donovan Mitchell,,,bad pass ,,Paul George,bad pass ,,,,,,"Mitchell Bad Pass Turnover (P1.T1), George STEAL (1 STL)"
0021800396,2018-2019 Regular Season,12/10/2018,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,6,0:10:53,0:01:07,0:00:03,17,OKC,shot,,,,,,,,,,Paul George,2,,,made,,Running Layup,1,-2,11,24.8,87.9,George 1' Running Layup (2 PTS)
