game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800403""",2018-2019 Regular Season,2018-12-11,Josh Jackson,T.J. Warren,Deandre Ayton,Mikal Bridges,De'Anthony Melton,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800403""",2018-2019 Regular Season,2018-12-11,Josh Jackson,T.J. Warren,Deandre Ayton,Mikal Bridges,De'Anthony Melton,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:12:00,00:00:00,00:00:00,4,SAS,jump ball,,Deandre Ayton,LaMarcus Aldridge,,,,,,,LaMarcus Aldridge,,DeMar DeRozan,,,,jump ball,,,,,,Jump Ball Aldridge vs. Ayton: Tip to DeRozan
"=""0021800403""",2018-2019 Regular Season,2018-12-11,Josh Jackson,T.J. Warren,Deandre Ayton,Mikal Bridges,De'Anthony Melton,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,3,00:11:42,00:00:18,00:00:18,7,SAS,shot,DeMar DeRozan,,,,,,,,,Bryn Forbes,3,,,made,,Jump Shot,27,133,230,38.3,66.0,Forbes 27' 3PT Jump Shot (3 PTS) (DeRozan 1 AST)
"=""0021800403""",2018-2019 Regular Season,2018-12-11,Josh Jackson,T.J. Warren,Deandre Ayton,Mikal Bridges,De'Anthony Melton,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,3,00:11:17,00:00:43,00:00:25,9,PHX,miss,,,,,,,,,,T.J. Warren,0,,,missed,,Jump Shot,26,180,189,7.0,23.9,MISS Warren 26' 3PT Jump Shot
"=""0021800403""",2018-2019 Regular Season,2018-12-11,Josh Jackson,T.J. Warren,Deandre Ayton,Mikal Bridges,De'Anthony Melton,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,3,00:11:14,00:00:46,00:00:03,10,SAS,rebound,,,,,,,,,,Bryn Forbes,,,,,,rebound defensive,,,,,,Forbes REBOUND (Off:0 Def:1)
"=""0021800403""",2018-2019 Regular Season,2018-12-11,Josh Jackson,T.J. Warren,Deandre Ayton,Mikal Bridges,De'Anthony Melton,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,3,00:11:09,00:00:51,00:00:05,11,SAS,miss,,,,,,,,,,Rudy Gay,0,,,missed,,Jump Shot,28,-132,247,11.8,64.3,MISS Gay 28' 3PT Jump Shot
"=""0021800403""",2018-2019 Regular Season,2018-12-11,Josh Jackson,T.J. Warren,Deandre Ayton,Mikal Bridges,De'Anthony Melton,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,3,00:11:06,00:00:54,00:00:03,12,PHX,rebound,,,,,,,,,,Josh Jackson,,,,,,rebound defensive,,,,,,Jackson REBOUND (Off:0 Def:1)
"=""0021800403""",2018-2019 Regular Season,2018-12-11,Josh Jackson,T.J. Warren,Deandre Ayton,Mikal Bridges,De'Anthony Melton,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,3,00:11:00,00:01:00,00:00:06,13,SAS,foul,,,,,,,,Josh Jackson,,Rudy Gay,,,p.foul,,,p.foul,,,,,,Gay P.FOUL (P1.T1) (J.Capers)
"=""0021800403""",2018-2019 Regular Season,2018-12-11,Josh Jackson,T.J. Warren,Deandre Ayton,Mikal Bridges,De'Anthony Melton,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,3,00:10:49,00:01:11,00:00:11,15,PHX,miss,,,,,,,,,,Deandre Ayton,0,,,missed,,Jump Shot,17,66,153,18.4,20.3,MISS Ayton 17' Jump Shot
"=""0021800403""",2018-2019 Regular Season,2018-12-11,Josh Jackson,T.J. Warren,Deandre Ayton,Mikal Bridges,De'Anthony Melton,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,3,00:10:46,00:01:14,00:00:03,16,SAS,rebound,,,,,,,,,,Bryn Forbes,,,,,,rebound defensive,,,,,,Forbes REBOUND (Off:0 Def:2)
