game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800417""",2018-2019 Regular Season,2018-12-13,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800417""",2018-2019 Regular Season,2018-12-13,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:12:00,00:00:00,00:00:00,4,LAC,jump ball,,Marcin Gortat,LaMarcus Aldridge,,,,,,,LaMarcus Aldridge,,Avery Bradley,,,,jump ball,,,,,,Jump Ball Aldridge vs. Gortat: Tip to Bradley
"=""0021800417""",2018-2019 Regular Season,2018-12-13,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:11:36,00:00:24,00:00:24,56,LAC,turnover,,,,,,,,,,Shai Gilgeous-Alexander,,,bad pass ,,Bryn Forbes,bad pass ,,,,,,"Gilgeous-Alexander Bad Pass Turnover (P1.T1), Forbes STEAL (1 STL)"
"=""0021800417""",2018-2019 Regular Season,2018-12-13,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:11:26,00:00:34,00:00:10,9,SAS,miss,,,,,,,,,,Bryn Forbes,0,,,missed,,Jump Shot,27,80,253,33.0,63.7,MISS Forbes 27' 3PT Jump Shot
"=""0021800417""",2018-2019 Regular Season,2018-12-13,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:11:23,00:00:37,00:00:03,10,LAC,rebound,,,,,,,,,,Marcin Gortat,,,,,,rebound defensive,,,,,,Gortat REBOUND (Off:0 Def:1)
"=""0021800417""",2018-2019 Regular Season,2018-12-13,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,2,0,00:11:15,00:00:45,00:00:08,11,LAC,shot,Avery Bradley,,,,,,,,,Tobias Harris,2,,,made,,Jump Shot,15,-69,134,31.9,18.4,Harris 15' Jump Shot (2 PTS) (Bradley 1 AST)
"=""0021800417""",2018-2019 Regular Season,2018-12-13,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,2,2,00:10:52,00:01:08,00:00:23,13,SAS,shot,DeMar DeRozan,,,,,,,,,LaMarcus Aldridge,2,,,made,,Turnaround Hook Shot,5,-33,39,21.7,85.1,Aldridge 5' Turnaround Hook Shot (2 PTS) (DeRozan 1 AST)
"=""0021800417""",2018-2019 Regular Season,2018-12-13,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,5,2,00:10:37,00:01:23,00:00:15,15,LAC,shot,Danilo Gallinari,,,,,,,,,Avery Bradley,3,,,made,,Pullup Jump Shot,26,-89,241,33.9,29.1,Bradley 26' 3PT Pullup Jump Shot (3 PTS) (Gallinari 1 AST)
"=""0021800417""",2018-2019 Regular Season,2018-12-13,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,5,2,00:10:23,00:01:37,00:00:14,16,SAS,miss,,,,,,,,,,DeMar DeRozan,0,,,missed,,Turnaround Jump Shot,15,-6,147,24.4,74.3,MISS DeRozan 15' Turnaround Jump Shot
"=""0021800417""",2018-2019 Regular Season,2018-12-13,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,5,2,00:10:21,00:01:39,00:00:02,17,LAC,rebound,,,,,,,,,,Marcin Gortat,,,,,,rebound defensive,,,,,,Gortat REBOUND (Off:0 Def:2)
"=""0021800417""",2018-2019 Regular Season,2018-12-13,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,5,2,00:10:15,00:01:45,00:00:06,18,LAC,turnover,,,,,,,,,,Shai Gilgeous-Alexander,,,lost ball ,,Rudy Gay,lost ball ,,,,,,"Gilgeous-Alexander Lost Ball Turnover (P2.T2), Gay STEAL (1 STL)"
"=""0021800417""",2018-2019 Regular Season,2018-12-13,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,5,2,00:10:15,00:01:45,00:00:00,20,LAC,foul,,,,,,,,Rudy Gay,,Shai Gilgeous-Alexander,,,p.foul,,,p.foul,,,,,,Gilgeous-Alexander P.FOUL (P1.T1) (H.Workman)
"=""0021800417""",2018-2019 Regular Season,2018-12-13,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,5,2,00:10:15,00:01:45,00:00:00,22,,unknown,,,,,,,,,,,,,,,,uknown,,,,,,
"=""0021800417""",2018-2019 Regular Season,2018-12-13,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,5,5,00:09:53,00:02:07,00:00:22,23,SAS,shot,,,,,,,,,,Rudy Gay,3,,,made,,Pullup Jump Shot,26,107,239,35.7,65.1,Gay 26' 3PT Pullup Jump Shot (3 PTS)
"=""0021800417""",2018-2019 Regular Season,2018-12-13,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,7,5,00:09:40,00:02:20,00:00:13,24,LAC,shot,,,,,,,,,,Tobias Harris,2,,,made,,Pullup Jump Shot,10,13,101,23.7,15.1,Harris 10' Pullup Jump Shot (4 PTS)
