game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800423""",2018-2019 Regular Season,2018-12-14,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Pat Connaughton,Eric Bledsoe,Cedi Osman,Alec Burks,Channing Frye,Rodney Hood,Collin Sexton,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800423""",2018-2019 Regular Season,2018-12-14,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Pat Connaughton,Eric Bledsoe,Cedi Osman,Alec Burks,Channing Frye,Rodney Hood,Collin Sexton,1,0,0,00:12:00,00:00:00,00:00:00,4,MIL,jump ball,,Brook Lopez,Channing Frye,,,,,,,Channing Frye,,Giannis Antetokounmpo,,,,jump ball,,,,,,Jump Ball Frye vs. Lopez: Tip to Antetokounmpo
"=""0021800423""",2018-2019 Regular Season,2018-12-14,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Pat Connaughton,Eric Bledsoe,Cedi Osman,Alec Burks,Channing Frye,Rodney Hood,Collin Sexton,1,2,0,00:11:43,00:00:17,00:00:17,7,MIL,shot,Brook Lopez,,,,,,,,,Giannis Antetokounmpo,2,,,made,,unknown,1,-2,5,25.2,5.5,Antetokounmpo 1' Driving Dunk (2 PTS) (Lopez 1 AST)
"=""0021800423""",2018-2019 Regular Season,2018-12-14,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Pat Connaughton,Eric Bledsoe,Cedi Osman,Alec Burks,Channing Frye,Rodney Hood,Collin Sexton,1,2,0,00:11:35,00:00:25,00:00:08,10,MIL,foul,,,,,,,,Collin Sexton,,Eric Bledsoe,,,l.b.foul,,,l.b.foul,,,,,,Bledsoe L.B.FOUL (P1.T1) (A.Smith)
"=""0021800423""",2018-2019 Regular Season,2018-12-14,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Pat Connaughton,Eric Bledsoe,Cedi Osman,Alec Burks,Channing Frye,Rodney Hood,Collin Sexton,1,2,0,00:11:25,00:00:35,00:00:10,12,CLE,turnover,,,,,,,,,,Collin Sexton,,,bad pass ,,Tony Snell,bad pass ,,,,,,"Snell STEAL (1 STL), Sexton Bad Pass Turnover (P1.T1)"
"=""0021800423""",2018-2019 Regular Season,2018-12-14,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Pat Connaughton,Eric Bledsoe,Cedi Osman,Alec Burks,Channing Frye,Rodney Hood,Collin Sexton,1,2,0,00:11:19,00:00:41,00:00:06,14,MIL,miss,,,,,,,,,,Brook Lopez,0,,,missed,,Jump Shot,28,-181,215,43.1,26.5,MISS Lopez 28' 3PT Jump Shot
"=""0021800423""",2018-2019 Regular Season,2018-12-14,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Pat Connaughton,Eric Bledsoe,Cedi Osman,Alec Burks,Channing Frye,Rodney Hood,Collin Sexton,1,2,0,00:11:16,00:00:44,00:00:03,15,CLE,rebound,,,,,,,,,,Cedi Osman,,,,,,rebound defensive,,,,,,Osman REBOUND (Off:0 Def:1)
"=""0021800423""",2018-2019 Regular Season,2018-12-14,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Pat Connaughton,Eric Bledsoe,Cedi Osman,Alec Burks,Channing Frye,Rodney Hood,Collin Sexton,1,2,0,00:10:55,00:01:05,00:00:21,16,CLE,miss,,,,,,,,,,Rodney Hood,0,,,missed,,Jump Shot,28,145,241,39.5,64.9,MISS Hood 28' 3PT Jump Shot
"=""0021800423""",2018-2019 Regular Season,2018-12-14,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Pat Connaughton,Eric Bledsoe,Cedi Osman,Alec Burks,Channing Frye,Rodney Hood,Collin Sexton,1,2,0,00:10:53,00:01:07,00:00:02,17,MIL,rebound,,,,,,,,,,Giannis Antetokounmpo,,,,,,rebound defensive,,,,,,Antetokounmpo REBOUND (Off:0 Def:1)
"=""0021800423""",2018-2019 Regular Season,2018-12-14,Tony Snell,Giannis Antetokounmpo,Brook Lopez,Pat Connaughton,Eric Bledsoe,Cedi Osman,Alec Burks,Channing Frye,Rodney Hood,Collin Sexton,1,5,0,00:10:43,00:01:17,00:00:10,18,MIL,shot,Pat Connaughton,,,,,,,,,Tony Snell,3,,,made,,Jump Shot,25,90,232,16.0,28.2,Snell 25' 3PT Jump Shot (3 PTS) (Connaughton 1 AST)
