game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800432""",2018-2019 Regular Season,2018-12-15,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Shelvin Mack,Mike Conley,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800432""",2018-2019 Regular Season,2018-12-15,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Shelvin Mack,Mike Conley,1,0,0,00:12:00,00:00:00,00:00:00,4,HOU,jump ball,,Clint Capela,Marc Gasol,,,,,,,Marc Gasol,,Chris Paul,,,,jump ball,,,,,,Jump Ball Gasol vs. Capela: Tip to Paul
"=""0021800432""",2018-2019 Regular Season,2018-12-15,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Shelvin Mack,Mike Conley,1,0,0,00:11:42,00:00:18,00:00:18,7,MEM,foul,,,,,,,,James Harden,,Jaren Jackson Jr.,,,s.foul,,,s.foul,,,,,,Jackson Jr. S.FOUL (P1.T1) (J.DeRosa)
"=""0021800432""",2018-2019 Regular Season,2018-12-15,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Shelvin Mack,Mike Conley,1,0,0,00:11:42,00:00:18,00:00:00,9,HOU,free throw,,,,,,,1,,3,James Harden,0,,,missed,,Free Throw 1 of 3,,,,,,MISS Harden Free Throw 1 of 3
"=""0021800432""",2018-2019 Regular Season,2018-12-15,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Shelvin Mack,Mike Conley,1,0,0,00:11:42,00:00:18,00:00:00,10,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Rockets Rebound
"=""0021800432""",2018-2019 Regular Season,2018-12-15,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Shelvin Mack,Mike Conley,1,1,0,00:11:42,00:00:18,00:00:00,11,HOU,free throw,,,,,,,2,,3,James Harden,1,,,made,,Free Throw 2 of 3,,,,,,Harden Free Throw 2 of 3 (1 PTS)
"=""0021800432""",2018-2019 Regular Season,2018-12-15,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Shelvin Mack,Mike Conley,1,2,0,00:11:42,00:00:18,00:00:00,12,HOU,free throw,,,,,,,3,,3,James Harden,1,,,made,,Free Throw 3 of 3,,,,,,Harden Free Throw 3 of 3 (2 PTS)
"=""0021800432""",2018-2019 Regular Season,2018-12-15,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Shelvin Mack,Mike Conley,1,2,0,00:11:33,00:00:27,00:00:09,13,HOU,foul,,,,,,,,Marc Gasol,,Eric Gordon,,,p.foul,,,p.foul,,,,,,Gordon P.FOUL (P1.T1) (T.Brothers)
"=""0021800432""",2018-2019 Regular Season,2018-12-15,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Shelvin Mack,Mike Conley,1,2,2,00:11:22,00:00:38,00:00:11,15,MEM,shot,Mike Conley,,,,,,,,,Marc Gasol,2,,,made,,Turnaround Fadeaway ,7,1,66,25.1,82.4,Gasol 7' Turnaround Fadeaway (2 PTS) (Conley 1 AST)
"=""0021800432""",2018-2019 Regular Season,2018-12-15,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Shelvin Mack,Mike Conley,1,4,2,00:11:08,00:00:52,00:00:14,17,HOU,shot,James Harden,,,,,,,,,Clint Capela,2,,,made,,Alley Oop Layup,1,-6,5,25.6,5.5,Capela 1' Alley Oop Layup (2 PTS) (Harden 1 AST)
"=""0021800432""",2018-2019 Regular Season,2018-12-15,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Shelvin Mack,Mike Conley,1,4,4,00:11:03,00:00:57,00:00:05,19,MEM,shot,Mike Conley,,,,,,,,,Garrett Temple,2,,,made,,Running Layup,1,-8,4,24.2,88.6,Temple 1' Running Layup (2 PTS) (Conley 2 AST)
"=""0021800432""",2018-2019 Regular Season,2018-12-15,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Shelvin Mack,Mike Conley,1,4,4,00:10:51,00:01:09,00:00:12,21,MEM,foul,,,,,,,,Chris Paul,,Marc Gasol,,,p.foul,,,p.foul,,,,,,Gasol P.FOUL (P1.T2) (J.DeRosa)
"=""0021800432""",2018-2019 Regular Season,2018-12-15,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Shelvin Mack,Mike Conley,1,6,4,00:10:39,00:01:21,00:00:12,23,HOU,shot,,,,,,,,,,James Harden,2,,,made,,Driving Reverse Layup,2,-9,13,25.9,6.3,Harden 2' Driving Reverse Layup (4 PTS)
"=""0021800432""",2018-2019 Regular Season,2018-12-15,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Shelvin Mack,Mike Conley,1,6,4,00:10:33,00:01:27,00:00:06,24,MEM,miss,,,,,,,,,,Garrett Temple,0,,,missed,,Running Jump Shot,26,-166,194,8.4,69.6,MISS Temple 26' 3PT Running Jump Shot
"=""0021800432""",2018-2019 Regular Season,2018-12-15,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Shelvin Mack,Mike Conley,1,6,4,00:10:29,00:01:31,00:00:04,25,HOU,rebound,,,,,,,,,,James Harden,,,,,,rebound defensive,,,,,,Harden REBOUND (Off:0 Def:1)
"=""0021800432""",2018-2019 Regular Season,2018-12-15,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Shelvin Mack,Mike Conley,1,6,4,00:10:28,00:01:32,00:00:01,26,HOU,turnover,,,,,,,,,,James Harden,,,,,,unknown,,,,,,Harden Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021800432""",2018-2019 Regular Season,2018-12-15,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Shelvin Mack,Mike Conley,1,6,4,00:10:09,00:01:51,00:00:19,27,MEM,miss,,,,,,,,,,Shelvin Mack,0,,,missed,,unknown,8,-53,58,19.7,83.2,MISS Mack 8' Driving Floating Jump Shot
"=""0021800432""",2018-2019 Regular Season,2018-12-15,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Shelvin Mack,Mike Conley,1,6,4,00:10:06,00:01:54,00:00:03,28,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,GRIZZLIES Rebound
