game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800437""",2018-2019 Regular Season,2018-12-16,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Alec Burks,Cedi Osman,Ante Zizic,Rodney Hood,Collin Sexton,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800437""",2018-2019 Regular Season,2018-12-16,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Alec Burks,Cedi Osman,Ante Zizic,Rodney Hood,Collin Sexton,1,0,0,00:12:00,00:00:00,00:00:00,4,PHI,jump ball,,Joel Embiid,Ante Zizic,,,,,,,Ante Zizic,,Ben Simmons,,,,jump ball,,,,,,Jump Ball Zizic vs. Embiid: Tip to Simmons
"=""0021800437""",2018-2019 Regular Season,2018-12-16,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Alec Burks,Cedi Osman,Ante Zizic,Rodney Hood,Collin Sexton,1,0,0,00:11:44,00:00:16,00:00:16,7,CLE,foul,,,,,,,,JJ Redick,,Rodney Hood,,,p.foul,,,p.foul,,,,,,Hood P.FOUL (P1.T1) (L.Wood)
"=""0021800437""",2018-2019 Regular Season,2018-12-16,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Alec Burks,Cedi Osman,Ante Zizic,Rodney Hood,Collin Sexton,1,0,0,00:11:33,00:00:27,00:00:11,9,PHI,miss,,,,,,,,,,Ben Simmons,0,,,missed,,unknown,2,-14,19,26.4,6.9,MISS Simmons 2' Driving Layup
"=""0021800437""",2018-2019 Regular Season,2018-12-16,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Alec Burks,Cedi Osman,Ante Zizic,Rodney Hood,Collin Sexton,1,0,0,00:11:29,00:00:31,00:00:04,10,CLE,rebound,,,,,,,,,,Ante Zizic,,,,,,rebound defensive,,,,,,Zizic REBOUND (Off:0 Def:1)
"=""0021800437""",2018-2019 Regular Season,2018-12-16,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Alec Burks,Cedi Osman,Ante Zizic,Rodney Hood,Collin Sexton,1,0,2,00:11:23,00:00:37,00:00:06,11,CLE,shot,Rodney Hood,,,,,,,,,Collin Sexton,2,,,made,,unknown,1,-7,-3,24.3,89.3,Sexton 1' Cutting Layup Shot (2 PTS) (Hood 1 AST)
"=""0021800437""",2018-2019 Regular Season,2018-12-16,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Alec Burks,Cedi Osman,Ante Zizic,Rodney Hood,Collin Sexton,1,0,2,00:11:10,00:00:50,00:00:13,13,PHI,turnover,,,,,,,,,,JJ Redick,,,bad pass ,,Collin Sexton,bad pass ,,,,,,"Redick Bad Pass Turnover (P1.T1), Sexton STEAL (1 STL)"
"=""0021800437""",2018-2019 Regular Season,2018-12-16,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Alec Burks,Cedi Osman,Ante Zizic,Rodney Hood,Collin Sexton,1,0,2,00:10:56,00:01:04,00:00:14,15,CLE,miss,,,,,,,,,,Cedi Osman,0,,,missed,,Jump Shot,25,93,237,34.3,65.3,MISS Osman 25' 3PT Jump Shot
"=""0021800437""",2018-2019 Regular Season,2018-12-16,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Alec Burks,Cedi Osman,Ante Zizic,Rodney Hood,Collin Sexton,1,0,2,00:10:53,00:01:07,00:00:03,16,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound defensive,,,,,,Embiid REBOUND (Off:0 Def:1)
"=""0021800437""",2018-2019 Regular Season,2018-12-16,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,Alec Burks,Cedi Osman,Ante Zizic,Rodney Hood,Collin Sexton,1,0,2,00:10:47,00:01:13,00:00:06,17,CLE,foul,,,,,,,,JJ Redick,,Rodney Hood,,,p.foul,,,p.foul,,,,,,Hood P.FOUL (P2.T2) (J.Sterling)
