game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800452""",2018-2019 Regular Season,2018-12-18,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,John Wall,Kevin Huerter,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800452""",2018-2019 Regular Season,2018-12-18,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,John Wall,Kevin Huerter,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,4,ATL,jump ball,,Thomas Bryant,Dewayne Dedmon,,,,,,,Dewayne Dedmon,,John Collins,,,,jump ball,,,,,,Jump Ball Dedmon vs. Bryant: Tip to Collins
"=""0021800452""",2018-2019 Regular Season,2018-12-18,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,John Wall,Kevin Huerter,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,0,3,00:11:41,00:00:19,00:00:19,7,ATL,shot,John Collins,,,,,,,,,Kent Bazemore,3,,,made,,Jump Shot,23,-231,-5,1.9,89.5,Bazemore  3PT Jump Shot (3 PTS) (Collins 1 AST)
"=""0021800452""",2018-2019 Regular Season,2018-12-18,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,John Wall,Kevin Huerter,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,0,3,00:11:24,00:00:36,00:00:17,9,WAS,miss,,,,,,,,,,John Wall,0,,,missed,,Jump Shot,25,231,90,1.9,14.0,MISS Wall 25' 3PT Jump Shot
"=""0021800452""",2018-2019 Regular Season,2018-12-18,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,John Wall,Kevin Huerter,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,0,3,00:11:21,00:00:39,00:00:03,10,ATL,rebound,,,,,,,,,,Kevin Huerter,,,,,,rebound defensive,,,,,,Huerter REBOUND (Off:0 Def:1)
"=""0021800452""",2018-2019 Regular Season,2018-12-18,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,John Wall,Kevin Huerter,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,0,5,00:11:13,00:00:47,00:00:08,11,ATL,shot,John Collins,,,,,,,,,Kent Bazemore,2,,,made,,unknown,1,-3,10,24.7,88.0,Bazemore 1' Driving Layup (5 PTS) (Collins 2 AST)
"=""0021800452""",2018-2019 Regular Season,2018-12-18,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,John Wall,Kevin Huerter,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,0,5,00:11:02,00:00:58,00:00:11,13,WAS,miss,,,,,,,,,,Trevor Ariza,0,,,missed,,Jump Shot,23,226,11,2.4,6.1,MISS Ariza  3PT Jump Shot
"=""0021800452""",2018-2019 Regular Season,2018-12-18,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,John Wall,Kevin Huerter,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,0,5,00:11:00,00:01:00,00:00:02,14,ATL,rebound,,,,,,,,,,Dewayne Dedmon,,,,,,rebound defensive,,,,,,Dedmon REBOUND (Off:0 Def:1)
"=""0021800452""",2018-2019 Regular Season,2018-12-18,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,John Wall,Kevin Huerter,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,0,5,00:10:50,00:01:10,00:00:10,15,ATL,miss,,,,,,,,,,Kent Bazemore,0,,,missed,,Jump Shot,25,82,238,33.2,65.2,MISS Bazemore 25' 3PT Jump Shot
"=""0021800452""",2018-2019 Regular Season,2018-12-18,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,John Wall,Kevin Huerter,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,0,5,00:10:46,00:01:14,00:00:04,16,WAS,rebound,,,,,,,,,,Bradley Beal,,,,,,rebound defensive,,,,,,Beal REBOUND (Off:0 Def:1)
