game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800457""",2018-2019 Regular Season,2018-12-19,Kevin Knox,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800457""",2018-2019 Regular Season,2018-12-19,Kevin Knox,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,4,NYK,jump ball,,Noah Vonleh,Joel Embiid,,,,,,,Joel Embiid,,Tim Hardaway Jr.,,,,jump ball,,,,,,Jump Ball Embiid vs. Vonleh: Tip to Hardaway Jr.
"=""0021800457""",2018-2019 Regular Season,2018-12-19,Kevin Knox,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:32,00:00:28,00:00:28,7,NYK,miss,,,,,,,,,,Enes Kanter,0,,,missed,,Driving Hook Shot,19,-35,190,28.5,24.0,MISS Kanter 19' Driving Hook Shot
"=""0021800457""",2018-2019 Regular Season,2018-12-19,Kevin Knox,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:29,00:00:31,00:00:03,8,PHI,rebound,,,,,,,,,,Wilson Chandler,,,,,,rebound defensive,,,,,,Chandler REBOUND (Off:0 Def:1)
"=""0021800457""",2018-2019 Regular Season,2018-12-19,Kevin Knox,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:27,00:00:33,00:00:02,9,PHI,miss,,,,,,,,,,JJ Redick,0,,,missed,,Jump Shot,22,-182,125,6.8,76.5,MISS Redick 22' Jump Shot
"=""0021800457""",2018-2019 Regular Season,2018-12-19,Kevin Knox,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:27,00:00:33,00:00:00,10,NYK,rebound,,,,,,,,,,Noah Vonleh,,,,,,rebound defensive,,,,,,Vonleh REBOUND (Off:0 Def:1)
"=""0021800457""",2018-2019 Regular Season,2018-12-19,Kevin Knox,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,0,00:11:12,00:00:48,00:00:15,11,NYK,shot,,,,,,,,,,Noah Vonleh,2,,,made,,Hook Shot,6,-2,55,25.2,10.5,Vonleh 6' Hook Shot (2 PTS)
"=""0021800457""",2018-2019 Regular Season,2018-12-19,Kevin Knox,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,2,00:10:59,00:01:01,00:00:13,12,PHI,shot,Ben Simmons,,,,,,,,,Jimmy Butler,2,,,made,,Turnaround Jump Shot,19,143,122,39.3,76.8,Butler 19' Turnaround Jump Shot (2 PTS) (Simmons 1 AST)
"=""0021800457""",2018-2019 Regular Season,2018-12-19,Kevin Knox,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,2,00:10:43,00:01:17,00:00:16,14,NYK,miss,,,,,,,,,,Tim Hardaway Jr.,0,,,missed,,Pullup Jump Shot,28,79,273,17.1,32.3,MISS Hardaway Jr. 28' 3PT Pullup Jump Shot
"=""0021800457""",2018-2019 Regular Season,2018-12-19,Kevin Knox,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,1,2,2,00:10:39,00:01:21,00:00:04,15,PHI,rebound,,,,,,,,,,Ben Simmons,,,,,,rebound defensive,,,,,,Simmons REBOUND (Off:0 Def:1)
