game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800463""",2018-2019 Regular Season,2018-12-19,Luke Kennard,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Derrick Rose,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800463""",2018-2019 Regular Season,2018-12-19,Luke Kennard,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Derrick Rose,1,0,0,00:12:00,00:00:00,00:00:00,4,DET,jump ball,,Andre Drummond,Karl-Anthony Towns,,,,,,,Karl-Anthony Towns,,Blake Griffin,,,,jump ball,,,,,,Jump Ball Towns vs. Drummond: Tip to Griffin
"=""0021800463""",2018-2019 Regular Season,2018-12-19,Luke Kennard,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Derrick Rose,1,0,0,00:11:45,00:00:15,00:00:15,7,DET,miss,,,,,,,,,,Luke Kennard,0,,,missed,,Jump Shot,25,144,200,10.6,25.0,MISS Kennard 25' 3PT Jump Shot
"=""0021800463""",2018-2019 Regular Season,2018-12-19,Luke Kennard,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Derrick Rose,1,0,0,00:11:45,00:00:15,00:00:00,8,DET,rebound,,,,,,,,,,Blake Griffin,,,,,,rebound offensive,,,,,,Griffin REBOUND (Off:1 Def:0)
"=""0021800463""",2018-2019 Regular Season,2018-12-19,Luke Kennard,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Derrick Rose,1,2,0,00:11:44,00:00:16,00:00:01,9,DET,shot,,,,,,,,,,Blake Griffin,2,,,made,,Putback Layup,1,5,-5,24.5,4.5,Griffin 1' Putback Layup (2 PTS)
"=""0021800463""",2018-2019 Regular Season,2018-12-19,Luke Kennard,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Derrick Rose,1,2,0,00:11:32,00:00:28,00:00:12,10,MIN,miss,,,,,,,,,,Derrick Rose,0,,,missed,,Pullup Jump Shot,17,107,130,35.7,76.0,MISS Rose 17' Pullup Jump Shot
"=""0021800463""",2018-2019 Regular Season,2018-12-19,Luke Kennard,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Derrick Rose,1,2,0,00:11:30,00:00:30,00:00:02,11,DET,rebound,,,,,,,,,,Reggie Jackson,,,,,,rebound defensive,,,,,,Jackson REBOUND (Off:0 Def:1)
"=""0021800463""",2018-2019 Regular Season,2018-12-19,Luke Kennard,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Derrick Rose,1,2,0,00:11:21,00:00:39,00:00:09,12,DET,miss,,,,,,,,,,Andre Drummond,0,,,missed,,Hook Shot,10,-11,97,26.1,14.7,MISS Drummond 10' Hook Shot
"=""0021800463""",2018-2019 Regular Season,2018-12-19,Luke Kennard,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Derrick Rose,1,2,0,00:11:21,00:00:39,00:00:00,13,MIN,rebound,,,,,,,,,,Karl-Anthony Towns,,,,,,rebound defensive,,,,,,Towns REBOUND (Off:0 Def:1)
"=""0021800463""",2018-2019 Regular Season,2018-12-19,Luke Kennard,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Derrick Rose,1,2,0,00:11:06,00:00:54,00:00:15,14,MIN,miss,,,,,,,,,,Taj Gibson,0,,,missed,,Turnaround Hook Shot,8,3,80,25.3,81.0,MISS Gibson 8' Turnaround Hook Shot
"=""0021800463""",2018-2019 Regular Season,2018-12-19,Luke Kennard,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Derrick Rose,1,2,0,00:11:03,00:00:57,00:00:03,15,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound defensive,,,,,,Drummond REBOUND (Off:0 Def:1)
"=""0021800463""",2018-2019 Regular Season,2018-12-19,Luke Kennard,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Derrick Rose,1,5,0,00:10:40,00:01:20,00:00:23,16,DET,shot,,,,,,,,,,Luke Kennard,3,,,made,,Jump Shot,26,-103,238,35.3,28.8,Kennard 26' 3PT Jump Shot (3 PTS)
"=""0021800463""",2018-2019 Regular Season,2018-12-19,Luke Kennard,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Derrick Rose,1,5,0,00:10:21,00:01:39,00:00:19,17,MIN,miss,,,,,,,,,,Taj Gibson,0,,,missed,,Jump Shot,8,-76,37,17.4,85.3,MISS Gibson 8' Jump Shot
"=""0021800463""",2018-2019 Regular Season,2018-12-19,Luke Kennard,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Derrick Rose,1,5,0,00:10:20,00:01:40,00:00:01,18,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound defensive,,,,,,Drummond REBOUND (Off:0 Def:2)
