game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021800471,2018-2019 Regular Season,12/21/2018,Myles Turner,Domantas Sabonis,Cory Joseph,Aaron Holiday,Doug McDermott,D'Angelo Russell,Spencer Dinwiddie,Jared Dudley,Ed Davis,DeMarre Carroll,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021800471,2018-2019 Regular Season,12/21/2018,Myles Turner,Domantas Sabonis,Cory Joseph,Aaron Holiday,Doug McDermott,D'Angelo Russell,Spencer Dinwiddie,Jared Dudley,Ed Davis,DeMarre Carroll,1,0,0,0:12:00,0:00:00,0:00:00,4,BKN,jump ball,,Myles Turner,Jarrett Allen,,,,,,,Jarrett Allen,,D'Angelo Russell,,,,jump ball,,,,,,Jump Ball Allen vs. Turner: Tip to Russell
0021800471,2018-2019 Regular Season,12/21/2018,Myles Turner,Domantas Sabonis,Cory Joseph,Aaron Holiday,Doug McDermott,D'Angelo Russell,Spencer Dinwiddie,Jared Dudley,Ed Davis,DeMarre Carroll,1,0,3,0:11:41,0:00:19,0:00:19,7,BKN,shot,D'Angelo Russell,,,,,,,,,Rodions Kurucs,3,,,made,,Jump Shot,25,-160,200,9,69,Kurucs 25' 3PT Jump Shot (3 PTS) (Russell 1 AST)
0021800471,2018-2019 Regular Season,12/21/2018,Myles Turner,Domantas Sabonis,Cory Joseph,Aaron Holiday,Doug McDermott,D'Angelo Russell,Spencer Dinwiddie,Jared Dudley,Ed Davis,DeMarre Carroll,1,2,3,0:11:19,0:00:41,0:00:22,9,IND,shot,Bojan Bogdanovic,,,,,,,,,Thaddeus Young,2,,,made,,unknown,3,-26,13,27.6,6.3,Young 3' Cutting Layup Shot (2 PTS) (Bogdanovic 1 AST)
0021800471,2018-2019 Regular Season,12/21/2018,Myles Turner,Domantas Sabonis,Cory Joseph,Aaron Holiday,Doug McDermott,D'Angelo Russell,Spencer Dinwiddie,Jared Dudley,Ed Davis,DeMarre Carroll,1,2,5,0:11:08,0:00:52,0:00:11,11,BKN,shot,D'Angelo Russell,,,,,,,,,Rodions Kurucs,2,,,made,,Reverse Layup,3,20,20,27,87,Kurucs 3' Reverse Layup (5 PTS) (Russell 2 AST)
0021800471,2018-2019 Regular Season,12/21/2018,Myles Turner,Domantas Sabonis,Cory Joseph,Aaron Holiday,Doug McDermott,D'Angelo Russell,Spencer Dinwiddie,Jared Dudley,Ed Davis,DeMarre Carroll,1,2,5,0:10:53,0:01:07,0:00:15,13,IND,miss,,,,Jarrett Allen,,,,,,Myles Turner,0,,,missed,,unknown,2,2,20,24.8,7,"MISS Turner 2' Driving Dunk, Allen BLOCK (1 BLK)"
0021800471,2018-2019 Regular Season,12/21/2018,Myles Turner,Domantas Sabonis,Cory Joseph,Aaron Holiday,Doug McDermott,D'Angelo Russell,Spencer Dinwiddie,Jared Dudley,Ed Davis,DeMarre Carroll,1,2,5,0:10:53,0:01:07,0:00:00,14,IND,rebound,,,,,,,,,,Victor Oladipo,,,,,,rebound offensive,,,,,,Oladipo REBOUND (Off:1 Def:0)
0021800471,2018-2019 Regular Season,12/21/2018,Myles Turner,Domantas Sabonis,Cory Joseph,Aaron Holiday,Doug McDermott,D'Angelo Russell,Spencer Dinwiddie,Jared Dudley,Ed Davis,DeMarre Carroll,1,4,5,0:10:49,0:01:11,0:00:04,15,IND,shot,Victor Oladipo,,,,,,,,,Thaddeus Young,2,,,made,,Driving Finger Roll Layup,3,-18,20,26.8,7,Young 3' Driving Finger Roll Layup (4 PTS) (Oladipo 1 AST)
0021800471,2018-2019 Regular Season,12/21/2018,Myles Turner,Domantas Sabonis,Cory Joseph,Aaron Holiday,Doug McDermott,D'Angelo Russell,Spencer Dinwiddie,Jared Dudley,Ed Davis,DeMarre Carroll,1,4,7,0:10:39,0:01:21,0:00:10,17,BKN,shot,D'Angelo Russell,,,,,,,,,Jarrett Allen,2,,,made,,Driving Finger Roll Layup,4,0,37,25,85.3,Allen 4' Driving Finger Roll Layup (2 PTS) (Russell 3 AST)
0021800471,2018-2019 Regular Season,12/21/2018,Myles Turner,Domantas Sabonis,Cory Joseph,Aaron Holiday,Doug McDermott,D'Angelo Russell,Spencer Dinwiddie,Jared Dudley,Ed Davis,DeMarre Carroll,1,4,7,0:10:17,0:01:43,0:00:22,19,IND,miss,,,,,,,,,,Thaddeus Young,0,,,missed,,Hook Shot,8,9,75,24.1,12.5,MISS Young 8' Hook Shot
0021800471,2018-2019 Regular Season,12/21/2018,Myles Turner,Domantas Sabonis,Cory Joseph,Aaron Holiday,Doug McDermott,D'Angelo Russell,Spencer Dinwiddie,Jared Dudley,Ed Davis,DeMarre Carroll,1,4,7,0:10:13,0:01:47,0:00:04,20,BKN,rebound,,,,,,,,,,D'Angelo Russell,,,,,,rebound defensive,,,,,,Russell REBOUND (Off:0 Def:1)
0021800471,2018-2019 Regular Season,12/21/2018,Myles Turner,Domantas Sabonis,Cory Joseph,Aaron Holiday,Doug McDermott,D'Angelo Russell,Spencer Dinwiddie,Jared Dudley,Ed Davis,DeMarre Carroll,1,4,7,0:10:01,0:01:59,0:00:12,22,BKN,turnover,,,,,,,,,,D'Angelo Russell,,,bad pass ,,Victor Oladipo,bad pass ,,,,,,"Oladipo STEAL (1 STL), Russell Bad Pass Turnover (P1.T1)"
