game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800474""",2018-2019 Regular Season,2018-12-21,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800474""",2018-2019 Regular Season,2018-12-21,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,1,0,0,00:12:00,00:00:00,00:00:00,4,ORL,jump ball,,Nikola Vucevic,Wendell Carter Jr.,,,,,,,Wendell Carter Jr.,,Jonathan Isaac,,,,jump ball,,,,,,Jump Ball Carter Jr. vs. Vucevic: Tip to Isaac
"=""0021800474""",2018-2019 Regular Season,2018-12-21,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,1,0,0,00:11:38,00:00:22,00:00:22,8,ORL,turnover,,,,,,,,,,Evan Fournier,,,traveling ,,,traveling ,,,,,,Fournier Traveling Turnover (P1.T1)
"=""0021800474""",2018-2019 Regular Season,2018-12-21,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,1,0,0,00:11:28,00:00:32,00:00:10,9,CHI,turnover,,,,,,,,,,Lauri Markkanen,,,bad pass ,,Jonathan Isaac,bad pass ,,,,,,"Isaac STEAL (1 STL), Markkanen Bad Pass Turnover (P1.T1)"
"=""0021800474""",2018-2019 Regular Season,2018-12-21,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,1,0,0,00:11:12,00:00:48,00:00:16,11,ORL,miss,,,,,,,,,,Aaron Gordon,0,,,missed,,unknown,4,-22,29,27.2,7.9,MISS Gordon 4' Driving Layup
"=""0021800474""",2018-2019 Regular Season,2018-12-21,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,1,0,0,00:11:08,00:00:52,00:00:04,12,CHI,rebound,,,,,,,,,,Wendell Carter Jr.,,,,,,rebound defensive,,,,,,Carter Jr. REBOUND (Off:0 Def:1)
"=""0021800474""",2018-2019 Regular Season,2018-12-21,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,1,0,0,00:11:00,00:01:00,00:00:08,13,CHI,turnover,,,,,,,,,,Kris Dunn,,,bad pass ,,Jonathan Isaac,bad pass ,,,,,,"Isaac STEAL (2 STL), Dunn Bad Pass Turnover (P1.T2)"
"=""0021800474""",2018-2019 Regular Season,2018-12-21,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,1,0,0,00:10:56,00:01:04,00:00:04,15,ORL,miss,,,,,,,,,,Evan Fournier,0,,,missed,,Jump Shot,23,-231,-15,48.1,3.5,MISS Fournier  3PT Jump Shot
"=""0021800474""",2018-2019 Regular Season,2018-12-21,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,1,0,0,00:10:51,00:01:09,00:00:05,16,,jump ball,,Jonathan Isaac,Wendell Carter Jr.,,,,,,,Wendell Carter Jr.,,,,,,jump ball,,,,,,Jump Ball Carter Jr. vs. Isaac: Tip to
"=""0021800474""",2018-2019 Regular Season,2018-12-21,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,1,0,0,00:10:51,00:01:09,00:00:00,19,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Magic Rebound
"=""0021800474""",2018-2019 Regular Season,2018-12-21,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,1,3,0,00:10:45,00:01:15,00:00:06,20,ORL,shot,Evan Fournier,,,,,,,,,Jonathan Isaac,3,,,made,,Jump Shot,26,-128,226,37.8,27.6,Isaac 26' 3PT Jump Shot (3 PTS) (Fournier 1 AST)
"=""0021800474""",2018-2019 Regular Season,2018-12-21,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,1,3,0,00:10:25,00:01:35,00:00:20,22,CHI,miss,,,,,,,,,,Lauri Markkanen,0,,,missed,,Turnaround Hook Shot,9,41,83,29.1,80.7,MISS Markkanen 9' Turnaround Hook Shot
"=""0021800474""",2018-2019 Regular Season,2018-12-21,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,1,3,0,00:10:23,00:01:37,00:00:02,23,ORL,rebound,,,,,,,,,,Nikola Vucevic,,,,,,rebound defensive,,,,,,Vucevic REBOUND (Off:0 Def:1)
"=""0021800474""",2018-2019 Regular Season,2018-12-21,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,1,6,0,00:10:03,00:01:57,00:00:20,24,ORL,shot,Nikola Vucevic,,,,,,,,,Evan Fournier,3,,,made,,Jump Shot,25,139,209,11.1,25.9,Fournier 25' 3PT Jump Shot (3 PTS) (Vucevic 1 AST)
"=""0021800474""",2018-2019 Regular Season,2018-12-21,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,1,6,0,00:09:36,00:02:24,00:00:27,26,CHI,miss,,,,,,,,,,Lauri Markkanen,0,,,missed,,Jump Shot,25,62,246,31.2,64.4,MISS Markkanen 25' 3PT Jump Shot
"=""0021800474""",2018-2019 Regular Season,2018-12-21,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,1,6,0,00:09:34,00:02:26,00:00:02,27,ORL,rebound,,,,,,,,,,Nikola Vucevic,,,,,,rebound defensive,,,,,,Vucevic REBOUND (Off:0 Def:2)
"=""0021800474""",2018-2019 Regular Season,2018-12-21,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,1,6,0,00:09:25,00:02:35,00:00:09,28,ORL,turnover,,,,,,,,,,D.J. Augustin,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,Augustin Out of Bounds Lost Ball Turnover (P1.T2)
"=""0021800474""",2018-2019 Regular Season,2018-12-21,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,1,6,0,00:09:10,00:02:50,00:00:15,29,ORL,foul,,,,,,,,Lauri Markkanen,,Jonathan Isaac,,,s.foul,,,s.foul,,,,,,Isaac S.FOUL (P1.T1) (S.Wall)
"=""0021800474""",2018-2019 Regular Season,2018-12-21,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,1,6,1,00:09:10,00:02:50,00:00:00,31,CHI,free throw,,,,,,,1,,2,Lauri Markkanen,1,,,made,,Free Throw 1 of 2,,,,,,Markkanen Free Throw 1 of 2 (1 PTS)
"=""0021800474""",2018-2019 Regular Season,2018-12-21,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,1,6,2,00:09:10,00:02:50,00:00:00,32,CHI,free throw,,,,,,,2,,2,Lauri Markkanen,1,,,made,,Free Throw 2 of 2,,,,,,Markkanen Free Throw 2 of 2 (2 PTS)
"=""0021800474""",2018-2019 Regular Season,2018-12-21,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,1,6,2,00:08:57,00:03:03,00:00:13,33,ORL,turnover,,,,,,,,,,Evan Fournier,,,bad pass ,,Kris Dunn,bad pass ,,,,,,"Fournier Bad Pass Turnover (P2.T3), Dunn STEAL (1 STL)"
"=""0021800474""",2018-2019 Regular Season,2018-12-21,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,1,6,4,00:08:47,00:03:13,00:00:10,35,CHI,shot,Ryan Arcidiacono,,,,,,,,,Kris Dunn,2,,,made,,unknown,1,-9,6,24.1,88.4,Dunn 1' Driving Layup (2 PTS) (Arcidiacono 1 AST)
"=""0021800474""",2018-2019 Regular Season,2018-12-21,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,1,6,4,00:08:30,00:03:30,00:00:17,37,ORL,miss,,,,,,,,,,Evan Fournier,0,,,missed,,unknown,3,-8,27,25.8,7.7,MISS Fournier 3' Driving Layup
"=""0021800474""",2018-2019 Regular Season,2018-12-21,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,1,6,4,00:08:27,00:03:33,00:00:03,38,CHI,rebound,,,,,,,,,,Wendell Carter Jr.,,,,,,rebound defensive,,,,,,Carter Jr. REBOUND (Off:0 Def:2)
