game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800475""",2018-2019 Regular Season,2018-12-21,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Derrick Rose,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800475""",2018-2019 Regular Season,2018-12-21,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Derrick Rose,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:12:00,00:00:00,00:00:00,4,MIN,jump ball,,Karl-Anthony Towns,LaMarcus Aldridge,,,,,,,LaMarcus Aldridge,,Andrew Wiggins,,,,jump ball,,,,,,Jump Ball Aldridge vs. Towns: Tip to Wiggins
"=""0021800475""",2018-2019 Regular Season,2018-12-21,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Derrick Rose,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:11:36,00:00:24,00:00:24,7,MIN,miss,,,,,,,,,,Andrew Wiggins,0,,,missed,,Jump Shot,24,-230,74,48.0,12.4,MISS Wiggins 24' 3PT Jump Shot
"=""0021800475""",2018-2019 Regular Season,2018-12-21,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Derrick Rose,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:11:32,00:00:28,00:00:04,8,SAS,rebound,,,,,,,,,,Rudy Gay,,,,,,rebound defensive,,,,,,Gay REBOUND (Off:0 Def:1)
"=""0021800475""",2018-2019 Regular Season,2018-12-21,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Derrick Rose,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:11:25,00:00:35,00:00:07,9,SAS,miss,,,,,,,,,,LaMarcus Aldridge,0,,,missed,,Pullup Jump Shot,11,-58,99,19.2,79.1,MISS Aldridge 11' Pullup Jump Shot
"=""0021800475""",2018-2019 Regular Season,2018-12-21,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Derrick Rose,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:11:22,00:00:38,00:00:03,10,MIN,rebound,,,,,,,,,,Karl-Anthony Towns,,,,,,rebound defensive,,,,,,Towns REBOUND (Off:0 Def:1)
"=""0021800475""",2018-2019 Regular Season,2018-12-21,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Derrick Rose,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:11:14,00:00:46,00:00:08,11,MIN,miss,,,,,,,,,,Derrick Rose,0,,,missed,,Turnaround Jump Shot,14,-16,138,26.6,18.8,MISS Rose 14' Turnaround Jump Shot
"=""0021800475""",2018-2019 Regular Season,2018-12-21,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Derrick Rose,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:11:11,00:00:49,00:00:03,12,SAS,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,rebound defensive,,,,,,Aldridge REBOUND (Off:0 Def:1)
"=""0021800475""",2018-2019 Regular Season,2018-12-21,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Derrick Rose,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:11:00,00:01:00,00:00:11,13,SAS,miss,,,,,,,,,,Derrick White,0,,,missed,,Jump Shot,27,-185,194,6.5,69.6,MISS White 27' 3PT Jump Shot
"=""0021800475""",2018-2019 Regular Season,2018-12-21,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Derrick Rose,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:10:56,00:01:04,00:00:04,14,SAS,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,rebound offensive,,,,,,Aldridge REBOUND (Off:1 Def:1)
"=""0021800475""",2018-2019 Regular Season,2018-12-21,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Derrick Rose,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,2,00:10:52,00:01:08,00:00:04,15,SAS,shot,Rudy Gay,,,,,,,,,Derrick White,2,,,made,,Alley Oop Dunk,7,-68,-4,18.2,89.4,White 7' Alley Oop Dunk (2 PTS) (Gay 1 AST)
"=""0021800475""",2018-2019 Regular Season,2018-12-21,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Derrick Rose,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,2,00:10:26,00:01:34,00:00:26,17,MIN,miss,,,,,,,,,,Derrick Rose,0,,,missed,,Floating Jump Shot,9,-48,74,29.8,12.4,MISS Rose 9' Floating Jump Shot
