game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800479""",2018-2019 Regular Season,2018-12-22,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800479""",2018-2019 Regular Season,2018-12-22,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,1,0,0,00:12:00,00:00:00,00:00:00,4,LAC,jump ball,,Mason Plumlee,Marcin Gortat,,,,,,,Marcin Gortat,,Danilo Gallinari,,,,jump ball,,,,,,Jump Ball Gortat vs. Plumlee: Tip to Gallinari
"=""0021800479""",2018-2019 Regular Season,2018-12-22,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,1,0,2,00:11:40,00:00:20,00:00:20,7,LAC,shot,Tobias Harris,,,,,,,,,Avery Bradley,2,,,made,,Pullup Jump Shot,4,13,40,26.3,85.0,Bradley 4' Pullup Jump Shot (2 PTS) (Harris 1 AST)
"=""0021800479""",2018-2019 Regular Season,2018-12-22,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,1,3,2,00:11:29,00:00:31,00:00:11,9,DEN,shot,Jamal Murray,,,,,,,,,Nikola Jokic,3,,,made,,Jump Shot,25,-30,247,28.0,29.7,Jokic 25' 3PT Jump Shot (3 PTS) (Murray 1 AST)
"=""0021800479""",2018-2019 Regular Season,2018-12-22,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,1,3,2,00:11:17,00:00:43,00:00:12,10,LAC,miss,,,,,,,,,,Tobias Harris,0,,,missed,,Jump Shot,27,-91,250,15.9,64.0,MISS Harris 27' 3PT Jump Shot
"=""0021800479""",2018-2019 Regular Season,2018-12-22,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,1,3,2,00:11:17,00:00:43,00:00:00,11,LAC,rebound,,,,,,,,,,Marcin Gortat,,,,,,rebound offensive,,,,,,Gortat REBOUND (Off:1 Def:0)
"=""0021800479""",2018-2019 Regular Season,2018-12-22,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,1,3,5,00:11:09,00:00:51,00:00:08,12,LAC,shot,Avery Bradley,,,,,,,,,Tobias Harris,3,,,made,,Jump Shot,25,-140,211,11.0,67.9,Harris 25' 3PT Jump Shot (3 PTS) (Bradley 1 AST)
"=""0021800479""",2018-2019 Regular Season,2018-12-22,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,1,5,5,00:10:53,00:01:07,00:00:16,14,DEN,shot,,,,,,,,,,Jamal Murray,2,,,made,,Pullup Jump Shot,14,53,126,19.7,17.6,Murray 14' Pullup Jump Shot (2 PTS)
"=""0021800479""",2018-2019 Regular Season,2018-12-22,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,1,5,5,00:10:33,00:01:27,00:00:20,15,LAC,miss,,,,,,,,,,Tobias Harris,0,,,missed,,Fadeaway Jumper,13,-24,124,22.6,76.6,MISS Harris 13' Fadeaway Jumper
"=""0021800479""",2018-2019 Regular Season,2018-12-22,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,1,5,5,00:10:30,00:01:30,00:00:03,16,DEN,rebound,,,,,,,,,,Mason Plumlee,,,,,,rebound defensive,,,,,,Plumlee REBOUND (Off:0 Def:1)
