game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800485""",2018-2019 Regular Season,2018-12-22,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800485""",2018-2019 Regular Season,2018-12-22,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,4,UTA,jump ball,,Steven Adams,Rudy Gobert,,,,,,,Rudy Gobert,,Derrick Favors,,,,jump ball,,,,,,Jump Ball Gobert vs. Adams: Tip to Favors
"=""0021800485""",2018-2019 Regular Season,2018-12-22,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:11:38,00:00:22,00:00:22,7,UTA,miss,,,,,,,,,,Ricky Rubio,0,,,missed,,Jump Shot,23,-229,16,2.1,87.4,MISS Rubio  3PT Jump Shot
"=""0021800485""",2018-2019 Regular Season,2018-12-22,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:11:34,00:00:26,00:00:04,8,OKC,rebound,,,,,,,,,,Paul George,,,,,,rebound defensive,,,,,,George REBOUND (Off:0 Def:1)
"=""0021800485""",2018-2019 Regular Season,2018-12-22,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:11:34,00:00:26,00:00:00,9,OKC,turnover,,,,,,,,,,Paul George,,,bad pass ,,,bad pass ,,,,,,George Bad Pass Turnover (P1.T1)
"=""0021800485""",2018-2019 Regular Season,2018-12-22,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:11:28,00:00:32,00:00:06,10,UTA,turnover,,,,,,,,,,Joe Ingles,,,bad pass ,,Paul George,bad pass ,,,,,,"George STEAL (1 STL), Ingles Bad Pass Turnover (P1.T1)"
"=""0021800485""",2018-2019 Regular Season,2018-12-22,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,0,00:11:23,00:00:37,00:00:05,12,OKC,shot,Paul George,,,,,,,,,Jerami Grant,2,,,made,,Dunk,1,-6,9,25.6,5.9,Grant 1' Dunk (2 PTS) (George 1 AST)
"=""0021800485""",2018-2019 Regular Season,2018-12-22,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,0,00:11:14,00:00:46,00:00:09,14,OKC,foul,,,,,,,,Donovan Mitchell,,Terrance Ferguson,,,p.foul,,,p.foul,,,,,,Ferguson P.FOUL (P1.T1) (K.Cutler)
"=""0021800485""",2018-2019 Regular Season,2018-12-22,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,0,00:11:08,00:00:52,00:00:06,16,UTA,miss,,,,,,,,,,Joe Ingles,0,,,missed,,Jump Shot,25,204,151,45.4,73.9,MISS Ingles 25' 3PT Jump Shot
"=""0021800485""",2018-2019 Regular Season,2018-12-22,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,0,00:11:04,00:00:56,00:00:04,17,UTA,rebound,,,,,,,,,,Donovan Mitchell,,,,,,rebound offensive,,,,,,Mitchell REBOUND (Off:1 Def:0)
"=""0021800485""",2018-2019 Regular Season,2018-12-22,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,0,00:10:56,00:01:04,00:00:08,18,OKC,foul,,,,,,,,Ricky Rubio,,Paul George,,,p.foul,,,p.foul,,,,,,George P.FOUL (P1.T2) (K.Cutler)
"=""0021800485""",2018-2019 Regular Season,2018-12-22,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,3,00:10:48,00:01:12,00:00:08,20,UTA,shot,Ricky Rubio,,,,,,,,,Derrick Favors,3,,,made,,Jump Shot,23,227,49,47.7,84.1,Favors  3PT Jump Shot (3 PTS) (Rubio 1 AST)
