game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,0,0,00:12:00,00:00:00,00:00:00,4,CLE,jump ball,,Wendell Carter Jr.,Larry Nance Jr.,,,,,,,Larry Nance Jr.,,Cedi Osman,,,,jump ball,,,,,,Jump Ball Nance Jr. vs. Carter Jr.: Tip to Osman
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,0,0,00:11:48,00:00:12,00:00:12,7,CLE,turnover,,,,,,,,,,Cedi Osman,,,bad pass ,,Justin Holiday,bad pass ,,,,,,"Holiday STEAL (1 STL), Osman Bad Pass Turnover (P1.T1)"
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,0,0,00:11:47,00:00:13,00:00:01,9,CLE,foul,,,,,,,,Justin Holiday,,Cedi Osman,,,s.foul,,,s.foul,,,,,,Osman S.FOUL (P1.T1) (M.Smith)
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,1,0,00:11:47,00:00:13,00:00:00,11,CHI,free throw,,,,,,,1,,2,Justin Holiday,1,,,made,,Free Throw 1 of 2,,,,,,Holiday Free Throw 1 of 2 (1 PTS)
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,2,0,00:11:47,00:00:13,00:00:00,12,CHI,free throw,,,,,,,2,,2,Justin Holiday,1,,,made,,Free Throw 2 of 2,,,,,,Holiday Free Throw 2 of 2 (2 PTS)
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,2,3,00:11:25,00:00:35,00:00:22,13,CLE,shot,Collin Sexton,,,,,,,,,Alec Burks,3,,,made,,Jump Shot,26,-129,220,12.1,67.0,Burks 26' 3PT Jump Shot (3 PTS) (Sexton 1 AST)
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,4,3,00:11:05,00:00:55,00:00:20,15,CHI,shot,Kris Dunn,,,,,,,,,Lauri Markkanen,2,,,made,,unknown,0,2,-3,24.8,4.7,Markkanen  Driving Floating Jump Shot (2 PTS) (Dunn 1 AST)
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,4,3,00:10:46,00:01:14,00:00:19,17,CLE,miss,,,,Kris Dunn,,,,,,Collin Sexton,0,,,missed,,unknown,5,7,47,25.7,84.3,"Dunn BLOCK (1 BLK), MISS Sexton 5' Driving Layup"
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,4,3,00:10:43,00:01:17,00:00:03,19,CLE,rebound,,,,,,,,,,Larry Nance Jr.,,,,,,rebound offensive,,,,,,Nance Jr. REBOUND (Off:1 Def:0)
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,4,3,00:10:41,00:01:19,00:00:02,20,CLE,miss,,,,,,,,,,Jaron Blossomgame,0,,,missed,,Jump Shot,30,-107,277,14.3,61.3,MISS Blossomgame 30' 3PT Jump Shot
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,4,3,00:10:40,00:01:20,00:00:01,21,CHI,rebound,,,,,,,,,,Kris Dunn,,,,,,rebound defensive,,,,,,Dunn REBOUND (Off:0 Def:1)
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,7,3,00:10:32,00:01:28,00:00:08,22,CHI,shot,Ryan Arcidiacono,,,,,,,,,Justin Holiday,3,,,made,,Jump Shot,24,-235,-10,48.5,4.0,Holiday 24' 3PT Jump Shot (5 PTS) (Arcidiacono 1 AST)
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,7,5,00:10:15,00:01:45,00:00:17,24,CLE,shot,Collin Sexton,,,,,,,,,Larry Nance Jr.,2,,,made,,Layup,3,24,22,27.4,86.8,Nance Jr. 3' Layup (2 PTS) (Sexton 2 AST)
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,10,5,00:10:06,00:01:54,00:00:09,26,CHI,shot,Wendell Carter Jr.,,,,,,,,,Lauri Markkanen,3,,,made,,Jump Shot,27,-179,206,42.9,25.6,Markkanen 27' 3PT Jump Shot (5 PTS) (Carter Jr. 1 AST)
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,10,5,00:10:06,00:01:54,00:00:00,28,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,CAVALIERS Timeout: Regular (Full 1 Short 0)
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,10,7,00:09:53,00:02:07,00:00:13,29,CLE,shot,,,,,,,,,,Cedi Osman,2,,,made,,unknown,1,3,11,25.3,87.9,Osman 1' Driving Layup (2 PTS)
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,10,7,00:09:53,00:02:07,00:00:00,30,CHI,foul,,,,,,,,Cedi Osman,,Ryan Arcidiacono,,,s.foul,,,s.foul,,,,,,Arcidiacono S.FOUL (P1.T1) (M.Smith)
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,10,8,00:09:53,00:02:07,00:00:00,32,CLE,free throw,,,,,,,1,,1,Cedi Osman,1,,,made,,Free Throw 1 of 1,,,,,,Osman Free Throw 1 of 1 (3 PTS)
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,10,8,00:09:42,00:02:18,00:00:11,33,CHI,miss,,,,,,,,,,Lauri Markkanen,0,,,missed,,Fadeaway Jumper,8,-49,58,29.9,10.8,MISS Markkanen 8' Fadeaway Jumper
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,10,8,00:09:41,00:02:19,00:00:01,34,CHI,rebound,,,,,,,,,,Wendell Carter Jr.,,,,,,rebound offensive,,,,,,Carter Jr. REBOUND (Off:1 Def:0)
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,10,8,00:09:41,00:02:19,00:00:00,97,CHI,miss,,,,,,,,,,Wendell Carter Jr.,0,,,missed,,unknown,1,-7,-8,25.7,4.2,MISS Carter Jr. 1' Tip Layup Shot
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,10,8,00:09:39,00:02:21,00:00:02,98,CLE,rebound,,,,,,,,,,Larry Nance Jr.,,,,,,rebound defensive,,,,,,Nance Jr. REBOUND (Off:1 Def:1)
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,10,10,00:09:24,00:02:36,00:00:15,35,CLE,shot,,,,,,,,,,Collin Sexton,2,,,made,,Step Back Jump Shot,19,105,153,35.5,73.7,Sexton 19' Step Back Jump Shot (2 PTS)
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,13,10,00:09:10,00:02:50,00:00:14,36,CHI,shot,Wendell Carter Jr.,,,,,,,,,Lauri Markkanen,3,,,made,,Jump Shot,26,-214,143,46.4,19.3,Markkanen 26' 3PT Jump Shot (8 PTS) (Carter Jr. 2 AST)
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,13,10,00:08:55,00:03:05,00:00:15,38,CLE,miss,,,,,,,,,,Cedi Osman,0,,,missed,,Jump Shot,22,-222,10,2.8,88.0,MISS Osman  3PT Jump Shot
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,13,10,00:08:52,00:03:08,00:00:03,39,CHI,rebound,,,,,,,,,,Wendell Carter Jr.,,,,,,rebound defensive,,,,,,Carter Jr. REBOUND (Off:1 Def:1)
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,13,10,00:08:32,00:03:28,00:00:20,40,CHI,miss,,,,,,,,,,Wendell Carter Jr.,0,,,missed,,Floating Jump Shot,8,11,78,23.9,12.8,MISS Carter Jr. 8' Floating Jump Shot
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,13,10,00:08:30,00:03:30,00:00:02,41,CLE,rebound,,,,,,,,,,Jaron Blossomgame,,,,,,rebound defensive,,,,,,Blossomgame REBOUND (Off:0 Def:1)
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,13,12,00:08:23,00:03:37,00:00:07,42,CLE,shot,,,,,,,,,,Cedi Osman,2,,,made,,unknown,0,2,0,25.2,89.0,Osman  Driving Layup (5 PTS)
"=""0021800490""",2018-2019 Regular Season,2018-12-23,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Kris Dunn,Ryan Arcidiacono,Jaron Blossomgame,Cedi Osman,Larry Nance Jr.,Alec Burks,Collin Sexton,1,16,12,00:08:09,00:03:51,00:00:14,43,CHI,shot,Lauri Markkanen,,,,,,,,,Justin Holiday,3,,,made,,Jump Shot,28,-139,241,38.9,29.1,Holiday 28' 3PT Jump Shot (8 PTS) (Markkanen 1 AST)
