game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800500""",2018-2019 Regular Season,2018-12-25,LeBron James,Kyle Kuzma,Ivica Zubac,Brandon Ingram,Lonzo Ball,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800500""",2018-2019 Regular Season,2018-12-25,LeBron James,Kyle Kuzma,Ivica Zubac,Brandon Ingram,Lonzo Ball,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,4,LAL,jump ball,,Ivica Zubac,Kevin Durant,,,,,,,Kevin Durant,,LeBron James,,,,jump ball,,,,,,Jump Ball Durant vs. Zubac: Tip to James
"=""0021800500""",2018-2019 Regular Season,2018-12-25,LeBron James,Kyle Kuzma,Ivica Zubac,Brandon Ingram,Lonzo Ball,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,1,0,0,00:11:42,00:00:18,00:00:18,7,LAL,turnover,,,,,,,,,,Lonzo Ball,,,bad pass ,,Draymond Green,bad pass ,,,,,,"Ball Bad Pass Turnover (P1.T1), Green STEAL (1 STL)"
"=""0021800500""",2018-2019 Regular Season,2018-12-25,LeBron James,Kyle Kuzma,Ivica Zubac,Brandon Ingram,Lonzo Ball,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,1,0,3,00:11:37,00:00:23,00:00:05,9,GSW,shot,Draymond Green,,,,,,,,,Kevin Durant,3,,,made,,Jump Shot,27,-25,265,22.5,62.5,Durant 27' 3PT Jump Shot (3 PTS) (Green 1 AST)
"=""0021800500""",2018-2019 Regular Season,2018-12-25,LeBron James,Kyle Kuzma,Ivica Zubac,Brandon Ingram,Lonzo Ball,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,1,3,3,00:11:18,00:00:42,00:00:19,11,LAL,shot,LeBron James,,,,,,,,,Kyle Kuzma,3,,,made,,Pullup Jump Shot,26,17,261,23.3,31.1,Kuzma 26' 3PT Pullup Jump Shot (3 PTS) (James 1 AST)
"=""0021800500""",2018-2019 Regular Season,2018-12-25,LeBron James,Kyle Kuzma,Ivica Zubac,Brandon Ingram,Lonzo Ball,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,1,3,3,00:11:00,00:01:00,00:00:18,13,GSW,miss,,,,,,,,,,Stephen Curry,0,,,missed,,Jump Shot,19,-111,152,13.9,73.8,MISS Curry 19' Jump Shot
"=""0021800500""",2018-2019 Regular Season,2018-12-25,LeBron James,Kyle Kuzma,Ivica Zubac,Brandon Ingram,Lonzo Ball,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,1,3,3,00:10:58,00:01:02,00:00:02,14,LAL,rebound,,,,,,,,,,LeBron James,,,,,,rebound defensive,,,,,,James REBOUND (Off:0 Def:1)
"=""0021800500""",2018-2019 Regular Season,2018-12-25,LeBron James,Kyle Kuzma,Ivica Zubac,Brandon Ingram,Lonzo Ball,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,1,5,3,00:10:45,00:01:15,00:00:13,15,LAL,shot,,,,,,,,,,Brandon Ingram,2,,,made,,Driving Finger Roll Layup,10,63,72,18.7,12.2,Ingram 10' Driving Finger Roll Layup (2 PTS)
"=""0021800500""",2018-2019 Regular Season,2018-12-25,LeBron James,Kyle Kuzma,Ivica Zubac,Brandon Ingram,Lonzo Ball,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,1,5,5,00:10:28,00:01:32,00:00:17,16,GSW,shot,Klay Thompson,,,,,,,,,Kevon Looney,2,,,made,,Dunk,1,-2,10,24.8,88.0,Looney 1' Dunk (2 PTS) (Thompson 1 AST)
"=""0021800500""",2018-2019 Regular Season,2018-12-25,LeBron James,Kyle Kuzma,Ivica Zubac,Brandon Ingram,Lonzo Ball,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,1,5,5,00:10:05,00:01:55,00:00:23,18,LAL,miss,,,,,,,,,,Lonzo Ball,0,,,missed,,unknown,8,51,62,19.9,11.2,MISS Ball 8' Driving Floating Bank Jump Shot
"=""0021800500""",2018-2019 Regular Season,2018-12-25,LeBron James,Kyle Kuzma,Ivica Zubac,Brandon Ingram,Lonzo Ball,Kevin Durant,Draymond Green,Kevon Looney,Klay Thompson,Stephen Curry,1,5,5,00:10:04,00:01:56,00:00:01,19,LAL,rebound,,,,,,,,,,Ivica Zubac,,,,,,rebound offensive,,,,,,Zubac REBOUND (Off:1 Def:0)
