game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800504""",2018-2019 Regular Season,2018-12-26,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,Kevin Huerter,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800504""",2018-2019 Regular Season,2018-12-26,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,Kevin Huerter,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,4,ATL,jump ball,,Myles Turner,Dewayne Dedmon,,,,,,,Dewayne Dedmon,,Trae Young,,,,jump ball,,,,,,Jump Ball Dedmon vs. Turner: Tip to Young
"=""0021800504""",2018-2019 Regular Season,2018-12-26,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,Kevin Huerter,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,0,3,00:11:46,00:00:14,00:00:14,7,ATL,shot,Kevin Huerter,,,,,,,,,Dewayne Dedmon,3,,,made,,Jump Shot,23,-226,25,2.4,86.5,Dedmon  3PT Jump Shot (3 PTS) (Huerter 1 AST)
"=""0021800504""",2018-2019 Regular Season,2018-12-26,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,Kevin Huerter,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,0,3,00:11:20,00:00:40,00:00:26,9,IND,miss,,,,,,,,,,Myles Turner,0,,,missed,,Layup,3,-2,30,25.2,8.0,MISS Turner 3' Layup
"=""0021800504""",2018-2019 Regular Season,2018-12-26,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,Kevin Huerter,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,0,3,00:11:17,00:00:43,00:00:03,10,ATL,rebound,,,,,,,,,,Dewayne Dedmon,,,,,,rebound defensive,,,,,,Dedmon REBOUND (Off:0 Def:1)
"=""0021800504""",2018-2019 Regular Season,2018-12-26,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,Kevin Huerter,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,0,3,00:11:11,00:00:49,00:00:06,11,ATL,miss,,,,,,,,,,Dewayne Dedmon,0,,,missed,,Jump Shot,25,4,252,25.4,63.8,MISS Dedmon 25' 3PT Jump Shot
"=""0021800504""",2018-2019 Regular Season,2018-12-26,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,Kevin Huerter,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,0,3,00:11:06,00:00:54,00:00:05,12,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,HAWKS Rebound
"=""0021800504""",2018-2019 Regular Season,2018-12-26,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,Kevin Huerter,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,0,3,00:10:52,00:01:08,00:00:14,15,ATL,miss,,,,,,,,,,Kevin Huerter,0,,,missed,,Turnaround Jump Shot,9,15,92,26.5,79.8,MISS Huerter 9' Turnaround Jump Shot
"=""0021800504""",2018-2019 Regular Season,2018-12-26,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,Kevin Huerter,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,0,3,00:10:50,00:01:10,00:00:02,16,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Pacers Rebound
"=""0021800504""",2018-2019 Regular Season,2018-12-26,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,Kevin Huerter,John Collins,Dewayne Dedmon,Kent Bazemore,Trae Young,1,0,3,00:10:42,00:01:18,00:00:08,18,IND,turnover,,,,,,,,,,Victor Oladipo,,,lost ball ,,Kent Bazemore,lost ball ,,,,,,"Oladipo Lost Ball Turnover (P1.T1), Bazemore STEAL (1 STL)"
