game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,0,00:12:00,00:00:00,00:00:00,4,SAS,jump ball,,Mason Plumlee,LaMarcus Aldridge,,,,,,,LaMarcus Aldridge,,Rudy Gay,,,,jump ball,,,,,,Jump Ball Aldridge vs. Plumlee: Tip to Gay
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,2,00:11:42,00:00:18,00:00:18,7,SAS,shot,Rudy Gay,,,,,,,,,LaMarcus Aldridge,2,,,made,,Jump Shot,16,-107,121,14.3,76.9,Aldridge 16' Jump Shot (2 PTS) (Gay 1 AST)
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,2,00:11:22,00:00:38,00:00:20,9,DEN,miss,,,,,,,,,,Jamal Murray,0,,,missed,,Jump Shot,25,50,240,20.0,29.0,MISS Murray 25' 3PT Jump Shot
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,2,00:11:19,00:00:41,00:00:03,10,SAS,rebound,,,,,,,,,,Bryn Forbes,,,,,,rebound defensive,,,,,,Forbes REBOUND (Off:0 Def:1)
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,2,00:11:10,00:00:50,00:00:09,11,SAS,miss,,,,,,,,,,Rudy Gay,0,,,missed,,Jump Shot,25,-171,189,7.9,70.1,MISS Gay 25' 3PT Jump Shot
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,2,00:11:06,00:00:54,00:00:04,12,DEN,rebound,,,,,,,,,,Juancho Hernangomez,,,,,,rebound defensive,,,,,,Hernangomez REBOUND (Off:0 Def:1)
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,2,00:10:56,00:01:04,00:00:10,13,SAS,foul,,,,,,,,Juancho Hernangomez,,LaMarcus Aldridge,,,s.foul,,,s.foul,,,,,,Aldridge S.FOUL (P1.T1) (B.Taylor)
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,2,00:10:56,00:01:04,00:00:00,15,DEN,free throw,,,,,,,1,,2,Juancho Hernangomez,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Hernangomez Free Throw 1 of 2
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,0,2,00:10:56,00:01:04,00:00:00,16,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Nuggets Rebound
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,1,2,00:10:56,00:01:04,00:00:00,17,DEN,free throw,,,,,,,2,,2,Juancho Hernangomez,1,,,made,,Free Throw 2 of 2,,,,,,Hernangomez Free Throw 2 of 2 (1 PTS)
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,1,4,00:10:39,00:01:21,00:00:17,18,SAS,shot,DeMar DeRozan,,,,,,,,,LaMarcus Aldridge,2,,,made,,Step Back Jump Shot,14,-139,4,11.1,88.6,Aldridge 14' Step Back Jump Shot (4 PTS) (DeRozan 1 AST)
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,3,4,00:10:26,00:01:34,00:00:13,20,DEN,shot,Nikola Jokic,,,,,,,,,Jamal Murray,2,,,made,,unknown,2,0,19,25.0,6.9,Murray 2' Cutting Finger Roll Layup Shot (2 PTS) (Jokic 1 AST)
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,3,6,00:10:20,00:01:40,00:00:06,22,SAS,shot,Derrick White,,,,,,,,,Bryn Forbes,2,,,made,,Running Finger Roll Layup,2,-17,-1,23.3,89.1,Forbes 2' Running Finger Roll Layup (2 PTS) (White 1 AST)
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,6,6,00:10:08,00:01:52,00:00:12,24,DEN,shot,Jamal Murray,,,,,,,,,Juancho Hernangomez,3,,,made,,Jump Shot,25,87,232,16.3,28.2,Hernangomez 25' 3PT Jump Shot (4 PTS) (Murray 1 AST)
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,6,8,00:09:43,00:02:17,00:00:25,27,SAS,shot,Bryn Forbes,,,,,,,,,LaMarcus Aldridge,2,,,made,,Turnaround Fadeaway ,16,-154,59,9.6,83.1,Aldridge 16' Turnaround Fadeaway (6 PTS) (Forbes 1 AST)
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,6,8,00:09:29,00:02:31,00:00:14,29,DEN,miss,,,,,,,,,,Nikola Jokic,0,,,missed,,Floating Jump Shot,7,-4,71,25.4,12.1,MISS Jokic 7' Floating Jump Shot
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,6,8,00:09:27,00:02:33,00:00:02,30,SAS,rebound,,,,,,,,,,Rudy Gay,,,,,,rebound defensive,,,,,,Gay REBOUND (Off:0 Def:1)
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,6,8,00:09:25,00:02:35,00:00:02,31,DEN,foul,,,,,,,,LaMarcus Aldridge,,Mason Plumlee,,,p.foul,,,p.foul,,,,,,Plumlee P.FOUL (P1.T1) (R.Garretson)
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,6,8,00:09:11,00:02:49,00:00:14,33,DEN,foul,,,,,,,,DeMar DeRozan,,Torrey Craig,,,s.foul,,,s.foul,,,,,,Craig S.FOUL (P1.T2) (B.Taylor)
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,6,9,00:09:11,00:02:49,00:00:00,35,SAS,free throw,,,,,,,1,,2,DeMar DeRozan,1,,,made,,Free Throw 1 of 2,,,,,,DeRozan Free Throw 1 of 2 (1 PTS)
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,6,10,00:09:11,00:02:49,00:00:00,36,SAS,free throw,,,,,,,2,,2,DeMar DeRozan,1,,,made,,Free Throw 2 of 2,,,,,,DeRozan Free Throw 2 of 2 (2 PTS)
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,6,10,00:09:00,00:03:00,00:00:11,37,DEN,miss,,,,,,,,,,Jamal Murray,0,,,missed,,Pullup Jump Shot,9,16,85,23.4,13.5,MISS Murray 9' Pullup Jump Shot
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,6,10,00:08:57,00:03:03,00:00:03,38,SAS,rebound,,,,,,,,,,DeMar DeRozan,,,,,,rebound defensive,,,,,,DeRozan REBOUND (Off:0 Def:1)
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,6,10,00:08:49,00:03:11,00:00:08,39,SAS,miss,,,,,,,,,,Rudy Gay,0,,,missed,,Pullup Jump Shot,17,-7,174,24.3,71.6,MISS Gay 17' Pullup Jump Shot
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,6,10,00:08:44,00:03:16,00:00:05,40,DEN,rebound,,,,,,,,,,Nikola Jokic,,,,,,rebound defensive,,,,,,Jokic REBOUND (Off:0 Def:1)
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,9,10,00:08:40,00:03:20,00:00:04,41,DEN,shot,Nikola Jokic,,,,,,,,,Torrey Craig,3,,,made,,Jump Shot,24,-222,96,47.2,14.6,Craig 24' 3PT Jump Shot (3 PTS) (Jokic 2 AST)
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,9,10,00:08:20,00:03:40,00:00:20,43,SAS,turnover,,,,,,,,,,Bryn Forbes,,,lost ball ,,Jamal Murray,lost ball ,,,,,,"Murray STEAL (1 STL), Forbes Lost Ball Turnover (P1.T1)"
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,9,10,00:08:12,00:03:48,00:00:08,45,DEN,miss,,,,,,,,,,Torrey Craig,0,,,missed,,Jump Shot,23,225,56,2.5,10.6,MISS Craig  3PT Jump Shot
"=""0021800510""",2018-2019 Regular Season,2018-12-26,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Derrick White,Rudy Gay,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,1,9,10,00:08:08,00:03:52,00:00:04,46,DEN,rebound,,,,,,,,,,Jamal Murray,,,,,,rebound offensive,,,,,,Murray REBOUND (Off:1 Def:0)
