game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021800517,2018-2019 Regular Season,12/28/2018,Rodions Kurucs,Rondae Hollis-Jefferson,Jarrett Allen,Joe Harris,D'Angelo Russell,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021800517,2018-2019 Regular Season,12/28/2018,Rodions Kurucs,Rondae Hollis-Jefferson,Jarrett Allen,Joe Harris,D'Angelo Russell,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1,0,0,0:12:00,0:00:00,0:00:00,4,BKN,jump ball,,Jarrett Allen,Cody Zeller,,,,,,,Cody Zeller,,D'Angelo Russell,,,,jump ball,,,,,,Jump Ball Zeller vs. Allen: Tip to Russell
0021800517,2018-2019 Regular Season,12/28/2018,Rodions Kurucs,Rondae Hollis-Jefferson,Jarrett Allen,Joe Harris,D'Angelo Russell,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1,0,0,0:11:41,0:00:19,0:00:19,9,BKN,miss,,,,,,,,,,Rodions Kurucs,0,,,missed,,Jump Shot,27,154,216,9.6,26.6,MISS Kurucs 27' 3PT Jump Shot
0021800517,2018-2019 Regular Season,12/28/2018,Rodions Kurucs,Rondae Hollis-Jefferson,Jarrett Allen,Joe Harris,D'Angelo Russell,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1,0,0,0:11:39,0:00:21,0:00:02,10,CHA,rebound,,,,,,,,,,Nicolas Batum,,,,,,rebound defensive,,,,,,Batum REBOUND (Off:0 Def:1)
0021800517,2018-2019 Regular Season,12/28/2018,Rodions Kurucs,Rondae Hollis-Jefferson,Jarrett Allen,Joe Harris,D'Angelo Russell,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1,0,2,0:11:22,0:00:38,0:00:17,11,CHA,shot,,,,,,,,,,Jeremy Lamb,2,,,made,,Floating Jump Shot,13,65,111,31.5,77.9,Lamb 13' Floating Jump Shot (2 PTS)
0021800517,2018-2019 Regular Season,12/28/2018,Rodions Kurucs,Rondae Hollis-Jefferson,Jarrett Allen,Joe Harris,D'Angelo Russell,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1,0,2,0:10:54,0:01:06,0:00:28,12,BKN,miss,,,,,,,,,,Rondae Hollis-Jefferson,0,,,missed,,Fadeaway Jumper,24,234,60,1.6,11,MISS Hollis-Jefferson 24' 3PT Fadeaway Jumper
0021800517,2018-2019 Regular Season,12/28/2018,Rodions Kurucs,Rondae Hollis-Jefferson,Jarrett Allen,Joe Harris,D'Angelo Russell,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1,0,2,0:10:52,0:01:08,0:00:02,13,CHA,rebound,,,,,,,,,,Nicolas Batum,,,,,,rebound defensive,,,,,,Batum REBOUND (Off:0 Def:2)
0021800517,2018-2019 Regular Season,12/28/2018,Rodions Kurucs,Rondae Hollis-Jefferson,Jarrett Allen,Joe Harris,D'Angelo Russell,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1,0,4,0:10:45,0:01:15,0:00:07,14,CHA,shot,Kemba Walker,,,,,,,,,Cody Zeller,2,,,made,,unknown,2,17,-5,26.7,89.5,Zeller 2' Cutting Dunk Shot (2 PTS) (Walker 1 AST)
0021800517,2018-2019 Regular Season,12/28/2018,Rodions Kurucs,Rondae Hollis-Jefferson,Jarrett Allen,Joe Harris,D'Angelo Russell,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1,0,4,0:10:26,0:01:34,0:00:19,16,BKN,miss,,,,Cody Zeller,,,,,,Jarrett Allen,0,,,missed,,Layup,6,-9,58,25.9,10.8,"MISS Allen 6' Layup, Zeller BLOCK (1 BLK)"
0021800517,2018-2019 Regular Season,12/28/2018,Rodions Kurucs,Rondae Hollis-Jefferson,Jarrett Allen,Joe Harris,D'Angelo Russell,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1,0,4,0:10:23,0:01:37,0:00:03,18,CHA,rebound,,,,,,,,,,Cody Zeller,,,,,,rebound defensive,,,,,,Zeller REBOUND (Off:0 Def:1)
0021800517,2018-2019 Regular Season,12/28/2018,Rodions Kurucs,Rondae Hollis-Jefferson,Jarrett Allen,Joe Harris,D'Angelo Russell,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1,0,4,0:10:15,0:01:45,0:00:08,19,CHA,miss,,,,,,,,,,Cody Zeller,0,,,missed,,Layup,5,0,46,25,84.4,MISS Zeller 5' Layup
0021800517,2018-2019 Regular Season,12/28/2018,Rodions Kurucs,Rondae Hollis-Jefferson,Jarrett Allen,Joe Harris,D'Angelo Russell,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1,0,4,0:10:11,0:01:49,0:00:04,20,BKN,rebound,,,,,,,,,,D'Angelo Russell,,,,,,rebound defensive,,,,,,Russell REBOUND (Off:0 Def:1)
0021800517,2018-2019 Regular Season,12/28/2018,Rodions Kurucs,Rondae Hollis-Jefferson,Jarrett Allen,Joe Harris,D'Angelo Russell,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1,0,4,0:10:07,0:01:53,0:00:04,21,BKN,foul,,,,,,,,Kemba Walker,,Jarrett Allen,,,off.foul,,,off.foul,,,,,,Allen OFF.Foul (P1) (K.Lane)
0021800517,2018-2019 Regular Season,12/28/2018,Rodions Kurucs,Rondae Hollis-Jefferson,Jarrett Allen,Joe Harris,D'Angelo Russell,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1,0,4,0:10:07,0:01:53,0:00:00,23,BKN,turnover,,,,,,,,,,Jarrett Allen,,,offensive foul turnover,,,offensive foul turnover,,,,,,Allen Offensive Foul Turnover (P1.T1)
0021800517,2018-2019 Regular Season,12/28/2018,Rodions Kurucs,Rondae Hollis-Jefferson,Jarrett Allen,Joe Harris,D'Angelo Russell,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1,0,6,0:09:54,0:02:06,0:00:13,24,CHA,shot,Nicolas Batum,,,,,,,,,Jeremy Lamb,2,,,made,,Layup,4,17,32,26.7,85.8,Lamb 4' Layup (4 PTS) (Batum 1 AST)
0021800517,2018-2019 Regular Season,12/28/2018,Rodions Kurucs,Rondae Hollis-Jefferson,Jarrett Allen,Joe Harris,D'Angelo Russell,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1,2,6,0:09:38,0:02:22,0:00:16,26,BKN,shot,,,,,,,,,,D'Angelo Russell,2,,,made,,Pullup Jump Shot,17,-51,162,30.1,21.2,Russell 17' Pullup Jump Shot (2 PTS)
0021800517,2018-2019 Regular Season,12/28/2018,Rodions Kurucs,Rondae Hollis-Jefferson,Jarrett Allen,Joe Harris,D'Angelo Russell,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1,2,9,0:09:28,0:02:32,0:00:10,27,CHA,shot,Kemba Walker,,,,,,,,,Cody Zeller,3,,,made,,Jump Shot,26,-5,257,24.5,63.3,Zeller 26' 3PT Jump Shot (5 PTS) (Walker 2 AST)
