game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800529""",2018-2019 Regular Season,2018-12-29,Cedi Osman,Jaron Blossomgame,Larry Nance Jr.,Alec Burks,Collin Sexton,Kevin Huerter,John Collins,Alex Len,Kent Bazemore,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800529""",2018-2019 Regular Season,2018-12-29,Cedi Osman,Jaron Blossomgame,Larry Nance Jr.,Alec Burks,Collin Sexton,Kevin Huerter,John Collins,Alex Len,Kent Bazemore,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,4,CLE,jump ball,,Larry Nance Jr.,Alex Len,,,,,,,Alex Len,,Collin Sexton,,,,jump ball,,,,,,Jump Ball Len vs. Nance Jr.: Tip to Sexton
"=""0021800529""",2018-2019 Regular Season,2018-12-29,Cedi Osman,Jaron Blossomgame,Larry Nance Jr.,Alec Burks,Collin Sexton,Kevin Huerter,John Collins,Alex Len,Kent Bazemore,Trae Young,1,3,0,00:11:35,00:00:25,00:00:25,7,CLE,shot,,,,,,,,,,Cedi Osman,3,,,made,,Pullup Jump Shot,26,-130,223,38.0,27.3,Osman 26' 3PT Pullup Jump Shot (3 PTS)
"=""0021800529""",2018-2019 Regular Season,2018-12-29,Cedi Osman,Jaron Blossomgame,Larry Nance Jr.,Alec Burks,Collin Sexton,Kevin Huerter,John Collins,Alex Len,Kent Bazemore,Trae Young,1,3,0,00:11:13,00:00:47,00:00:22,8,ATL,miss,,,,,,,,,,Kevin Huerter,0,,,missed,,Jump Shot,27,-120,237,13.0,65.3,MISS Huerter 27' 3PT Jump Shot
"=""0021800529""",2018-2019 Regular Season,2018-12-29,Cedi Osman,Jaron Blossomgame,Larry Nance Jr.,Alec Burks,Collin Sexton,Kevin Huerter,John Collins,Alex Len,Kent Bazemore,Trae Young,1,3,0,00:11:08,00:00:52,00:00:05,9,ATL,rebound,,,,,,,,,,Alex Len,,,,,,rebound offensive,,,,,,Len REBOUND (Off:1 Def:0)
"=""0021800529""",2018-2019 Regular Season,2018-12-29,Cedi Osman,Jaron Blossomgame,Larry Nance Jr.,Alec Burks,Collin Sexton,Kevin Huerter,John Collins,Alex Len,Kent Bazemore,Trae Young,1,3,0,00:11:08,00:00:52,00:00:00,10,ATL,miss,,,,,,,,,,Alex Len,0,,,missed,,unknown,1,0,-6,25.0,89.6,MISS Len 1' Tip Layup Shot
"=""0021800529""",2018-2019 Regular Season,2018-12-29,Cedi Osman,Jaron Blossomgame,Larry Nance Jr.,Alec Burks,Collin Sexton,Kevin Huerter,John Collins,Alex Len,Kent Bazemore,Trae Young,1,3,0,00:11:08,00:00:52,00:00:00,11,ATL,rebound,,,,,,,,,,Alex Len,,,,,,rebound offensive,,,,,,Len REBOUND (Off:2 Def:0)
"=""0021800529""",2018-2019 Regular Season,2018-12-29,Cedi Osman,Jaron Blossomgame,Larry Nance Jr.,Alec Burks,Collin Sexton,Kevin Huerter,John Collins,Alex Len,Kent Bazemore,Trae Young,1,3,0,00:11:06,00:00:54,00:00:02,12,ATL,miss,,,,,,,,,,Alex Len,0,,,missed,,unknown,1,0,-6,25.0,89.6,MISS Len 1' Tip Layup Shot
"=""0021800529""",2018-2019 Regular Season,2018-12-29,Cedi Osman,Jaron Blossomgame,Larry Nance Jr.,Alec Burks,Collin Sexton,Kevin Huerter,John Collins,Alex Len,Kent Bazemore,Trae Young,1,3,0,00:11:05,00:00:55,00:00:01,13,CLE,rebound,,,,,,,,,,Larry Nance Jr.,,,,,,rebound defensive,,,,,,Nance Jr. REBOUND (Off:0 Def:1)
"=""0021800529""",2018-2019 Regular Season,2018-12-29,Cedi Osman,Jaron Blossomgame,Larry Nance Jr.,Alec Burks,Collin Sexton,Kevin Huerter,John Collins,Alex Len,Kent Bazemore,Trae Young,1,5,0,00:11:00,00:01:00,00:00:05,14,CLE,shot,,,,,,,,,,Cedi Osman,2,,,made,,unknown,18,-122,133,37.2,18.3,Osman 18' Running Pull-Up Jump Shot (5 PTS)
"=""0021800529""",2018-2019 Regular Season,2018-12-29,Cedi Osman,Jaron Blossomgame,Larry Nance Jr.,Alec Burks,Collin Sexton,Kevin Huerter,John Collins,Alex Len,Kent Bazemore,Trae Young,1,5,2,00:10:46,00:01:14,00:00:14,15,ATL,shot,John Collins,,,,,,,,,Alex Len,2,,,made,,Dunk,1,-4,13,24.6,87.7,Len 1' Dunk (2 PTS) (Collins 1 AST)
"=""0021800529""",2018-2019 Regular Season,2018-12-29,Cedi Osman,Jaron Blossomgame,Larry Nance Jr.,Alec Burks,Collin Sexton,Kevin Huerter,John Collins,Alex Len,Kent Bazemore,Trae Young,1,5,2,00:10:33,00:01:27,00:00:13,17,CLE,miss,,,,,,,,,,Collin Sexton,0,,,missed,,unknown,13,78,107,17.2,15.7,MISS Sexton 13' Driving Floating Jump Shot
"=""0021800529""",2018-2019 Regular Season,2018-12-29,Cedi Osman,Jaron Blossomgame,Larry Nance Jr.,Alec Burks,Collin Sexton,Kevin Huerter,John Collins,Alex Len,Kent Bazemore,Trae Young,1,5,2,00:10:31,00:01:29,00:00:02,18,ATL,rebound,,,,,,,,,,Alex Len,,,,,,rebound defensive,,,,,,Len REBOUND (Off:2 Def:1)
"=""0021800529""",2018-2019 Regular Season,2018-12-29,Cedi Osman,Jaron Blossomgame,Larry Nance Jr.,Alec Burks,Collin Sexton,Kevin Huerter,John Collins,Alex Len,Kent Bazemore,Trae Young,1,5,2,00:10:26,00:01:34,00:00:05,19,ATL,turnover,,,,,,,,,,Trae Young,,,,,,unknown,,,,,,Young Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021800529""",2018-2019 Regular Season,2018-12-29,Cedi Osman,Jaron Blossomgame,Larry Nance Jr.,Alec Burks,Collin Sexton,Kevin Huerter,John Collins,Alex Len,Kent Bazemore,Trae Young,1,7,2,00:10:06,00:01:54,00:00:20,20,CLE,shot,Alec Burks,,,,,,,,,Larry Nance Jr.,2,,,made,,Layup,6,-12,58,26.2,10.8,Nance Jr. 6' Layup (2 PTS) (Burks 1 AST)
"=""0021800529""",2018-2019 Regular Season,2018-12-29,Cedi Osman,Jaron Blossomgame,Larry Nance Jr.,Alec Burks,Collin Sexton,Kevin Huerter,John Collins,Alex Len,Kent Bazemore,Trae Young,1,7,2,00:09:53,00:02:07,00:00:13,22,CLE,foul,,,,,,,,Trae Young,,Alec Burks,,,p.foul,,,p.foul,,,,,,Burks P.FOUL (P1.T1) (K.Fitzgerald)
"=""0021800529""",2018-2019 Regular Season,2018-12-29,Cedi Osman,Jaron Blossomgame,Larry Nance Jr.,Alec Burks,Collin Sexton,Kevin Huerter,John Collins,Alex Len,Kent Bazemore,Trae Young,1,7,2,00:09:48,00:02:12,00:00:05,24,ATL,miss,,,,,,,,,,Trae Young,0,,,missed,,Pullup Jump Shot,19,-49,185,20.1,70.5,MISS Young 19' Pullup Jump Shot
"=""0021800529""",2018-2019 Regular Season,2018-12-29,Cedi Osman,Jaron Blossomgame,Larry Nance Jr.,Alec Burks,Collin Sexton,Kevin Huerter,John Collins,Alex Len,Kent Bazemore,Trae Young,1,7,2,00:09:44,00:02:16,00:00:04,25,CLE,rebound,,,,,,,,,,Larry Nance Jr.,,,,,,rebound defensive,,,,,,Nance Jr. REBOUND (Off:0 Def:2)
"=""0021800529""",2018-2019 Regular Season,2018-12-29,Cedi Osman,Jaron Blossomgame,Larry Nance Jr.,Alec Burks,Collin Sexton,Kevin Huerter,John Collins,Alex Len,Kent Bazemore,Trae Young,1,7,2,00:09:24,00:02:36,00:00:20,26,ATL,foul,,,,,,,,Collin Sexton,,John Collins,,,s.foul,,,s.foul,,,,,,Collins S.FOUL (P1.T1) (K.Fitzgerald)
"=""0021800529""",2018-2019 Regular Season,2018-12-29,Cedi Osman,Jaron Blossomgame,Larry Nance Jr.,Alec Burks,Collin Sexton,Kevin Huerter,John Collins,Alex Len,Kent Bazemore,Trae Young,1,8,2,00:09:24,00:02:36,00:00:00,28,CLE,free throw,,,,,,,1,,2,Collin Sexton,1,,,made,,Free Throw 1 of 2,,,,,,Sexton Free Throw 1 of 2 (1 PTS)
"=""0021800529""",2018-2019 Regular Season,2018-12-29,Cedi Osman,Jaron Blossomgame,Larry Nance Jr.,Alec Burks,Collin Sexton,Kevin Huerter,John Collins,Alex Len,Kent Bazemore,Trae Young,1,9,2,00:09:24,00:02:36,00:00:00,29,CLE,free throw,,,,,,,2,,2,Collin Sexton,1,,,made,,Free Throw 2 of 2,,,,,,Sexton Free Throw 2 of 2 (2 PTS)
