game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800532""",2018-2019 Regular Season,2018-12-29,Kevin Knox,Noah Vonleh,Luke Kornet,Tim Hardaway Jr.,Emmanuel Mudiay,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Dante Exum,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800532""",2018-2019 Regular Season,2018-12-29,Kevin Knox,Noah Vonleh,Luke Kornet,Tim Hardaway Jr.,Emmanuel Mudiay,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Dante Exum,1,0,0,00:12:00,00:00:00,00:00:00,4,UTA,jump ball,,Noah Vonleh,Rudy Gobert,,,,,,,Rudy Gobert,,Derrick Favors,,,,jump ball,,,,,,Jump Ball Gobert vs. Vonleh: Tip to Favors
"=""0021800532""",2018-2019 Regular Season,2018-12-29,Kevin Knox,Noah Vonleh,Luke Kornet,Tim Hardaway Jr.,Emmanuel Mudiay,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Dante Exum,1,0,2,00:11:48,00:00:12,00:00:12,7,UTA,shot,Dante Exum,,,,,,,,,Rudy Gobert,2,,,made,,Alley Oop Dunk,2,-14,11,23.6,87.9,Gobert 2' Alley Oop Dunk (2 PTS) (Exum 1 AST)
"=""0021800532""",2018-2019 Regular Season,2018-12-29,Kevin Knox,Noah Vonleh,Luke Kornet,Tim Hardaway Jr.,Emmanuel Mudiay,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Dante Exum,1,2,2,00:11:28,00:00:32,00:00:20,9,NYK,shot,Luke Kornet,,,,,,,,,Emmanuel Mudiay,2,,,made,,Pullup Jump Shot,19,188,41,6.2,9.1,Mudiay 19' Pullup Jump Shot (2 PTS) (Kornet 1 AST)
"=""0021800532""",2018-2019 Regular Season,2018-12-29,Kevin Knox,Noah Vonleh,Luke Kornet,Tim Hardaway Jr.,Emmanuel Mudiay,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Dante Exum,1,2,2,00:11:17,00:00:43,00:00:11,11,UTA,miss,,,,,,,,,,Donovan Mitchell,0,,,missed,,Jump Shot,25,-175,184,7.5,70.6,MISS Mitchell 25' 3PT Jump Shot
"=""0021800532""",2018-2019 Regular Season,2018-12-29,Kevin Knox,Noah Vonleh,Luke Kornet,Tim Hardaway Jr.,Emmanuel Mudiay,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Dante Exum,1,2,2,00:11:14,00:00:46,00:00:03,12,NYK,rebound,,,,,,,,,,Luke Kornet,,,,,,rebound defensive,,,,,,Kornet REBOUND (Off:0 Def:1)
"=""0021800532""",2018-2019 Regular Season,2018-12-29,Kevin Knox,Noah Vonleh,Luke Kornet,Tim Hardaway Jr.,Emmanuel Mudiay,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Dante Exum,1,2,2,00:11:03,00:00:57,00:00:11,13,NYK,turnover,,,,,,,,,,Tim Hardaway Jr.,,,bad pass ,,Derrick Favors,bad pass ,,,,,,"Hardaway Jr. Bad Pass Turnover (P1.T1), Favors STEAL (1 STL)"
"=""0021800532""",2018-2019 Regular Season,2018-12-29,Kevin Knox,Noah Vonleh,Luke Kornet,Tim Hardaway Jr.,Emmanuel Mudiay,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Dante Exum,1,2,2,00:10:59,00:01:01,00:00:04,15,UTA,miss,,,,,,,,,,Joe Ingles,0,,,missed,,Jump Shot,25,180,180,43.0,71.0,MISS Ingles 25' 3PT Jump Shot
"=""0021800532""",2018-2019 Regular Season,2018-12-29,Kevin Knox,Noah Vonleh,Luke Kornet,Tim Hardaway Jr.,Emmanuel Mudiay,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Dante Exum,1,2,2,00:10:55,00:01:05,00:00:04,16,UTA,rebound,,,,,,,,,,Donovan Mitchell,,,,,,rebound offensive,,,,,,Mitchell REBOUND (Off:1 Def:0)
"=""0021800532""",2018-2019 Regular Season,2018-12-29,Kevin Knox,Noah Vonleh,Luke Kornet,Tim Hardaway Jr.,Emmanuel Mudiay,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Dante Exum,1,2,4,00:10:52,00:01:08,00:00:03,17,UTA,shot,Derrick Favors,,,,,,,,,Rudy Gobert,2,,,made,,Dunk,2,-22,4,22.8,88.6,Gobert 2' Dunk (4 PTS) (Favors 1 AST)
"=""0021800532""",2018-2019 Regular Season,2018-12-29,Kevin Knox,Noah Vonleh,Luke Kornet,Tim Hardaway Jr.,Emmanuel Mudiay,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Dante Exum,1,4,4,00:10:33,00:01:27,00:00:19,19,NYK,shot,Luke Kornet,,,,,,,,,Tim Hardaway Jr.,2,,,made,,unknown,8,43,67,20.7,11.7,Hardaway Jr. 8' Driving Floating Bank Jump Shot (2 PTS) (Kornet 2 AST)
