game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800533""",2018-2019 Regular Season,2018-12-29,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800533""",2018-2019 Regular Season,2018-12-29,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,1,0,0,00:12:00,00:00:00,00:00:00,4,DEN,jump ball,,Mason Plumlee,Deandre Ayton,,,,,,,Deandre Ayton,,Nikola Jokic,,,,jump ball,,,,,,Jump Ball Ayton vs. Plumlee: Tip to Jokic
"=""0021800533""",2018-2019 Regular Season,2018-12-29,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,1,3,0,00:11:40,00:00:20,00:00:20,7,DEN,shot,Nikola Jokic,,,,,,,,,Jamal Murray,3,,,made,,Jump Shot,23,-234,6,48.4,5.6,Murray  3PT Jump Shot (3 PTS) (Jokic 1 AST)
"=""0021800533""",2018-2019 Regular Season,2018-12-29,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,1,3,0,00:11:20,00:00:40,00:00:20,9,PHX,miss,,,,,,,,,,T.J. Warren,0,,,missed,,Jump Shot,25,-208,139,4.2,75.1,MISS Warren 25' 3PT Jump Shot
"=""0021800533""",2018-2019 Regular Season,2018-12-29,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,1,3,0,00:11:18,00:00:42,00:00:02,10,DEN,rebound,,,,,,,,,,Jamal Murray,,,,,,rebound defensive,,,,,,Murray REBOUND (Off:0 Def:1)
"=""0021800533""",2018-2019 Regular Season,2018-12-29,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,1,5,0,00:11:10,00:00:50,00:00:08,11,DEN,shot,Jamal Murray,,,,,,,,,Nikola Jokic,2,,,made,,unknown,7,-4,69,25.4,11.9,Jokic 7' Cutting Finger Roll Layup Shot (2 PTS) (Murray 1 AST)
"=""0021800533""",2018-2019 Regular Season,2018-12-29,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,1,5,0,00:10:48,00:01:12,00:00:22,13,PHX,miss,,,,,,,,,,De'Anthony Melton,0,,,missed,,Jump Shot,26,-212,146,3.8,74.4,MISS Melton 26' 3PT Jump Shot
"=""0021800533""",2018-2019 Regular Season,2018-12-29,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,1,5,0,00:10:45,00:01:15,00:00:03,14,PHX,rebound,,,,,,,,,,Deandre Ayton,,,,,,rebound offensive,,,,,,Ayton REBOUND (Off:1 Def:0)
"=""0021800533""",2018-2019 Regular Season,2018-12-29,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,1,5,0,00:10:40,00:01:20,00:00:05,15,PHX,miss,,,,,,,,,,Devin Booker,0,,,missed,,Fadeaway Jumper,11,113,6,36.3,88.4,MISS Booker 11' Fadeaway Jumper
"=""0021800533""",2018-2019 Regular Season,2018-12-29,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,Mikal Bridges,T.J. Warren,Deandre Ayton,Devin Booker,De'Anthony Melton,1,5,0,00:10:37,00:01:23,00:00:03,16,DEN,rebound,,,,,,,,,,Jamal Murray,,,,,,rebound defensive,,,,,,Murray REBOUND (Off:0 Def:2)
