game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800555""",2018-2019 Regular Season,2019-01-02,Rodney McGruder,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,Rodney Hood,Cedi Osman,Tristan Thompson,Alec Burks,Collin Sexton,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800555""",2018-2019 Regular Season,2019-01-02,Rodney McGruder,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,Rodney Hood,Cedi Osman,Tristan Thompson,Alec Burks,Collin Sexton,1,0,0,00:12:00,00:00:00,00:00:00,4,CLE,jump ball,,Hassan Whiteside,Tristan Thompson,,,,,,,Tristan Thompson,,Cedi Osman,,,,jump ball,,,,,,Jump Ball Thompson vs. Whiteside: Tip to Osman
"=""0021800555""",2018-2019 Regular Season,2019-01-02,Rodney McGruder,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,Rodney Hood,Cedi Osman,Tristan Thompson,Alec Burks,Collin Sexton,1,0,0,00:11:41,00:00:19,00:00:19,7,CLE,miss,,,,,,,,,,Cedi Osman,0,,,missed,,Jump Shot,26,-138,226,11.2,66.4,MISS Osman 26' 3PT Jump Shot
"=""0021800555""",2018-2019 Regular Season,2019-01-02,Rodney McGruder,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,Rodney Hood,Cedi Osman,Tristan Thompson,Alec Burks,Collin Sexton,1,0,0,00:11:39,00:00:21,00:00:02,8,MIA,rebound,,,,,,,,,,Hassan Whiteside,,,,,,rebound defensive,,,,,,Whiteside REBOUND (Off:0 Def:1)
"=""0021800555""",2018-2019 Regular Season,2019-01-02,Rodney McGruder,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,Rodney Hood,Cedi Osman,Tristan Thompson,Alec Burks,Collin Sexton,1,0,0,00:11:34,00:00:26,00:00:05,9,MIA,turnover,,,,,,,,,,Hassan Whiteside,,,lost ball ,,Rodney Hood,lost ball ,,,,,,"Whiteside Lost Ball Turnover (P1.T1), Hood STEAL (1 STL)"
"=""0021800555""",2018-2019 Regular Season,2019-01-02,Rodney McGruder,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,Rodney Hood,Cedi Osman,Tristan Thompson,Alec Burks,Collin Sexton,1,0,2,00:11:30,00:00:30,00:00:04,11,CLE,shot,Collin Sexton,,,,,,,,,Tristan Thompson,2,,,made,,unknown,1,-5,-5,24.5,89.5,Thompson 1' Cutting Dunk Shot (2 PTS) (Sexton 1 AST)
"=""0021800555""",2018-2019 Regular Season,2019-01-02,Rodney McGruder,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,Rodney Hood,Cedi Osman,Tristan Thompson,Alec Burks,Collin Sexton,1,0,2,00:11:15,00:00:45,00:00:15,13,MIA,miss,,,,,,,,,,Justise Winslow,0,,,missed,,Reverse Layup,3,16,31,23.4,8.1,MISS Winslow 3' Reverse Layup
"=""0021800555""",2018-2019 Regular Season,2019-01-02,Rodney McGruder,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,Rodney Hood,Cedi Osman,Tristan Thompson,Alec Burks,Collin Sexton,1,0,2,00:11:15,00:00:45,00:00:00,14,MIA,rebound,,,,,,,,,,Hassan Whiteside,,,,,,rebound offensive,,,,,,Whiteside REBOUND (Off:1 Def:1)
"=""0021800555""",2018-2019 Regular Season,2019-01-02,Rodney McGruder,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,Rodney Hood,Cedi Osman,Tristan Thompson,Alec Burks,Collin Sexton,1,0,2,00:11:13,00:00:47,00:00:02,15,MIA,miss,,,,Rodney Hood,,,,,,Hassan Whiteside,0,,,missed,,Putback Layup,2,6,21,24.4,7.1,"MISS Whiteside 2' Putback Layup, Hood BLOCK (1 BLK)"
"=""0021800555""",2018-2019 Regular Season,2019-01-02,Rodney McGruder,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,Rodney Hood,Cedi Osman,Tristan Thompson,Alec Burks,Collin Sexton,1,0,2,00:11:13,00:00:47,00:00:00,17,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Heat Rebound
