game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800576""",2018-2019 Regular Season,2019-01-05,Nicolas Batum,Marvin Williams,Bismack Biyombo,Devonte' Graham,Kemba Walker,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800576""",2018-2019 Regular Season,2019-01-05,Nicolas Batum,Marvin Williams,Bismack Biyombo,Devonte' Graham,Kemba Walker,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,1,0,0,00:12:00,00:00:00,00:00:00,4,DEN,jump ball,,Bismack Biyombo,Mason Plumlee,,,,,,,Mason Plumlee,,Jamal Murray,,,,jump ball,,,,,,Jump Ball Plumlee vs. Biyombo: Tip to Murray
"=""0021800576""",2018-2019 Regular Season,2019-01-05,Nicolas Batum,Marvin Williams,Bismack Biyombo,Devonte' Graham,Kemba Walker,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,1,0,0,00:11:36,00:00:24,00:00:24,7,DEN,miss,,,,,,,,,,Juancho Hernangomez,0,,,missed,,Jump Shot,25,-117,225,13.3,66.5,MISS Hernangomez 25' 3PT Jump Shot
"=""0021800576""",2018-2019 Regular Season,2019-01-05,Nicolas Batum,Marvin Williams,Bismack Biyombo,Devonte' Graham,Kemba Walker,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,1,0,0,00:11:35,00:00:25,00:00:01,8,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Hornets Rebound
"=""0021800576""",2018-2019 Regular Season,2019-01-05,Nicolas Batum,Marvin Williams,Bismack Biyombo,Devonte' Graham,Kemba Walker,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,1,0,0,00:11:35,00:00:25,00:00:00,9,DEN,foul,,,,,,,,Bismack Biyombo,,Mason Plumlee,,,l.b.foul,,,l.b.foul,,,,,,Plumlee L.B.FOUL (P1.T1) (T.Brown)
"=""0021800576""",2018-2019 Regular Season,2019-01-05,Nicolas Batum,Marvin Williams,Bismack Biyombo,Devonte' Graham,Kemba Walker,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,1,0,0,00:11:21,00:00:39,00:00:14,11,CHA,miss,,,,Mason Plumlee,,,,,,Bismack Biyombo,0,,,missed,,Layup,2,-9,14,25.9,6.4,"MISS Biyombo 2' Layup, Plumlee BLOCK (1 BLK)"
"=""0021800576""",2018-2019 Regular Season,2019-01-05,Nicolas Batum,Marvin Williams,Bismack Biyombo,Devonte' Graham,Kemba Walker,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,1,0,0,00:11:19,00:00:41,00:00:02,13,DEN,rebound,,,,,,,,,,Mason Plumlee,,,,,,rebound defensive,,,,,,Plumlee REBOUND (Off:0 Def:1)
"=""0021800576""",2018-2019 Regular Season,2019-01-05,Nicolas Batum,Marvin Williams,Bismack Biyombo,Devonte' Graham,Kemba Walker,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,1,0,3,00:11:15,00:00:45,00:00:04,14,DEN,shot,Mason Plumlee,,,,,,,,,Torrey Craig,3,,,made,,Jump Shot,22,220,16,47.0,87.4,Craig  3PT Jump Shot (3 PTS) (Plumlee 1 AST)
"=""0021800576""",2018-2019 Regular Season,2019-01-05,Nicolas Batum,Marvin Williams,Bismack Biyombo,Devonte' Graham,Kemba Walker,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,1,3,3,00:10:59,00:01:01,00:00:16,16,CHA,shot,,,,,,,,,,Kemba Walker,3,,,made,,Pullup Jump Shot,24,62,234,18.8,28.4,Walker 24' 3PT Pullup Jump Shot (3 PTS)
"=""0021800576""",2018-2019 Regular Season,2019-01-05,Nicolas Batum,Marvin Williams,Bismack Biyombo,Devonte' Graham,Kemba Walker,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,1,3,3,00:10:39,00:01:21,00:00:20,17,DEN,miss,,,,,,,,,,Jamal Murray,0,,,missed,,unknown,12,27,113,27.7,77.7,MISS Murray 12' Driving Floating Bank Jump Shot
"=""0021800576""",2018-2019 Regular Season,2019-01-05,Nicolas Batum,Marvin Williams,Bismack Biyombo,Devonte' Graham,Kemba Walker,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,1,3,3,00:10:36,00:01:24,00:00:03,18,CHA,rebound,,,,,,,,,,Nicolas Batum,,,,,,rebound defensive,,,,,,Batum REBOUND (Off:0 Def:1)
"=""0021800576""",2018-2019 Regular Season,2019-01-05,Nicolas Batum,Marvin Williams,Bismack Biyombo,Devonte' Graham,Kemba Walker,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,1,5,3,00:10:21,00:01:39,00:00:15,19,CHA,shot,Devonte' Graham,,,,,,,,,Bismack Biyombo,2,,,made,,unknown,1,14,5,23.6,5.5,Biyombo 1' Cutting Layup Shot (2 PTS) (Graham 1 AST)
"=""0021800576""",2018-2019 Regular Season,2019-01-05,Nicolas Batum,Marvin Williams,Bismack Biyombo,Devonte' Graham,Kemba Walker,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,1,5,3,00:10:10,00:01:50,00:00:11,21,DEN,turnover,,,,,,,,,,Jamal Murray,,,bad pass ,,Marvin Williams,bad pass ,,,,,,"Williams STEAL (1 STL), Murray Bad Pass Turnover (P1.T1)"
"=""0021800576""",2018-2019 Regular Season,2019-01-05,Nicolas Batum,Marvin Williams,Bismack Biyombo,Devonte' Graham,Kemba Walker,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,1,5,3,00:10:08,00:01:52,00:00:02,23,CHA,turnover,,,,,,,,,,Marvin Williams,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,Williams Out of Bounds Lost Ball Turnover (P1.T1)
"=""0021800576""",2018-2019 Regular Season,2019-01-05,Nicolas Batum,Marvin Williams,Bismack Biyombo,Devonte' Graham,Kemba Walker,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,1,5,3,00:09:55,00:02:05,00:00:13,24,DEN,miss,,,,,,,,,,Nikola Jokic,0,,,missed,,Jump Shot,25,8,249,25.8,64.1,MISS Jokic 25' 3PT Jump Shot
"=""0021800576""",2018-2019 Regular Season,2019-01-05,Nicolas Batum,Marvin Williams,Bismack Biyombo,Devonte' Graham,Kemba Walker,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,1,5,3,00:09:52,00:02:08,00:00:03,25,CHA,rebound,,,,,,,,,,Bismack Biyombo,,,,,,rebound defensive,,,,,,Biyombo REBOUND (Off:0 Def:1)
"=""0021800576""",2018-2019 Regular Season,2019-01-05,Nicolas Batum,Marvin Williams,Bismack Biyombo,Devonte' Graham,Kemba Walker,Juancho Hernangomez,Nikola Jokic,Mason Plumlee,Torrey Craig,Jamal Murray,1,5,3,00:09:46,00:02:14,00:00:06,26,CHA,miss,,,,,,,,,,Marvin Williams,0,,,missed,,Jump Shot,25,128,209,12.2,25.9,MISS Williams 25' 3PT Jump Shot
