game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800582""",2018-2019 Regular Season,2019-01-05,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800582""",2018-2019 Regular Season,2019-01-05,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,4,POR,jump ball,,Clint Capela,Jusuf Nurkic,,,,,,,Jusuf Nurkic,,Damian Lillard,,,,jump ball,,,,,,Jump Ball Nurkic vs. Capela: Tip to Lillard
"=""0021800582""",2018-2019 Regular Season,2019-01-05,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,2,00:11:40,00:00:20,00:00:20,7,POR,shot,,,,,,,,,,Jusuf Nurkic,2,,,made,,Driving Hook Shot,7,-62,39,18.8,85.1,Nurkic 7' Driving Hook Shot (2 PTS)
"=""0021800582""",2018-2019 Regular Season,2019-01-05,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,2,00:11:17,00:00:43,00:00:23,8,HOU,miss,,,,,,,,,,James Harden,0,,,missed,,Pullup Jump Shot,25,-114,224,36.4,27.4,MISS Harden 25' 3PT Pullup Jump Shot
"=""0021800582""",2018-2019 Regular Season,2019-01-05,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,2,00:11:15,00:00:45,00:00:02,9,POR,rebound,,,,,,,,,,Damian Lillard,,,,,,rebound defensive,,,,,,Lillard REBOUND (Off:0 Def:1)
"=""0021800582""",2018-2019 Regular Season,2019-01-05,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,4,00:11:06,00:00:54,00:00:09,10,POR,shot,Damian Lillard,,,,,,,,,Jusuf Nurkic,2,,,made,,Layup,2,-19,1,23.1,88.9,Nurkic 2' Layup (4 PTS) (Lillard 1 AST)
"=""0021800582""",2018-2019 Regular Season,2019-01-05,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,4,00:10:45,00:01:15,00:00:21,12,HOU,shot,PJ Tucker,,,,,,,,,Austin Rivers,3,,,made,,Jump Shot,28,18,278,23.2,32.8,Rivers 28' 3PT Jump Shot (3 PTS) (Tucker 1 AST)
"=""0021800582""",2018-2019 Regular Season,2019-01-05,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,6,00:10:25,00:01:35,00:00:20,14,POR,shot,Damian Lillard,,,,,,,,,Jusuf Nurkic,2,,,made,,unknown,4,0,38,25.0,85.2,Nurkic 4' Driving Floating Jump Shot (6 PTS) (Lillard 2 AST)
"=""0021800582""",2018-2019 Regular Season,2019-01-05,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,6,00:10:07,00:01:53,00:00:18,16,HOU,miss,,,,,,,,,,James Harden,0,,,missed,,unknown,5,23,42,22.7,9.2,MISS Harden 5' Driving Floating Jump Shot
"=""0021800582""",2018-2019 Regular Season,2019-01-05,Danuel House Jr.,PJ Tucker,Clint Capela,Austin Rivers,James Harden,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,3,6,00:10:03,00:01:57,00:00:04,17,HOU,rebound,,,,,,,,,,Clint Capela,,,,,,rebound offensive,,,,,,Capela REBOUND (Off:1 Def:0)
