game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800598""",2018-2019 Regular Season,2019-01-07,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bogdan Bogdanovic,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800598""",2018-2019 Regular Season,2019-01-07,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bogdan Bogdanovic,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:12:00,00:00:00,00:00:00,4,SAC,jump ball,,Nikola Vucevic,Willie Cauley-Stein,,,,,,,Willie Cauley-Stein,,De'Aaron Fox,,,,jump ball,,,,,,Jump Ball Cauley-Stein vs. Vucevic: Tip to Fox
"=""0021800598""",2018-2019 Regular Season,2019-01-07,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bogdan Bogdanovic,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,2,00:11:44,00:00:16,00:00:16,7,SAC,shot,Bogdan Bogdanovic,,,,,,,,,Willie Cauley-Stein,2,,,made,,unknown,2,-9,14,24.1,87.6,Cauley-Stein 2' Cutting Dunk Shot (2 PTS) (Bogdanovic 1 AST)
"=""0021800598""",2018-2019 Regular Season,2019-01-07,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bogdan Bogdanovic,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,2,00:11:23,00:00:37,00:00:21,9,ORL,shot,,,,,,,,,,Nikola Vucevic,2,,,made,,Hook Shot,8,81,25,16.9,7.5,Vucevic 8' Hook Shot (2 PTS)
"=""0021800598""",2018-2019 Regular Season,2019-01-07,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bogdan Bogdanovic,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,2,00:11:14,00:00:46,00:00:09,10,SAC,miss,,,,,,,,,,De'Aaron Fox,0,,,missed,,unknown,9,2,89,25.2,80.1,MISS Fox 9' Driving Floating Jump Shot
"=""0021800598""",2018-2019 Regular Season,2019-01-07,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bogdan Bogdanovic,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,2,00:11:11,00:00:49,00:00:03,11,ORL,rebound,,,,,,,,,,Nikola Vucevic,,,,,,rebound defensive,,,,,,Vucevic REBOUND (Off:0 Def:1)
"=""0021800598""",2018-2019 Regular Season,2019-01-07,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bogdan Bogdanovic,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,5,2,00:11:05,00:00:55,00:00:06,12,ORL,shot,D.J. Augustin,,,,,,,,,Nikola Vucevic,3,,,made,,Jump Shot,26,15,256,23.5,30.6,Vucevic 26' 3PT Jump Shot (5 PTS) (Augustin 1 AST)
"=""0021800598""",2018-2019 Regular Season,2019-01-07,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bogdan Bogdanovic,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,5,2,00:10:55,00:01:05,00:00:10,14,SAC,miss,,,,,,,,,,Willie Cauley-Stein,0,,,missed,,Hook Shot,2,19,13,26.9,87.7,MISS Cauley-Stein 2' Hook Shot
"=""0021800598""",2018-2019 Regular Season,2019-01-07,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bogdan Bogdanovic,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,5,2,00:10:55,00:01:05,00:00:00,17,ORL,rebound,,,,,,,,,,Nikola Vucevic,,,,,,rebound defensive,,,,,,Vucevic REBOUND (Off:0 Def:2)
"=""0021800598""",2018-2019 Regular Season,2019-01-07,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bogdan Bogdanovic,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,5,2,00:10:47,00:01:13,00:00:08,15,ORL,turnover,,,,,,,,,,D.J. Augustin,,,bad pass ,,Bogdan Bogdanovic,bad pass ,,,,,,"Augustin Bad Pass Turnover (P1.T1), Bogdanovic STEAL (1 STL)"
"=""0021800598""",2018-2019 Regular Season,2019-01-07,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bogdan Bogdanovic,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,5,4,00:10:37,00:01:23,00:00:10,18,SAC,shot,Bogdan Bogdanovic,,,,,,,,,Willie Cauley-Stein,2,,,made,,Alley Oop Dunk,2,14,8,26.4,88.2,Cauley-Stein 2' Alley Oop Dunk (4 PTS) (Bogdanovic 2 AST)
