,,PlusMinus,PlusMinus,GameID,Team,Seconds
,,mean,std,count,first,mean
player,HomeAway,,,,,
Andrew White,Away,1.5,2.1213203435596424,2,ATL,183.0
Andrew White III,Away,-8.571428571428571,9.89708951926681,7,ATL,218.57142857142858
Andrew White III,Home,-7.5,9.46924847422786,4,ATL,289.0
Antonius Cleveland,Away,3.5,2.1213203435596424,2,ATL,183.5
Antonius Cleveland,Home,-9.0,11.313708498984761,2,ATL,167.0
Damion Lee,Away,-0.7777777777777778,6.036923425424944,9,ATL,512.5555555555555
Damion Lee,Home,2.3333333333333335,7.637626158259733,3,ATL,394.6666666666667
DeAndre' Bembry,Away,-2.0,9.695359714832659,14,ATL,322.0
DeAndre' Bembry,Home,-2.111111111111111,5.372253820428732,9,ATL,312.1111111111111
Dennis Schroder,Away,-5.766666666666667,9.10734199209185,30,ATL,554.2
Dennis Schroder,Home,-1.4545454545454546,13.02183480997136,33,ATL,593.6060606060606
Dewayne Dedmon,Away,-2.3448275862068964,7.956470242463791,29,ATL,452.2068965517241
Dewayne Dedmon,Home,-2.2142857142857144,11.367129814145706,28,ATL,462.35714285714283
Ersan Ilyasova,Away,-4.631578947368421,6.482545164737806,19,ATL,476.3157894736842
Ersan Ilyasova,Home,1.8333333333333333,10.865448495782065,24,ATL,455.4166666666667
Isaiah Taylor,Away,-0.7647058823529411,7.282435587953499,34,ATL,325.5
Isaiah Taylor,Home,0.5714285714285714,8.659948556123702,28,ATL,290.7142857142857
Jaylen Morris,Away,-16.0,4.242640687119285,2,ATL,292.0
Jaylen Morris,Home,-2.25,8.301606270274847,4,ATL,211.5
Jeremy Evans,Home,-4.0,,1,ATL,94.0
John Collins,Away,-4.088235294117647,9.163060382826396,34,ATL,421.79411764705884
John Collins,Home,-1.7058823529411764,10.880979823762827,34,ATL,439.2647058823529
Josh Magette,Away,-2.2222222222222223,9.175753072333869,9,ATL,184.44444444444446
Josh Magette,Home,2.5714285714285716,5.19156825558337,7,ATL,226.42857142857142
Kent Bazemore,Away,-4.6,8.105340938180081,30,ATL,512.4
Kent Bazemore,Home,0.21875,12.047578728765645,32,ATL,492.40625
Luke Babbitt,Away,-1.4210526315789473,8.59790536166729,19,ATL,314.42105263157896
Luke Babbitt,Home,0.8235294117647058,7.954835747185851,17,ATL,265.29411764705884
Malcolm Delaney,Away,-4.875,11.109386943520763,24,ATL,339.5416666666667
Malcolm Delaney,Home,-1.2222222222222223,9.966610925150702,27,ATL,329.3703703703704
Marco Belinelli,Away,-4.52,10.428806259586953,25,ATL,430.76
Marco Belinelli,Home,-1.9166666666666667,12.40237237707811,24,ATL,426.25
Mike Muscala,Away,-1.6666666666666667,7.136040703574842,27,ATL,365.22222222222223
Mike Muscala,Home,-3.0,11.305287427107894,22,ATL,337.04545454545456
Miles Plumlee,Away,-3.125,7.344400410605643,24,ATL,325.6666666666667
Miles Plumlee,Home,-2.730769230769231,7.329707728457894,26,ATL,289.1923076923077
Nicolas Brussino,Away,2.0,0.0,2,ATL,10.5
Nicolas Brussino,Home,13.0,,1,ATL,135.0
Taurean Prince,Away,-4.875,7.9200734909825234,40,ATL,576.925
Taurean Prince,Home,-2.5833333333333335,13.480938924485724,36,ATL,539.5555555555555
Tyler Cavanaugh,Away,-2.7142857142857144,7.329003050503234,21,ATL,238.42857142857142
Tyler Cavanaugh,Home,1.2857142857142858,10.261418191298088,14,ATL,275.14285714285717
Tyler Dorsey,Away,-2.814814814814815,8.41718497177072,27,ATL,293.6296296296296
Tyler Dorsey,Home,-3.9130434782608696,10.237689030237336,23,ATL,326.17391304347825
