,,PlusMinus,PlusMinus,GameID,Seconds
,,mean,std,count,mean
player,HomeAway,,,,
Aaron Gordon,Away,-2.8636363636363638,12.139253348598993,22,654.6363636363636
Aaron Gordon,Home,0.4,11.81453906563152,25,606.28
Aaron Harrison,Away,-8.2,6.496152707564686,5,445.8
Aaron Harrison,Home,-7.25,14.056433876817168,4,544.5
Abdel Nader,Away,-3.4782608695652173,6.754591470167071,23,157.69565217391303
Abdel Nader,Home,-0.6923076923076923,7.877914601056453,26,162.30769230769232
Adreian Payne,Away,-3.6666666666666665,15.821925715074425,3,169.66666666666666
Adreian Payne,Home,-1.5,0.7071067811865476,2,113.0
Al Horford,Away,2.9473684210526314,11.467810103210645,38,599.4473684210526
Al Horford,Home,3.95,10.570762774796608,40,610.9
Al-Farouq Aminu,Away,3.393939393939394,13.451160251859768,33,580.1212121212121
Al-Farouq Aminu,Home,2.71875,12.967041035864986,32,564.53125
Alex Abrines,Away,-1.3333333333333333,9.633639890708997,39,269.94871794871796
Alex Abrines,Home,2.085714285714286,10.21927656174243,35,274.45714285714286
Alex Caruso,Away,2.0,8.135220844071672,12,213.66666666666666
Alex Caruso,Home,0.8571428571428571,12.11315695549973,21,301.3333333333333
Alfonzo McKinnie,Away,-1.1666666666666667,9.948199167018455,6,75.0
Alfonzo McKinnie,Home,-0.5,2.949576240750525,6,45.0
Andre Drummond,Away,-3.5789473684210527,11.129778849572812,38,608.6578947368421
Andre Drummond,Home,2.6842105263157894,14.621541426409546,38,622.5
Andre Iguodala,Away,2.125,12.180762198726955,32,474.96875
Andre Iguodala,Home,5.894736842105263,13.008914768050014,38,444.05263157894734
Andre Ingram,Away,23.0,,1,773.0
Andre Ingram,Home,-4.0,,1,510.0
Andre Roberson,Away,4.117647058823529,13.559509361243387,17,447.6470588235294
Andre Roberson,Home,8.058823529411764,14.720184221993003,17,464.2352941176471
Andrew Bogut,Away,-0.18181818181818182,7.480884731342702,11,136.45454545454547
Andrew Bogut,Home,-1.8181818181818181,6.030226891555273,11,146.8181818181818
Andrew Harrison,Away,-0.7916666666666666,10.8986603351719,24,405.7083333333333
Andrew Harrison,Home,-6.620689655172414,7.8894766850870415,29,414.13793103448273
Andrew White,Away,1.5,2.1213203435596424,2,183.0
Andrew White III,Away,-8.571428571428571,9.89708951926681,7,218.57142857142858
Andrew White III,Home,-7.5,9.46924847422786,4,289.0
Anthony Tolliver,Away,-0.9487179487179487,11.612037125665214,39,388.8205128205128
