,,PlusMinus,PlusMinus,GameID,Team,Seconds
,,mean,std,count,first,mean
player,HomeAway,,,,,
Al Jefferson,Away,-0.35294117647058826,4.782012866860934,17,IND,248.7058823529412
Al Jefferson,Home,-0.7142857142857143,8.165863008973313,14,IND,307.2142857142857
Alex Poythress,Away,0.42857142857142855,6.629935441317958,14,IND,102.0
Alex Poythress,Home,-3.625,5.475595205741825,8,IND,40.875
Ben Moore,Home,-8.0,9.899494936611665,2,IND,89.5
Bojan Bogdanovic,Away,-0.7857142857142857,12.530033605712267,42,IND,562.6428571428571
Bojan Bogdanovic,Home,4.35,12.179322535999177,40,IND,586.75
Cory Joseph,Away,-0.6904761904761905,9.295915954129992,42,IND,506.76190476190476
Cory Joseph,Home,-0.2682926829268293,10.665421675311066,41,IND,477.0
Damien Wilkins,Away,-0.4,5.146735750831676,10,IND,87.7
Damien Wilkins,Home,0.0,5.597618541248888,7,IND,155.14285714285714
Darren Collison,Away,1.7567567567567568,13.064807277154499,37,IND,565.027027027027
Darren Collison,Home,3.0,10.135446350668168,34,IND,551.1176470588235
Domantas Sabonis,Away,0.48717948717948717,9.500337375925671,39,IND,456.12820512820514
Domantas Sabonis,Home,0.9722222222222222,13.168113241812826,36,IND,450.97222222222223
Edmond Sumner,Home,-6.0,,1,IND,23.0
Glenn Robinson III,Away,1.3333333333333333,6.852180744287249,15,IND,223.06666666666666
Glenn Robinson III,Home,-1.5,9.082951062292475,10,IND,288.8
Ike Anigbogu,Away,-2.2,3.271085446759225,5,IND,43.6
Ike Anigbogu,Home,-2.0,5.597618541248888,4,IND,70.25
Joe Young,Away,-1.3636363636363635,5.876064884609302,22,IND,158.54545454545453
Joe Young,Home,-1.4615384615384615,4.216451296820768,26,IND,207.6153846153846
Lance Stephenson,Away,-0.7619047619047619,9.19121936179102,42,IND,395.5952380952381
Lance Stephenson,Home,-0.975609756097561,10.97380472962329,41,IND,468.1463414634146
Myles Turner,Away,0.53125,12.066975394078264,32,IND,513.5625
Myles Turner,Home,4.257142857142857,11.845433116365383,35,IND,536.4857142857143
TJ Leaf,Away,-0.045454545454545456,5.122102179372327,22,IND,159.27272727272728
TJ Leaf,Home,-2.9642857142857144,3.8246969655525493,28,IND,159.96428571428572
Thaddeus Young,Away,-0.30952380952380953,14.862767518342517,42,IND,589.8809523809524
Thaddeus Young,Home,5.55,12.98904864165904,40,IND,620.375
Trevor Booker,Away,1.1538461538461537,7.403221751892369,13,IND,224.69230769230768
Trevor Booker,Home,-1.9090909090909092,6.518505127014099,11,IND,275.8181818181818
Trey McKinney-Jones,Home,0.0,,1,IND,20.0
Victor Oladipo,Away,2.3,14.360201412772197,40,IND,624.025
Victor Oladipo,Home,6.756756756756757,13.738440404381596,37,IND,622.2432432432432
