,,PlusMinus,PlusMinus,GameID,Team,Seconds
,,mean,std,count,first,mean
player,HomeAway,,,,,
Bam Adebayo,Away,-0.23529411764705882,8.634177413502872,34,MIA,351.55882352941177
Bam Adebayo,Home,-0.6774193548387096,13.84289732865244,31,MIA,366.16129032258067
Derrick Jones Jr.,Away,-0.5,4.08656334834051,6,MIA,407.3333333333333
Derrick Jones Jr.,Home,-3.5,5.357238094391549,6,MIA,184.0
Derrick Walton Jr.,Away,0.125,4.086126352846737,8,MIA,122.125
Derrick Walton Jr.,Home,-5.5,7.092249290598858,6,MIA,260.5
Dion Waiters,Away,-0.35714285714285715,11.304234352034387,14,MIA,552.7142857142857
Dion Waiters,Home,-5.25,10.01022204821379,12,MIA,561.8333333333334
Dwyane Wade,Away,-2.0,10.593499054713803,10,MIA,404.9
Dwyane Wade,Home,0.0,14.957081457098699,15,MIA,355.6666666666667
Goran Dragic,Away,-2.176470588235294,11.500910604883988,34,MIA,566.4117647058823
Goran Dragic,Home,1.5675675675675675,12.986190401389516,37,MIA,583.4864864864865
Hassan Whiteside,Away,-2.7857142857142856,9.538837349982334,28,MIA,423.7857142857143
Hassan Whiteside,Home,-0.037037037037037035,9.221552853887301,27,MIA,431.8888888888889
James Johnson,Away,-1.8285714285714285,10.277003781389256,35,MIA,492.7142857142857
James Johnson,Home,1.457142857142857,11.062237985312803,35,MIA,487.8857142857143
Jordan Mickey,Away,-0.8333333333333334,4.833908011812665,6,MIA,238.16666666666666
Jordan Mickey,Home,-2.142857142857143,4.400299690093547,14,MIA,259.42857142857144
Josh Richardson,Away,-1.1578947368421053,12.91662728087114,38,MIA,580.5526315789474
Josh Richardson,Home,1.1025641025641026,10.888900364458229,39,MIA,611.6923076923077
Justise Winslow,Away,-0.7941176470588235,10.128805044135433,34,MIA,414.11764705882354
Justise Winslow,Home,1.5483870967741935,14.247429498398228,31,MIA,441.35483870967744
Kelly Olynyk,Away,0.9444444444444444,8.09565825240187,36,MIA,430.6388888888889
Kelly Olynyk,Home,3.5,11.726648528641322,36,MIA,448.9166666666667
Luke Babbitt,Away,-1.8571428571428572,6.743603671345943,7,MIA,194.14285714285714
Luke Babbitt,Home,-0.8333333333333334,4.665476038590989,6,MIA,216.16666666666666
Matt Williams Jr.,Home,5.666666666666667,4.932882862316247,3,MIA,48.0
Okaro White,Away,-2.0,8.54400374531753,3,MIA,235.66666666666666
Okaro White,Home,-1.5,0.7071067811865476,2,MIA,225.5
Rodney McGruder,Away,-0.3333333333333333,11.236102527122116,9,MIA,238.11111111111111
Rodney McGruder,Home,0.9,4.863697724525606,10,MIA,218.3
Tyler Johnson,Away,-0.9705882352941176,9.558386113672078,34,MIA,484.1764705882353
Tyler Johnson,Home,1.4166666666666667,12.999725271822367,36,MIA,523.8888888888889
Udonis Haslem,Away,2.6,4.037325847637271,5,MIA,68.6
Udonis Haslem,Home,-2.25,4.713203338949605,8,MIA,89.875
Wayne Ellington,Away,-0.9210526315789473,9.718696328288036,38,MIA,482.9736842105263
Wayne Ellington,Home,1.8611111111111112,12.08340722473302,36,MIA,472.75
