,,PlusMinus,PlusMinus,GameID,Team,Seconds
,,mean,std,count,first,mean
player,HomeAway,,,,,
Brandon Jennings,Away,-3.888888888888889,8.146232939899956,9,MIL,280.55555555555554
Brandon Jennings,Home,-4.75,6.849574196011505,4,MIL,183.0
D.J. Wilson,Away,-2.1,3.3813212407775355,10,MIL,56.7
D.J. Wilson,Home,-2.875,3.48209706929603,8,MIL,59.875
DeAndre Liggins,Away,-4.666666666666667,10.333822080328208,12,MIL,292.6666666666667
DeAndre Liggins,Home,-1.8823529411764706,7.80130079651125,17,MIL,300.4117647058824
Eric Bledsoe,Away,3.5675675675675675,11.164279696475772,37,MIL,593.2972972972973
Eric Bledsoe,Home,2.5675675675675675,11.36402838526643,37,MIL,592.7837837837837
Gary Payton II,Away,-0.7142857142857143,5.089672082242814,7,MIL,105.71428571428571
Gary Payton II,Home,6.25,9.742518497116988,4,MIL,294.5
Giannis Antetokounmpo,Away,1.6216216216216217,12.329619601574072,37,MIL,702.6756756756756
Giannis Antetokounmpo,Home,2.575,11.823244164107523,40,MIL,688.725
Greg Monroe,Home,-6.666666666666667,6.658328118479393,3,MIL,207.33333333333334
Jabari Parker,Away,-4.421052631578948,11.44220156299421,19,MIL,415.94736842105266
Jabari Parker,Home,1.0625,9.29852138783366,16,MIL,455.25
Jason Terry,Away,-0.7741935483870968,8.913322154390976,31,MIL,280.64516129032256
Jason Terry,Home,1.55,8.756801867540934,20,MIL,322.6
Joel Bolomboy,Away,-2.3333333333333335,2.6583202716502514,6,MIL,111.5
John Henson,Away,2.142857142857143,10.911793019057697,35,MIL,521.7714285714286
John Henson,Home,2.611111111111111,10.120072777202395,36,MIL,485.5833333333333
Khris Middleton,Away,1.146341463414634,12.958705521018981,41,MIL,701.4634146341464
Khris Middleton,Home,1.2439024390243902,11.793600993345667,41,MIL,701.3170731707318
Malcolm Brogdon,Away,-3.869565217391304,10.817932703811286,23,MIL,591.1304347826087
Malcolm Brogdon,Home,0.7037037037037037,10.53862790227827,27,MIL,564.8888888888889
Marshall Plumlee,Away,-1.5,3.109126351029605,4,MIL,145.5
Marshall Plumlee,Home,2.6666666666666665,6.3508529610858835,3,MIL,43.333333333333336
Matthew Dellavedova,Away,-5.411764705882353,8.84631860952207,17,MIL,318.05882352941177
Matthew Dellavedova,Home,-1.1818181818181819,10.445488265668825,22,MIL,341.59090909090907
Mirza Teletovic,Away,-8.75,8.73212459828649,4,MIL,336.0
Mirza Teletovic,Home,-0.75,3.3040379335998353,4,MIL,254.75
Rashad Vaughn,Away,-1.75,2.927145677649443,12,MIL,116.33333333333333
Rashad Vaughn,Home,1.0,8.89622712968015,8,MIL,214.375
Sean Kilpatrick,Away,-1.6363636363636365,8.33393937190243,11,MIL,203.54545454545453
Sean Kilpatrick,Home,-0.6666666666666666,6.6332495807108,9,MIL,100.66666666666667
Shabazz Muhammad,Away,3.25,9.01981944703678,8,MIL,165.75
Shabazz Muhammad,Home,-2.5,5.431390245600108,6,MIL,151.0
Sterling Brown,Away,-1.16,7.069181942299499,25,MIL,247.52
Sterling Brown,Home,0.5185185185185185,6.908024154618868,27,MIL,232.62962962962962
Thon Maker,Away,-1.3055555555555556,9.260729512900758,36,MIL,317.77777777777777
Thon Maker,Home,-0.6216216216216216,9.505411766612369,37,MIL,351.94594594594594
Tony Snell,Away,0.0,11.76113618339335,38,MIL,528.6578947368421
Tony Snell,Home,-0.5405405405405406,10.764124040829628,37,MIL,486.7837837837838
Tyler Zeller,Away,-2.066666666666667,8.43857356485821,15,MIL,263.8
Tyler Zeller,Home,0.07692307692307693,8.371196036225832,13,MIL,297.46153846153845
Xavier Munford,Away,-2.6666666666666665,2.3094010767585034,3,MIL,62.333333333333336
Xavier Munford,Home,-2.0,1.4142135623730951,2,MIL,5.0
