,,PlusMinus,PlusMinus,GameID,Seconds
,,mean,std,count,mean
player,HomeAway,,,,
Aaron Gordon,Away,-2.8636363636363638,12.139253348598993,22,654.6363636363636
Aaron Gordon,Home,0.4,11.81453906563152,25,606.28
Adreian Payne,Away,-3.6666666666666665,15.821925715074425,3,169.66666666666666
Adreian Payne,Home,-1.5,0.7071067811865476,2,113.0
Alex Caruso,Away,2.0,8.135220844071672,12,213.66666666666666
Alex Caruso,Home,0.8571428571428571,12.11315695549973,21,301.3333333333333
Andre Ingram,Away,23.0,,1,773.0
Andre Ingram,Home,-4.0,,1,510.0
Andrew Bogut,Away,-0.18181818181818182,7.480884731342702,11,136.45454545454547
Andrew Bogut,Home,-1.8181818181818181,6.030226891555273,11,146.8181818181818
Arron Afflalo,Away,-0.7727272727272727,7.077340219937472,22,245.22727272727272
Arron Afflalo,Home,-3.1818181818181817,11.265777776866935,22,225.3181818181818
Bismack Biyombo,Away,-5.676470588235294,8.84451752194988,34,309.5882352941176
Bismack Biyombo,Home,-4.5588235294117645,7.504306547296241,34,320.8529411764706
Brandon Ingram,Away,-5.888888888888889,11.917451112785864,27,628.4074074074074
Brandon Ingram,Home,2.814814814814815,12.700808687266386,27,579.6296296296297
Brook Lopez,Away,-1.4516129032258065,9.601523176654212,31,459.741935483871
Brook Lopez,Home,0.4166666666666667,10.374074829662092,36,423.6666666666667
Channing Frye,Away,3.0,4.242640687119285,2,239.0
Channing Frye,Home,1.5,7.816648898345121,6,337.8333333333333
Corey Brewer,Away,-0.5833333333333334,8.742284382922124,24,248.125
Corey Brewer,Home,-2.8,9.300537618869138,25,231.16
D.J. Augustin,Away,-3.0,9.783871316152645,30,395.9
D.J. Augustin,Home,-1.3636363636363635,12.241880425965462,33,435.72727272727275
Derrick Williams,Home,1.0,,1,0.0
Elfrid Payton,Away,-5.7,10.260296497203495,20,563.3
Elfrid Payton,Home,-4.3125,9.307479071513761,16,555.9375
Evan Fournier,Away,-2.6,12.079597123524719,25,619.56
Evan Fournier,Home,-2.380952380952381,12.749416419884442,21,648.6666666666666
Gary Payton II,Away,1.0,12.649110640673516,6,252.5
Gary Payton II,Home,-2.0,4.830458915396479,4,176.75
Isaiah Thomas,Away,-1.4444444444444444,7.17828515578601,9,436.8888888888889
Isaiah Thomas,Home,2.3333333333333335,15.214028613968972,6,508.0
Ivica Zubac,Away,-0.5,5.033222956847166,16,150.5625
Ivica Zubac,Home,0.34782608695652173,7.62536851957258,23,158.17391304347825
